,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
0,0,2023-10-23 03:13:00,OANDA:AUDCAD,0.86606,0.86606,0.86593,0.86601,27.0,Interval.in_1_minute,57035580.0
1,1,2023-10-23 03:14:00,OANDA:AUDCAD,0.86601,0.8661,0.86594,0.86596,32.0,Interval.in_1_minute,57035640.0
2,2,2023-10-23 03:15:00,OANDA:AUDCAD,0.86596,0.86596,0.86586,0.86592,40.0,Interval.in_1_minute,57035700.0
3,3,2023-10-23 03:16:00,OANDA:AUDCAD,0.86592,0.86595,0.86574,0.86578,44.0,Interval.in_1_minute,57035760.0
4,4,2023-10-23 03:17:00,OANDA:AUDCAD,0.86578,0.8659,0.86578,0.86588,22.0,Interval.in_1_minute,57035820.0
5,5,2023-10-23 03:18:00,OANDA:AUDCAD,0.86588,0.86595,0.86586,0.8659,60.0,Interval.in_1_minute,57035880.0
6,6,2023-10-23 03:19:00,OANDA:AUDCAD,0.8659,0.86592,0.8658,0.8658,44.0,Interval.in_1_minute,57035940.0
7,7,2023-10-23 03:20:00,OANDA:AUDCAD,0.8658,0.86586,0.86575,0.86582,38.0,Interval.in_1_minute,57036000.0
8,8,2023-10-23 03:21:00,OANDA:AUDCAD,0.86582,0.86594,0.86578,0.86578,49.0,Interval.in_1_minute,57036060.0
9,9,2023-10-23 03:22:00,OANDA:AUDCAD,0.86578,0.86587,0.86562,0.86564,49.0,Interval.in_1_minute,57036120.0
10,10,2023-10-23 03:23:00,OANDA:AUDCAD,0.86564,0.86571,0.86563,0.8657,33.0,Interval.in_1_minute,57036180.0
11,11,2023-10-23 03:24:00,OANDA:AUDCAD,0.8657,0.86572,0.86562,0.86564,45.0,Interval.in_1_minute,57036240.0
12,12,2023-10-23 03:25:00,OANDA:AUDCAD,0.86564,0.8657,0.86547,0.8655,69.0,Interval.in_1_minute,57036300.0
13,13,2023-10-23 03:26:00,OANDA:AUDCAD,0.8655,0.86553,0.8654,0.86542,44.0,Interval.in_1_minute,57036360.0
14,14,2023-10-23 03:27:00,OANDA:AUDCAD,0.86542,0.86543,0.86533,0.86538,62.0,Interval.in_1_minute,57036420.0
15,15,2023-10-23 03:28:00,OANDA:AUDCAD,0.86538,0.86542,0.8653,0.86533,100.0,Interval.in_1_minute,57036480.0
16,16,2023-10-23 03:29:00,OANDA:AUDCAD,0.86533,0.86536,0.86525,0.86532,63.0,Interval.in_1_minute,57036540.0
17,17,2023-10-23 03:30:00,OANDA:AUDCAD,0.86532,0.86533,0.86508,0.8651,65.0,Interval.in_1_minute,57036600.0
18,18,2023-10-23 03:31:00,OANDA:AUDCAD,0.8651,0.86511,0.8649,0.86507,106.0,Interval.in_1_minute,57036660.0
19,19,2023-10-23 03:32:00,OANDA:AUDCAD,0.86507,0.86523,0.86506,0.86523,52.0,Interval.in_1_minute,57036720.0
20,20,2023-10-23 03:33:00,OANDA:AUDCAD,0.86523,0.86539,0.86523,0.86539,29.0,Interval.in_1_minute,57036780.0
21,21,2023-10-23 03:34:00,OANDA:AUDCAD,0.86539,0.86546,0.86536,0.86546,47.0,Interval.in_1_minute,57036840.0
22,22,2023-10-23 03:35:00,OANDA:AUDCAD,0.86546,0.86554,0.86545,0.86552,45.0,Interval.in_1_minute,57036900.0
23,23,2023-10-23 03:36:00,OANDA:AUDCAD,0.86552,0.86555,0.86548,0.86554,35.0,Interval.in_1_minute,57036960.0
24,24,2023-10-23 03:37:00,OANDA:AUDCAD,0.86554,0.86564,0.86552,0.86564,29.0,Interval.in_1_minute,57037020.0
25,25,2023-10-23 03:38:00,OANDA:AUDCAD,0.86564,0.86572,0.86559,0.86568,46.0,Interval.in_1_minute,57037080.0
26,26,2023-10-23 03:39:00,OANDA:AUDCAD,0.86568,0.86569,0.86564,0.86568,16.0,Interval.in_1_minute,57037140.0
27,27,2023-10-23 03:40:00,OANDA:AUDCAD,0.86568,0.86569,0.86555,0.86555,51.0,Interval.in_1_minute,57037200.0
28,28,2023-10-23 03:41:00,OANDA:AUDCAD,0.86555,0.86565,0.86552,0.8656,67.0,Interval.in_1_minute,57037260.0
29,29,2023-10-23 03:42:00,OANDA:AUDCAD,0.8656,0.86566,0.86554,0.86557,63.0,Interval.in_1_minute,57037320.0
30,30,2023-10-23 03:43:00,OANDA:AUDCAD,0.86557,0.86558,0.86551,0.86557,53.0,Interval.in_1_minute,57037380.0
31,31,2023-10-23 03:44:00,OANDA:AUDCAD,0.86557,0.86557,0.86546,0.86546,47.0,Interval.in_1_minute,57037440.0
32,32,2023-10-23 03:45:00,OANDA:AUDCAD,0.86546,0.8655,0.8654,0.86544,72.0,Interval.in_1_minute,57037500.0
33,33,2023-10-23 03:46:00,OANDA:AUDCAD,0.86544,0.86556,0.86542,0.8655,57.0,Interval.in_1_minute,57037560.0
34,34,2023-10-23 03:47:00,OANDA:AUDCAD,0.8655,0.86556,0.86536,0.8655,59.0,Interval.in_1_minute,57037620.0
35,35,2023-10-23 03:48:00,OANDA:AUDCAD,0.8655,0.86555,0.8655,0.86552,30.0,Interval.in_1_minute,57037680.0
36,36,2023-10-23 03:49:00,OANDA:AUDCAD,0.86552,0.86552,0.86536,0.86543,22.0,Interval.in_1_minute,57037740.0
37,37,2023-10-23 03:50:00,OANDA:AUDCAD,0.86543,0.86548,0.86538,0.86544,44.0,Interval.in_1_minute,57037800.0
38,38,2023-10-23 03:51:00,OANDA:AUDCAD,0.86544,0.86544,0.86528,0.86534,49.0,Interval.in_1_minute,57037860.0
39,39,2023-10-23 03:52:00,OANDA:AUDCAD,0.86534,0.86538,0.86534,0.86537,52.0,Interval.in_1_minute,57037920.0
