,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
0,2023-10-23 03:26:00,OANDA:AUDJPY,94.594,94.594,94.571,94.575,62.0,Interval.in_1_minute,57036360.0
1,2023-10-23 03:27:00,OANDA:AUDJPY,94.575,94.581,94.57,94.573,49.0,Interval.in_1_minute,57036420.0
2,2023-10-23 03:28:00,OANDA:AUDJPY,94.573,94.577,94.557,94.56,92.0,Interval.in_1_minute,57036480.0
3,2023-10-23 03:29:00,OANDA:AUDJPY,94.56,94.562,94.549,94.56,30.0,Interval.in_1_minute,57036540.0
4,2023-10-23 03:30:00,OANDA:AUDJPY,94.56,94.566,94.534,94.534,62.0,Interval.in_1_minute,57036600.0
5,2023-10-23 03:31:00,OANDA:AUDJPY,94.534,94.542,94.514,94.538,88.0,Interval.in_1_minute,57036660.0
6,2023-10-23 03:32:00,OANDA:AUDJPY,94.538,94.565,94.538,94.564,52.0,Interval.in_1_minute,57036720.0
7,2023-10-23 03:33:00,OANDA:AUDJPY,94.564,94.582,94.562,94.582,66.0,Interval.in_1_minute,57036780.0
8,2023-10-23 03:34:00,OANDA:AUDJPY,94.582,94.598,94.578,94.595,60.0,Interval.in_1_minute,57036840.0
9,2023-10-23 03:35:00,OANDA:AUDJPY,94.595,94.606,94.595,94.604,60.0,Interval.in_1_minute,57036900.0
10,2023-10-23 03:36:00,OANDA:AUDJPY,94.604,94.606,94.6,94.603,39.0,Interval.in_1_minute,57036960.0
11,2023-10-23 03:37:00,OANDA:AUDJPY,94.603,94.615,94.6,94.615,25.0,Interval.in_1_minute,57037020.0
12,2023-10-23 03:38:00,OANDA:AUDJPY,94.615,94.616,94.6,94.614,66.0,Interval.in_1_minute,57037080.0
13,2023-10-23 03:39:00,OANDA:AUDJPY,94.614,94.616,94.61,94.616,34.0,Interval.in_1_minute,57037140.0
14,2023-10-23 03:40:00,OANDA:AUDJPY,94.616,94.618,94.609,94.61,40.0,Interval.in_1_minute,57037200.0
15,2023-10-23 03:41:00,OANDA:AUDJPY,94.61,94.629,94.61,94.616,89.0,Interval.in_1_minute,57037260.0
16,2023-10-23 03:42:00,OANDA:AUDJPY,94.616,94.627,94.609,94.609,66.0,Interval.in_1_minute,57037320.0
17,2023-10-23 03:43:00,OANDA:AUDJPY,94.609,94.609,94.598,94.606,56.0,Interval.in_1_minute,57037380.0
18,2023-10-23 03:44:00,OANDA:AUDJPY,94.606,94.608,94.588,94.59,69.0,Interval.in_1_minute,57037440.0
19,2023-10-23 03:45:00,OANDA:AUDJPY,94.59,94.591,94.581,94.587,58.0,Interval.in_1_minute,57037500.0
20,2023-10-23 03:46:00,OANDA:AUDJPY,94.587,94.609,94.587,94.604,49.0,Interval.in_1_minute,57037560.0
21,2023-10-23 03:47:00,OANDA:AUDJPY,94.604,94.609,94.586,94.608,75.0,Interval.in_1_minute,57037620.0
22,2023-10-23 03:48:00,OANDA:AUDJPY,94.608,94.609,94.6,94.602,26.0,Interval.in_1_minute,57037680.0
23,2023-10-23 03:49:00,OANDA:AUDJPY,94.602,94.608,94.596,94.602,42.0,Interval.in_1_minute,57037740.0
24,2023-10-23 03:50:00,OANDA:AUDJPY,94.602,94.606,94.594,94.601,57.0,Interval.in_1_minute,57037800.0
25,2023-10-23 03:51:00,OANDA:AUDJPY,94.601,94.604,94.589,94.59,62.0,Interval.in_1_minute,57037860.0
26,2023-10-23 03:52:00,OANDA:AUDJPY,94.59,94.596,94.578,94.58,79.0,Interval.in_1_minute,57037920.0
27,2023-10-23 03:53:00,OANDA:AUDJPY,94.58,94.582,94.554,94.558,104.0,Interval.in_1_minute,57037980.0
28,2023-10-23 03:54:00,OANDA:AUDJPY,94.558,94.599,94.556,94.588,216.0,Interval.in_1_minute,57038040.0
29,2023-10-23 03:55:00,OANDA:AUDJPY,94.588,94.596,94.58,94.586,117.0,Interval.in_1_minute,57038100.0
30,2023-10-23 03:56:00,OANDA:AUDJPY,94.586,94.591,94.572,94.583,92.0,Interval.in_1_minute,57038160.0
31,2023-10-23 03:57:00,OANDA:AUDJPY,94.583,94.596,94.583,94.586,60.0,Interval.in_1_minute,57038220.0
32,2023-10-23 03:58:00,OANDA:AUDJPY,94.586,94.597,94.583,94.592,51.0,Interval.in_1_minute,57038280.0
33,2023-10-23 03:59:00,OANDA:AUDJPY,94.592,94.602,94.592,94.594,85.0,Interval.in_1_minute,57038340.0
34,2023-10-23 04:00:00,OANDA:AUDJPY,94.594,94.594,94.563,94.578,110.0,Interval.in_1_minute,57038400.0
35,2023-10-23 04:01:00,OANDA:AUDJPY,94.578,94.578,94.556,94.564,61.0,Interval.in_1_minute,57038460.0
36,2023-10-23 04:02:00,OANDA:AUDJPY,94.564,94.564,94.535,94.55,85.0,Interval.in_1_minute,57038520.0
37,2023-10-23 04:03:00,OANDA:AUDJPY,94.55,94.562,94.538,94.561,48.0,Interval.in_1_minute,57038580.0
38,2023-10-23 04:04:00,OANDA:AUDJPY,94.561,94.562,94.553,94.556,32.0,Interval.in_1_minute,57038640.0
39,2023-10-23 04:05:00,OANDA:AUDJPY,94.556,94.562,94.542,94.548,101.0,Interval.in_1_minute,57038700.0
40,2023-10-23 04:06:00,OANDA:AUDJPY,94.548,94.588,94.547,94.584,64.0,Interval.in_1_minute,57038760.0
41,2023-10-23 04:07:00,OANDA:AUDJPY,94.584,94.584,94.558,94.564,80.0,Interval.in_1_minute,57038820.0
42,2023-10-23 04:08:00,OANDA:AUDJPY,94.564,94.582,94.562,94.573,78.0,Interval.in_1_minute,57038880.0
43,2023-10-23 04:09:00,OANDA:AUDJPY,94.573,94.573,94.554,94.558,102.0,Interval.in_1_minute,57038940.0
44,2023-10-23 04:10:00,OANDA:AUDJPY,94.558,94.563,94.553,94.559,56.0,Interval.in_1_minute,57039000.0
45,2023-10-23 04:11:00,OANDA:AUDJPY,94.559,94.576,94.552,94.572,58.0,Interval.in_1_minute,57039060.0
46,2023-10-23 04:12:00,OANDA:AUDJPY,94.572,94.588,94.57,94.588,94.0,Interval.in_1_minute,57039120.0
47,2023-10-23 04:13:00,OANDA:AUDJPY,94.588,94.598,94.576,94.577,58.0,Interval.in_1_minute,57039180.0
48,2023-10-23 04:14:00,OANDA:AUDJPY,94.577,94.582,94.56,94.566,31.0,Interval.in_1_minute,57039240.0
49,2023-10-23 04:15:00,OANDA:AUDJPY,94.566,94.6,94.562,94.6,120.0,Interval.in_1_minute,57039300.0
50,2023-10-23 04:16:00,OANDA:AUDJPY,94.6,94.6,94.587,94.596,94.0,Interval.in_1_minute,57039360.0
51,2023-10-23 04:17:00,OANDA:AUDJPY,94.596,94.615,94.588,94.613,102.0,Interval.in_1_minute,57039420.0
52,2023-10-23 04:18:00,OANDA:AUDJPY,94.613,94.617,94.604,94.614,34.0,Interval.in_1_minute,57039480.0
53,2023-10-23 04:19:00,OANDA:AUDJPY,94.614,94.626,94.61,94.614,51.0,Interval.in_1_minute,57039540.0
54,2023-10-23 04:20:00,OANDA:AUDJPY,94.614,94.614,94.598,94.608,71.0,Interval.in_1_minute,57039600.0
55,2023-10-23 04:21:00,OANDA:AUDJPY,94.608,94.61,94.601,94.607,68.0,Interval.in_1_minute,57039660.0
