,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
0,2023-10-12 04:21:00,OANDA:EURUSD,1.06241,1.06244,1.06224,1.06234,146.0,Interval.in_3_minute,56089260.0
1,2023-10-12 04:24:00,OANDA:EURUSD,1.06234,1.06235,1.06218,1.06222,168.0,Interval.in_3_minute,56089440.0
2,2023-10-12 04:27:00,OANDA:EURUSD,1.06222,1.06231,1.06218,1.0622,96.0,Interval.in_3_minute,56089620.0
3,2023-10-12 04:30:00,OANDA:EURUSD,1.0622,1.0622,1.06202,1.06216,208.0,Interval.in_3_minute,56089800.0
4,2023-10-12 04:33:00,OANDA:EURUSD,1.06216,1.06244,1.06216,1.0624,168.0,Interval.in_3_minute,56089980.0
5,2023-10-12 04:36:00,OANDA:EURUSD,1.0624,1.06252,1.0623,1.06246,125.0,Interval.in_3_minute,56090160.0
6,2023-10-12 04:39:00,OANDA:EURUSD,1.06246,1.0626,1.06236,1.06256,158.0,Interval.in_3_minute,56090340.0
7,2023-10-12 04:42:00,OANDA:EURUSD,1.06256,1.0627,1.0625,1.06266,167.0,Interval.in_3_minute,56090520.0
8,2023-10-12 04:45:00,OANDA:EURUSD,1.06266,1.06269,1.06244,1.06244,146.0,Interval.in_3_minute,56090700.0
9,2023-10-12 04:48:00,OANDA:EURUSD,1.06244,1.06266,1.06238,1.0626,143.0,Interval.in_3_minute,56090880.0
10,2023-10-12 04:51:00,OANDA:EURUSD,1.0626,1.06264,1.06254,1.06258,119.0,Interval.in_3_minute,56091060.0
11,2023-10-12 04:54:00,OANDA:EURUSD,1.06258,1.0627,1.06258,1.06264,91.0,Interval.in_3_minute,56091240.0
12,2023-10-12 04:57:00,OANDA:EURUSD,1.06264,1.06268,1.06246,1.06248,147.0,Interval.in_3_minute,56091420.0
13,2023-10-12 05:00:00,OANDA:EURUSD,1.06248,1.0626,1.06238,1.0626,126.0,Interval.in_3_minute,56091600.0
14,2023-10-12 05:03:00,OANDA:EURUSD,1.0626,1.06262,1.06237,1.06238,146.0,Interval.in_3_minute,56091780.0
15,2023-10-12 05:06:00,OANDA:EURUSD,1.06238,1.06244,1.06228,1.06244,119.0,Interval.in_3_minute,56091960.0
16,2023-10-12 05:09:00,OANDA:EURUSD,1.06244,1.06246,1.06232,1.06246,133.0,Interval.in_3_minute,56092140.0
17,2023-10-12 05:12:00,OANDA:EURUSD,1.06246,1.06248,1.06228,1.06235,104.0,Interval.in_3_minute,56092320.0
18,2023-10-12 05:15:00,OANDA:EURUSD,1.06235,1.0625,1.06232,1.0625,80.0,Interval.in_3_minute,56092500.0
19,2023-10-12 05:18:00,OANDA:EURUSD,1.0625,1.06258,1.06246,1.06254,68.0,Interval.in_3_minute,56092680.0
20,2023-10-12 05:21:00,OANDA:EURUSD,1.06254,1.06258,1.06224,1.06227,127.0,Interval.in_3_minute,56092860.0
