,datetime,symbol,open,high,low,close,volume
0,2023-10-05 20:55:00,OANDA:EURCAD,1.44528,1.44528,1.44498,1.44519,601.0
1,2023-10-05 20:50:00,OANDA:EURCAD,1.44532,1.44534,1.44506,1.44528,479.0
2,2023-10-05 20:45:00,OANDA:EURCAD,1.44544,1.44544,1.4451,1.44532,626.0
3,2023-10-05 20:40:00,OANDA:EURCAD,1.44567,1.44586,1.445395,1.44544,388.0
4,2023-10-05 20:35:00,OANDA:EURCAD,1.4453,1.44572,1.44522,1.44567,604.0
5,2023-10-05 20:30:00,OANDA:EURCAD,1.44542,1.44566,1.44522,1.4453,702.0
6,2023-10-05 20:25:00,OANDA:EURCAD,1.44528,1.44554,1.44526,1.44542,660.0
7,2023-10-05 20:20:00,OANDA:EURCAD,1.44495,1.4454,1.44495,1.44528,685.0
8,2023-10-05 20:15:00,OANDA:EURCAD,1.44526,1.44536,1.4448,1.44495,673.0
9,2023-10-05 20:10:00,OANDA:EURCAD,1.44548,1.44554,1.44522,1.44526,398.0
10,2023-10-05 20:05:00,OANDA:EURCAD,1.44619,1.44623,1.44545,1.44548,402.0
11,2023-10-05 20:00:00,OANDA:EURCAD,1.44603,1.44639,1.44595,1.44619,696.0
12,2023-10-05 19:55:00,OANDA:EURCAD,1.44617,1.44622,1.44569,1.44603,676.0
13,2023-10-05 19:50:00,OANDA:EURCAD,1.44624,1.44626,1.445715,1.44617,610.0
14,2023-10-05 19:45:00,OANDA:EURCAD,1.44641,1.44647,1.445815,1.44624,345.0
15,2023-10-05 19:40:00,OANDA:EURCAD,1.44651,1.4467,1.44636,1.44641,392.0
16,2023-10-05 19:35:00,OANDA:EURCAD,1.44648,1.44653,1.44623,1.44651,362.0
17,2023-10-05 19:30:00,OANDA:EURCAD,1.44656,1.446685,1.44626,1.44648,622.0
18,2023-10-05 19:25:00,OANDA:EURCAD,1.44643,1.44688,1.44641,1.44656,655.0
19,2023-10-05 19:20:00,OANDA:EURCAD,1.44628,1.4468,1.446095,1.44643,433.0
20,2023-10-05 19:15:00,OANDA:EURCAD,1.44628,1.44646,1.445715,1.44628,572.0
21,2023-10-05 19:10:00,OANDA:EURCAD,1.44626,1.4465,1.44594,1.44628,648.0
22,2023-10-05 19:05:00,OANDA:EURCAD,1.4465,1.44679,1.44608,1.44626,797.0
23,2023-10-05 19:00:00,OANDA:EURCAD,1.44596,1.44666,1.445815,1.4465,1259.0
24,2023-10-05 18:55:00,OANDA:EURCAD,1.4461,1.446425,1.44583,1.44596,835.0
25,2023-10-05 18:50:00,OANDA:EURCAD,1.44595,1.44626,1.4458,1.4461,769.0
26,2023-10-05 18:45:00,OANDA:EURCAD,1.44609,1.44626,1.445835,1.44595,846.0
27,2023-10-05 18:40:00,OANDA:EURCAD,1.44618,1.44658,1.44608,1.44609,815.0
28,2023-10-05 18:35:00,OANDA:EURCAD,1.4465,1.4466,1.44606,1.44618,693.0
29,2023-10-05 18:30:00,OANDA:EURCAD,1.44611,1.44658,1.44611,1.4465,596.0
30,2023-10-05 18:25:00,OANDA:EURCAD,1.44599,1.44624,1.44562,1.44611,678.0
31,2023-10-05 18:20:00,OANDA:EURCAD,1.4465,1.44665,1.4458,1.44599,670.0
32,2023-10-05 18:15:00,OANDA:EURCAD,1.44577,1.44651,1.44555,1.4465,540.0
33,2023-10-05 18:10:00,OANDA:EURCAD,1.44594,1.44604,1.4453,1.44577,726.0
34,2023-10-05 18:05:00,OANDA:EURCAD,1.4464,1.4465,1.44571,1.44594,845.0
35,2023-10-05 18:00:00,OANDA:EURCAD,1.44578,1.446525,1.44541,1.4464,785.0
36,2023-10-05 17:55:00,OANDA:EURCAD,1.44567,1.446,1.44552,1.44578,630.0
37,2023-10-05 17:50:00,OANDA:EURCAD,1.44488,1.44578,1.444795,1.44567,906.0
38,2023-10-05 17:45:00,OANDA:EURCAD,1.44517,1.44545,1.444055,1.44488,783.0
39,2023-10-05 17:40:00,OANDA:EURCAD,1.44514,1.4455,1.44511,1.44517,1021.0
40,2023-10-05 17:35:00,OANDA:EURCAD,1.44536,1.44548,1.44492,1.44514,1214.0
41,2023-10-05 17:30:00,OANDA:EURCAD,1.44504,1.44539,1.44474,1.44536,1396.0
42,2023-10-05 17:25:00,OANDA:EURCAD,1.4448,1.44554,1.44475,1.44504,872.0
43,2023-10-05 17:20:00,OANDA:EURCAD,1.44434,1.44482,1.44428,1.4448,877.0
44,2023-10-05 17:15:00,OANDA:EURCAD,1.44473,1.44492,1.44417,1.44434,781.0
45,2023-10-05 17:10:00,OANDA:EURCAD,1.44498,1.44546,1.44466,1.44473,1085.0
46,2023-10-05 17:05:00,OANDA:EURCAD,1.44514,1.44543,1.444815,1.44498,912.0
47,2023-10-05 17:00:00,OANDA:EURCAD,1.44661,1.44665,1.44512,1.44514,727.0
48,2023-10-05 16:55:00,OANDA:EURCAD,1.44682,1.44714,1.44633,1.44661,746.0
49,2023-10-05 16:50:00,OANDA:EURCAD,1.44728,1.44758,1.44679,1.44682,1035.0
50,2023-10-05 16:45:00,OANDA:EURCAD,1.44668,1.44743,1.44668,1.44728,1134.0
51,2023-10-05 16:40:00,OANDA:EURCAD,1.44646,1.44683,1.44628,1.44668,1079.0
52,2023-10-05 16:35:00,OANDA:EURCAD,1.4465,1.44679,1.44614,1.44646,1275.0
53,2023-10-05 16:30:00,OANDA:EURCAD,1.44786,1.44802,1.44626,1.4465,1297.0
54,2023-10-05 16:25:00,OANDA:EURCAD,1.4468,1.447865,1.44666,1.44786,1046.0
55,2023-10-05 16:20:00,OANDA:EURCAD,1.44615,1.446825,1.4459,1.4468,841.0
56,2023-10-05 16:15:00,OANDA:EURCAD,1.44659,1.44665,1.44582,1.44615,752.0
57,2023-10-05 16:10:00,OANDA:EURCAD,1.44696,1.44699,1.4463,1.44659,1022.0
58,2023-10-05 16:05:00,OANDA:EURCAD,1.44756,1.44756,1.44682,1.44696,1272.0
59,2023-10-05 16:00:00,OANDA:EURCAD,1.44634,1.44758,1.4463,1.44756,975.0
60,2023-10-05 15:55:00,OANDA:EURCAD,1.44586,1.44655,1.4458,1.44634,1140.0
61,2023-10-05 15:50:00,OANDA:EURCAD,1.44572,1.44586,1.445195,1.44586,934.0
62,2023-10-05 15:45:00,OANDA:EURCAD,1.44554,1.44582,1.44484,1.44572,825.0
63,2023-10-05 15:40:00,OANDA:EURCAD,1.4448,1.445685,1.44478,1.44554,905.0
64,2023-10-05 15:35:00,OANDA:EURCAD,1.44558,1.44567,1.44476,1.4448,849.0
65,2023-10-05 15:30:00,OANDA:EURCAD,1.44676,1.4468,1.445455,1.44558,1131.0
66,2023-10-05 15:25:00,OANDA:EURCAD,1.44651,1.44696,1.44651,1.44676,724.0
67,2023-10-05 15:20:00,OANDA:EURCAD,1.44704,1.447425,1.446475,1.44651,913.0
68,2023-10-05 15:15:00,OANDA:EURCAD,1.44749,1.44762,1.44688,1.44704,656.0
69,2023-10-05 15:10:00,OANDA:EURCAD,1.44772,1.44772,1.44716,1.44749,676.0
70,2023-10-05 15:05:00,OANDA:EURCAD,1.44763,1.44834,1.44758,1.44772,589.0
71,2023-10-05 15:00:00,OANDA:EURCAD,1.44746,1.447725,1.44718,1.44763,826.0
