,datetime,symbol,open,high,low,close,volume
0,2023-11-22 21:33:00,OANDA:EURUSD,1.08867,1.08868,1.08843,1.08847,64.0
1,2023-11-22 21:32:00,OANDA:EURUSD,1.08852,1.088685,1.08852,1.08867,43.0
2,2023-11-22 21:31:00,OANDA:EURUSD,1.0885,1.08856,1.08849,1.08852,30.0
3,2023-11-22 21:30:00,OANDA:EURUSD,1.08859,1.08859,1.08848,1.0885,36.0
4,2023-11-22 21:29:00,OANDA:EURUSD,1.08854,1.0886,1.08853,1.08859,41.0
5,2023-11-22 21:28:00,OANDA:EURUSD,1.08856,1.08858,1.0885,1.08854,40.0
6,2023-11-22 21:27:00,OANDA:EURUSD,1.08854,1.08859,1.08848,1.08856,48.0
7,2023-11-22 21:26:00,OANDA:EURUSD,1.08848,1.08856,1.08844,1.08854,47.0
8,2023-11-22 21:25:00,OANDA:EURUSD,1.08832,1.08854,1.08832,1.08848,56.0
9,2023-11-22 21:24:00,OANDA:EURUSD,1.08834,1.088345,1.0883,1.08832,51.0
10,2023-11-22 21:23:00,OANDA:EURUSD,1.08845,1.08845,1.08833,1.08834,49.0
11,2023-11-22 21:22:00,OANDA:EURUSD,1.08844,1.08845,1.088375,1.08845,34.0
12,2023-11-22 21:21:00,OANDA:EURUSD,1.08848,1.088505,1.08841,1.08844,32.0
13,2023-11-22 21:20:00,OANDA:EURUSD,1.08858,1.088605,1.088435,1.08848,41.0
14,2023-11-22 21:19:00,OANDA:EURUSD,1.08864,1.08866,1.08857,1.08858,40.0
15,2023-11-22 21:18:00,OANDA:EURUSD,1.0886,1.08865,1.08858,1.08864,41.0
16,2023-11-22 21:17:00,OANDA:EURUSD,1.08859,1.08866,1.08858,1.0886,83.0
17,2023-11-22 21:16:00,OANDA:EURUSD,1.0885,1.08861,1.08848,1.08859,68.0
18,2023-11-22 21:15:00,OANDA:EURUSD,1.08846,1.08855,1.08846,1.0885,72.0
19,2023-11-22 21:14:00,OANDA:EURUSD,1.08844,1.088485,1.08841,1.08846,37.0
20,2023-11-22 21:13:00,OANDA:EURUSD,1.08844,1.088485,1.088435,1.08844,42.0
21,2023-11-22 21:12:00,OANDA:EURUSD,1.0885,1.0885,1.088375,1.08844,51.0
22,2023-11-22 21:11:00,OANDA:EURUSD,1.08862,1.08864,1.08848,1.0885,48.0
23,2023-11-22 21:10:00,OANDA:EURUSD,1.08864,1.0887,1.088575,1.08862,51.0
24,2023-11-22 21:09:00,OANDA:EURUSD,1.08864,1.0887,1.08858,1.08864,78.0
25,2023-11-22 21:08:00,OANDA:EURUSD,1.08878,1.08878,1.08864,1.08864,35.0
26,2023-11-22 21:07:00,OANDA:EURUSD,1.08876,1.08879,1.08873,1.08878,54.0
27,2023-11-22 21:06:00,OANDA:EURUSD,1.08862,1.08879,1.08861,1.08876,72.0
28,2023-11-22 21:05:00,OANDA:EURUSD,1.08852,1.08863,1.08852,1.08862,27.0
29,2023-11-22 21:04:00,OANDA:EURUSD,1.08858,1.08859,1.088515,1.08852,27.0
30,2023-11-22 21:03:00,OANDA:EURUSD,1.08856,1.08862,1.08855,1.08858,60.0
31,2023-11-22 21:02:00,OANDA:EURUSD,1.08858,1.088625,1.08855,1.08856,49.0
32,2023-11-22 21:01:00,OANDA:EURUSD,1.08848,1.08864,1.08847,1.08858,97.0
33,2023-11-22 21:00:00,OANDA:EURUSD,1.08848,1.088545,1.08846,1.08848,82.0
