,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,True,True,True,False,False,False,False,2023-10-06 21:00:00,neutral,long,long,short,long
1,True,True,True,True,True,True,True,True,True,True,2023-10-06 20:30:00,neutral,neutral,long,short,long
2,False,False,True,True,True,True,True,True,True,False,2023-10-06 20:15:00,neutral,long,short,short,long
3,True,True,True,True,True,True,True,True,True,True,2023-10-06 20:00:00,neutral,neutral,short,short,long
4,True,True,True,True,True,True,True,True,True,True,2023-10-06 19:45:00,neutral,short,short,short,long
5,False,True,True,True,True,True,True,True,True,True,2023-10-06 19:30:00,neutral,short,long,short,long
6,False,False,False,True,False,True,True,True,True,True,2023-10-06 19:15:00,neutral,short,long,short,long
7,False,False,False,False,True,False,False,True,True,True,2023-10-06 19:00:00,neutral,neutral,long,short,short
8,False,False,False,False,False,False,False,False,True,True,2023-10-06 18:45:00,neutral,long,long,short,short
9,True,True,False,False,False,False,True,False,True,True,2023-10-06 18:30:00,neutral,long,long,short,short
10,True,True,True,True,True,True,True,True,True,True,2023-10-06 18:15:00,neutral,long,long,short,short
11,True,True,True,True,True,True,True,True,True,True,2023-10-06 18:00:00,neutral,neutral,long,short,short
12,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:45:00,neutral,neutral,long,short,short
13,False,True,True,True,True,True,True,True,True,True,2023-10-06 17:30:00,neutral,long,long,short,short
14,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:15:00,neutral,long,long,long,short
15,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:00:00,neutral,long,long,long,short
16,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:45:00,neutral,long,short,long,long
17,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:30:00,neutral,long,short,long,long
18,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:15:00,long,long,short,long,long
19,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:00:00,short,neutral,short,long,long
20,True,True,True,True,True,True,True,True,True,True,2023-10-06 15:45:00,neutral,short,short,long,long
21,False,True,True,True,True,True,True,True,True,True,2023-10-06 15:30:00,long,short,short,long,long
22,False,False,False,False,False,False,False,False,False,False,2023-10-06 15:15:00,neutral,neutral,long,short,short
23,False,False,False,False,False,False,False,False,False,False,2023-10-06 15:00:00,neutral,neutral,long,short,short
24,True,True,False,False,False,False,False,False,False,False,2023-10-06 14:45:00,neutral,neutral,long,short,short
25,False,True,True,False,False,False,False,False,False,False,2023-10-06 14:30:00,neutral,neutral,short,short,short
26,True,True,True,True,False,False,False,False,False,False,2023-10-06 14:15:00,neutral,short,short,short,long
27,False,True,True,True,True,False,False,False,False,False,2023-10-06 14:00:00,neutral,neutral,short,short,long
28,False,False,True,True,True,True,False,False,False,False,2023-10-06 13:45:00,neutral,neutral,short,short,long
29,True,True,False,True,True,True,True,False,False,False,2023-10-06 13:30:00,neutral,short,short,short,long
30,False,True,False,False,True,True,True,True,False,False,2023-10-06 13:15:00,neutral,neutral,short,short,long
31,False,False,False,False,False,False,False,True,True,False,2023-10-06 13:00:00,neutral,neutral,short,short,long
32,True,False,False,False,False,False,True,True,True,True,2023-10-06 12:45:00,neutral,neutral,short,short,short
33,False,False,False,False,False,False,False,False,False,False,2023-10-06 12:30:00,neutral,long,long,short,short
