,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,True,True,True,False,False,True,True,2023-10-06 23:46:00,neutral,neutral,short,long,long
1,False,False,True,True,True,False,False,True,False,False,2023-10-06 23:44:00,neutral,short,short,long,short
2,False,False,False,False,False,True,False,False,False,False,2023-10-06 23:43:00,neutral,neutral,short,long,short
3,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:42:00,short,neutral,short,long,long
4,True,False,False,False,False,False,False,True,False,False,2023-10-06 23:41:00,neutral,short,short,long,long
5,False,True,False,False,False,False,False,False,True,False,2023-10-06 23:40:00,neutral,short,short,long,long
6,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:39:00,neutral,short,short,long,long
7,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:38:00,neutral,neutral,short,long,long
8,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:37:00,neutral,neutral,short,long,long
9,True,True,False,False,False,False,False,False,False,False,2023-10-06 23:36:00,neutral,short,short,long,long
10,False,True,False,False,False,False,False,False,False,False,2023-10-06 23:35:00,neutral,neutral,short,long,long
11,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:34:00,neutral,long,long,long,long
12,True,False,False,False,False,False,False,False,False,False,2023-10-06 23:33:00,neutral,neutral,short,long,long
13,True,True,False,False,False,False,False,False,False,False,2023-10-06 23:32:00,neutral,short,long,long,long
14,False,True,True,False,False,False,False,False,False,False,2023-10-06 23:31:00,neutral,neutral,long,long,long
15,False,False,False,False,False,False,False,False,False,False,2023-10-06 23:30:00,neutral,neutral,long,long,short
16,True,True,True,True,True,False,False,False,False,False,2023-10-06 23:29:00,long,neutral,long,long,short
17,False,True,False,False,False,False,False,False,False,False,2023-10-06 23:28:00,neutral,long,long,long,short
