,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,False,False,False,False,False,False,False,2023-10-06 21:00:00,neutral,long,long,short,long
1,True,True,True,True,True,True,True,True,True,True,2023-10-06 20:30:00,neutral,neutral,long,short,long
2,False,True,True,True,True,True,True,True,True,True,2023-10-06 20:15:00,neutral,long,long,short,long
3,True,True,True,True,True,True,True,True,True,True,2023-10-06 20:00:00,neutral,long,long,short,long
4,True,True,True,True,True,True,True,True,True,True,2023-10-06 19:45:00,neutral,long,short,short,long
5,True,True,True,True,True,True,True,True,True,True,2023-10-06 19:30:00,short,neutral,long,short,long
6,True,True,True,True,True,True,True,True,True,True,2023-10-06 19:15:00,long,short,long,short,long
7,False,True,True,True,True,True,True,True,True,True,2023-10-06 19:00:00,neutral,short,long,short,short
8,False,False,False,False,True,True,True,True,True,True,2023-10-06 18:45:00,neutral,neutral,long,short,short
9,False,False,False,False,False,True,True,True,True,True,2023-10-06 18:30:00,neutral,long,long,short,short
10,True,True,False,False,True,True,True,True,True,True,2023-10-06 18:15:00,neutral,long,long,short,short
11,True,True,True,True,True,True,True,True,True,True,2023-10-06 18:00:00,neutral,neutral,long,short,short
12,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:45:00,neutral,neutral,long,short,short
13,False,True,True,True,True,True,True,True,True,True,2023-10-06 17:30:00,short,long,long,short,short
14,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:15:00,neutral,neutral,long,long,short
15,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:00:00,neutral,neutral,long,long,short
16,False,True,True,True,True,True,True,True,True,True,2023-10-06 16:45:00,neutral,long,short,long,short
17,True,False,True,True,True,True,True,True,True,True,2023-10-06 16:30:00,neutral,long,short,long,long
18,True,True,False,True,True,True,True,True,True,True,2023-10-06 16:15:00,short,long,short,long,long
19,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:00:00,neutral,neutral,short,long,long
20,True,True,True,True,True,True,True,True,True,True,2023-10-06 15:45:00,long,short,short,long,long
21,False,False,True,True,True,True,True,True,True,True,2023-10-06 15:30:00,long,short,short,long,long
22,False,False,False,False,False,False,False,False,True,True,2023-10-06 15:15:00,long,short,long,short,long
23,False,False,False,False,False,False,False,False,False,True,2023-10-06 15:00:00,neutral,neutral,long,short,long
24,False,False,False,False,False,False,False,False,False,False,2023-10-06 14:45:00,neutral,long,long,short,long
25,True,True,False,False,False,False,False,False,False,False,2023-10-06 14:30:00,long,long,long,short,long
26,True,True,True,False,False,False,False,False,False,False,2023-10-06 14:15:00,neutral,neutral,long,short,long
27,True,True,True,True,False,False,False,False,False,False,2023-10-06 14:00:00,short,short,long,short,long
28,False,True,True,True,True,False,False,False,False,False,2023-10-06 13:45:00,neutral,neutral,long,short,short
29,False,False,False,True,True,True,False,False,False,False,2023-10-06 13:30:00,long,long,long,short,short
30,True,False,False,False,True,True,True,False,False,False,2023-10-06 13:15:00,neutral,long,long,short,short
31,True,True,False,False,True,True,True,True,False,False,2023-10-06 13:00:00,neutral,long,long,short,short
32,True,True,True,True,True,True,True,True,True,False,2023-10-06 12:45:00,neutral,long,long,short,short
33,True,True,True,True,True,True,True,True,True,True,2023-10-06 12:30:00,neutral,long,long,short,long
34,True,True,True,True,True,True,True,True,True,True,2023-10-06 12:15:00,neutral,long,long,short,long
35,True,True,True,True,True,True,True,True,True,True,2023-10-06 12:00:00,neutral,long,long,short,long
36,True,True,True,True,True,True,True,True,True,True,2023-10-06 11:45:00,neutral,neutral,long,short,long
37,True,True,True,True,True,True,True,True,True,True,2023-10-06 11:30:00,long,short,long,short,short
38,False,True,True,True,True,True,True,True,True,True,2023-10-06 11:15:00,neutral,neutral,long,short,short
39,False,False,False,True,True,True,True,True,True,True,2023-10-06 11:00:00,neutral,long,long,short,short
40,True,False,False,False,True,True,True,True,True,True,2023-10-06 10:45:00,neutral,long,long,short,short
41,True,True,True,False,True,True,True,True,True,True,2023-10-06 10:30:00,neutral,long,long,short,short
42,True,True,True,True,True,True,True,True,True,True,2023-10-06 10:15:00,neutral,long,long,short,short
43,True,True,True,True,True,True,True,True,True,True,2023-10-06 10:00:00,neutral,neutral,long,short,short
44,True,True,True,True,True,True,True,True,True,True,2023-10-06 09:45:00,neutral,neutral,long,short,short
45,False,True,True,True,True,True,True,True,True,True,2023-10-06 09:30:00,neutral,neutral,long,short,short
46,True,True,True,True,True,True,True,True,True,True,2023-10-06 09:15:00,neutral,neutral,long,short,long
47,False,True,False,True,True,True,True,True,True,True,2023-10-06 09:00:00,neutral,neutral,long,short,long
48,True,True,True,True,True,True,True,True,True,True,2023-10-06 08:45:00,long,short,long,short,long
49,False,True,True,True,True,True,True,True,True,True,2023-10-06 08:30:00,neutral,neutral,long,short,long
50,False,False,True,True,True,True,True,True,True,True,2023-10-06 08:15:00,neutral,long,long,short,long
51,True,False,False,True,True,True,True,True,True,True,2023-10-06 08:00:00,neutral,long,long,short,long
52,True,True,True,True,True,True,True,True,True,True,2023-10-06 07:45:00,neutral,neutral,long,short,long
53,True,True,True,True,True,True,True,True,True,True,2023-10-06 07:30:00,long,short,long,short,short
54,False,True,True,True,True,True,True,True,True,True,2023-10-06 07:15:00,neutral,neutral,long,short,short
55,False,False,True,True,True,True,True,True,True,True,2023-10-06 07:00:00,neutral,long,long,short,short
56,True,True,True,True,True,True,True,True,True,True,2023-10-06 06:45:00,neutral,long,long,short,short
57,True,True,True,True,True,True,True,True,True,True,2023-10-06 06:30:00,neutral,neutral,long,short,short
58,True,True,True,True,True,True,True,True,True,True,2023-10-06 06:15:00,neutral,neutral,long,short,short
59,False,False,True,True,True,True,True,True,True,True,2023-10-06 06:00:00,long,neutral,long,short,short
60,True,True,True,True,True,True,True,True,True,True,2023-10-06 05:45:00,neutral,neutral,long,short,long
61,False,True,True,True,True,True,True,True,True,True,2023-10-06 05:30:00,neutral,long,short,short,long
62,True,True,True,True,True,True,True,True,True,True,2023-10-06 05:15:00,short,neutral,short,short,long
63,True,True,True,True,True,True,True,True,True,True,2023-10-06 05:00:00,neutral,short,short,short,long
64,False,True,True,True,True,True,True,True,True,True,2023-10-06 04:45:00,long,neutral,short,short,long
65,False,False,False,True,True,True,True,True,True,True,2023-10-06 04:30:00,short,neutral,short,short,long
66,True,False,False,False,True,True,True,True,True,True,2023-10-06 04:15:00,neutral,neutral,long,short,short
67,False,False,False,False,False,True,True,True,True,True,2023-10-06 04:00:00,neutral,long,long,short,short
68,True,False,False,False,False,False,True,True,True,True,2023-10-06 03:45:00,neutral,neutral,long,short,short
69,True,True,False,False,False,False,False,True,True,True,2023-10-06 03:30:00,neutral,neutral,long,short,short
70,False,False,False,False,False,False,False,False,True,True,2023-10-06 03:15:00,long,long,long,short,short
71,True,True,True,True,False,False,False,False,False,True,2023-10-06 03:00:00,neutral,neutral,long,short,short
72,True,True,True,True,True,True,True,False,False,True,2023-10-06 02:45:00,neutral,neutral,long,short,short
73,False,True,True,True,True,True,True,True,False,False,2023-10-06 02:30:00,short,neutral,short,short,long
74,True,True,True,True,True,True,True,True,True,True,2023-10-06 02:15:00,long,short,short,short,long
75,False,True,True,True,True,True,True,True,True,True,2023-10-06 02:00:00,long,neutral,short,short,long
76,False,False,True,False,True,True,True,True,True,True,2023-10-06 01:45:00,short,neutral,short,short,long
77,True,False,False,True,False,True,True,True,True,True,2023-10-06 01:30:00,neutral,short,short,short,long
78,False,False,False,False,True,False,True,True,True,True,2023-10-06 01:15:00,neutral,short,short,short,long
79,False,False,False,False,False,False,False,False,True,True,2023-10-06 01:00:00,neutral,neutral,short,short,long
80,False,False,False,False,False,False,False,False,False,True,2023-10-06 00:45:00,short,neutral,short,long,long
81,True,True,False,False,False,False,False,False,False,True,2023-10-06 00:30:00,neutral,neutral,long,long,long
82,False,True,False,False,False,False,False,False,False,False,2023-10-06 00:15:00,neutral,neutral,long,long,long
83,True,False,True,True,False,False,False,False,False,False,2023-10-06 00:00:00,long,neutral,long,long,long
84,False,False,False,False,False,False,False,False,False,False,2023-10-05 23:45:00,neutral,long,long,long,long
85,True,False,False,False,False,False,False,False,False,False,2023-10-05 23:30:00,neutral,long,long,long,long
86,True,True,False,False,False,True,False,False,False,False,2023-10-05 23:15:00,neutral,long,long,long,long
87,True,True,True,True,True,True,True,True,False,False,2023-10-05 23:00:00,neutral,long,long,long,long
88,True,True,True,True,True,True,True,True,True,True,2023-10-05 22:45:00,neutral,long,long,long,long
89,True,True,True,True,True,True,True,True,True,True,2023-10-05 22:30:00,neutral,neutral,long,long,short
90,True,True,True,True,True,True,True,True,True,True,2023-10-05 22:15:00,long,short,long,long,short
91,False,True,True,True,True,True,True,True,True,True,2023-10-05 22:00:00,neutral,neutral,long,short,short
92,False,False,True,True,True,True,True,True,True,True,2023-10-05 21:45:00,neutral,neutral,long,short,short
93,True,True,True,True,True,True,True,True,True,True,2023-10-05 21:30:00,neutral,neutral,long,short,short
94,False,True,True,True,True,True,True,True,True,True,2023-10-05 21:15:00,neutral,long,long,short,short
95,True,True,True,True,True,True,True,True,True,True,2023-10-05 21:00:00,neutral,long,long,short,short
96,True,True,True,True,True,True,True,True,True,True,2023-10-05 20:45:00,neutral,long,long,short,short
97,True,True,True,True,True,True,True,True,True,True,2023-10-05 20:30:00,neutral,neutral,short,short,long
98,True,True,True,True,True,True,True,True,True,True,2023-10-05 20:15:00,neutral,short,short,short,long
99,False,True,True,True,True,True,True,True,True,True,2023-10-05 20:00:00,neutral,short,short,short,short
100,False,False,True,True,True,True,True,True,True,True,2023-10-05 19:45:00,neutral,short,short,short,short
