,profit,loss,signal,open_signal_price,close_signal_price,data
0,1,0,short,0.87322,0.87306,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:41:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
1,1,1,long,0.87312,0.87286,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:52:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', ScalpPro']], 'SHORT ⬇': [1, [', NadarayaWatson']], 'Нет сигнала': [0, []]})
    "
2,1,2,long,0.87271,0.8727,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:25:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', ScalpPro']], 'SHORT ⬇': [1, [', NadarayaWatson']], 'Нет сигнала': [0, []]})
    "
3,2,2,short,0.8726,0.87259,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:17:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
4,3,2,short,0.87232,0.8722,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 21:18:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [1, [', UMA']], 'SHORT ⬇': [4, [', SuperOrderBlock', ', Volume', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
5,3,3,long,0.87298,0.87274,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:59:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
6,3,4,short,0.87258,0.8727,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:42:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
7,4,4,short,0.87265,0.87246,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:06:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
8,4,5,short,0.87188,0.8724,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 17:37:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
9,5,5,short,0.87214,0.87204,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 16:56:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
10,6,5,short,0.87232,0.87232,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 16:39:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
11,7,5,short,0.87233,0.87228,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 16:35:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
12,8,5,long,0.87124,0.872,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 15:38:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
13,9,5,long,0.87128,0.87136,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 15:20:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', ScalpPro']], 'SHORT ⬇': [1, [', NadarayaWatson']], 'Нет сигнала': [0, []]})
    "
14,10,5,long,0.87106,0.87116,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 14:30:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', Volume', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [1, [', UMA']], 'Нет сигнала': [0, []]})
    "
15,11,5,long,0.87171,0.87186,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 12:59:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
16,11,6,short,0.8714,0.87144,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 12:45:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
17,12,6,short,0.87128,0.87122,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 12:29:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
18,13,6,short,0.87134,0.8713,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 12:27:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
19,14,6,short,0.87166,0.87154,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 12:20:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
20,14,7,long,0.87184,0.87178,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 10:39:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
21,14,8,long,0.87136,0.87096,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 10:08:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
22,14,9,long,0.87164,0.87143,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 09:54:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
