,datetime,is_profit,signal,open_signal_price,close_signal_price,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,2023-10-06 21:15:00,True,long,0.8728,0.8731,long,neutral,long,long,long
1,2023-10-06 20:45:00,False,short,0.87268,0.87284,short,neutral,short,long,short
2,2023-10-06 20:15:00,True,long,0.87276,0.87282,long,neutral,short,long,long
3,2023-10-06 20:10:00,True,long,0.87256,0.87298,long,neutral,long,long,long
4,2023-10-06 19:10:00,False,long,0.87288,0.8727,long,neutral,long,long,short
5,2023-10-06 18:05:00,True,long,0.87116,0.87174,long,neutral,long,short,long
6,2023-10-06 16:40:00,False,short,0.86835,0.86876,short,neutral,short,long,short
7,2023-10-06 16:30:00,True,short,0.86855,0.86838,short,neutral,short,long,short
8,2023-10-06 15:40:00,True,short,0.86784,0.86752,short,neutral,short,long,short
9,2023-10-06 15:25:00,False,long,0.87238,0.86784,long,neutral,long,short,long
10,2023-10-06 15:00:00,False,short,0.8727,0.87278,short,neutral,long,short,short
11,2023-10-06 13:55:00,True,short,0.87208,0.87188,short,neutral,short,short,long
12,2023-10-06 13:25:00,True,short,0.87194,0.87186,short,short,short,short,short
13,2023-10-06 12:40:00,False,long,0.87256,0.87218,long,neutral,long,short,long
14,2023-10-06 12:25:00,False,short,0.87248,0.87256,short,neutral,short,short,short
15,2023-10-06 12:15:00,False,short,0.8725,0.87273,short,neutral,short,short,short
16,2023-10-06 12:00:00,True,short,0.8728,0.8725,short,neutral,short,short,long
17,2023-10-06 11:40:00,False,short,0.87236,0.87258,short,neutral,short,short,short
18,2023-10-06 10:55:00,False,short,0.87202,0.87227,short,short,short,long,short
19,2023-10-06 10:10:00,False,long,0.87311,0.87304,long,neutral,long,long,long
20,2023-10-06 10:00:00,True,short,0.8734,0.87274,short,neutral,short,short,long
21,2023-10-06 09:05:00,True,long,0.87253,0.8726,long,neutral,short,long,long
22,2023-10-06 08:05:00,True,long,0.87308,0.87309,long,neutral,short,long,long
23,2023-10-06 07:30:00,False,long,0.87376,0.87336,long,neutral,short,long,long
24,2023-10-06 07:20:00,True,long,0.87356,0.87378,long,neutral,short,long,long
25,2023-10-06 06:30:00,False,long,0.87428,0.87402,long,neutral,long,long,long
26,2023-10-06 05:25:00,True,long,0.8739,0.8741,long,neutral,long,long,long
27,2023-10-06 04:30:00,True,long,0.87318,0.87346,long,neutral,long,long,long
28,2023-10-06 04:10:00,False,short,0.87327,0.87371,short,long,short,long,short
29,2023-10-06 03:00:00,True,short,0.87311,0.87289,short,neutral,short,short,short
30,2023-10-06 01:10:00,True,long,0.87321,0.87366,long,neutral,long,short,long
31,2023-10-06 00:00:00,True,short,0.8733,0.87286,short,neutral,short,short,short
32,2023-10-05 23:35:00,True,short,0.87329,0.87306,short,neutral,short,short,long
33,2023-10-05 22:55:00,False,long,0.87356,0.87325,long,neutral,long,short,long
34,2023-10-05 20:20:00,False,short,0.8724,0.87285,short,neutral,long,short,short
35,2023-10-05 19:50:00,True,short,0.87268,0.8723,short,neutral,long,short,short
36,2023-10-05 19:25:00,True,short,0.87278,0.87251,short,neutral,long,short,short
37,2023-10-05 19:20:00,False,short,0.87244,0.87284,short,neutral,long,short,short
38,2023-10-05 19:15:00,True,long,0.87225,0.87273,long,neutral,long,short,long
39,2023-10-05 18:30:00,True,short,0.8722,0.87188,short,neutral,short,short,short
40,2023-10-05 18:20:00,True,short,0.87259,0.87204,short,long,short,short,short
41,2023-10-05 17:55:00,False,short,0.87185,0.87192,short,neutral,short,short,long
42,2023-10-05 17:40:00,False,short,0.8714,0.87185,short,neutral,short,short,long
43,2023-10-05 17:05:00,False,long,0.87176,0.87144,long,neutral,long,long,short
44,2023-10-05 16:05:00,False,long,0.87288,0.8725,long,long,short,long,long
45,2023-10-05 14:55:00,True,short,0.87326,0.87262,short,neutral,long,short,short
46,2023-10-05 14:25:00,False,short,0.87356,0.87384,short,neutral,long,short,short
47,2023-10-05 13:35:00,True,long,0.87306,0.87355,long,neutral,long,short,long
48,2023-10-05 12:10:00,False,long,0.8731,0.8729,long,neutral,long,short,long
49,2023-10-05 12:00:00,True,long,0.87278,0.87313,long,neutral,long,short,long
50,2023-10-05 11:40:00,False,short,0.87262,0.87282,short,neutral,short,short,short
