,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,True,True,True,True,True,True,True,2023-10-09 20:12:00,neutral,short,short,long,long
1,False,False,False,False,True,True,True,True,True,True,2023-10-09 20:06:00,neutral,neutral,short,long,long
2,True,True,False,True,False,True,True,True,True,True,2023-10-09 20:03:00,neutral,short,short,long,long
3,False,True,False,False,False,False,True,True,True,True,2023-10-09 20:00:00,neutral,neutral,short,long,long
4,False,False,False,False,False,False,False,False,True,True,2023-10-09 19:57:00,neutral,long,short,long,long
5,True,True,True,True,True,False,True,False,True,True,2023-10-09 19:54:00,neutral,neutral,short,long,long
6,True,True,True,True,True,True,False,True,False,True,2023-10-09 19:51:00,neutral,neutral,long,long,long
7,False,False,False,False,False,False,False,False,False,False,2023-10-09 19:48:00,neutral,long,long,long,long
8,True,False,False,False,False,False,False,False,False,False,2023-10-09 19:45:00,neutral,long,long,long,long
9,True,True,False,False,False,False,False,False,False,False,2023-10-09 19:42:00,neutral,long,long,long,long
