,profit,loss,signal,open_signal_price,close_signal_price,data
0,1,0,long,0.58866,0.58866,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:33:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
1,1,1,long,0.58876,0.58873,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:19:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [0, []]})
    "
2,2,1,short,0.58894,0.58889,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:32:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
3,2,2,long,0.58869,0.58866,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 21:13:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [0, []]})
    "
4,2,3,long,0.58872,0.58854,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:55:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [0, []]})
    "
5,2,4,long,0.58878,0.58838,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:47:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
6,3,4,long,0.58962,0.5897,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:09:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
7,4,4,long,0.59036,0.59048,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:17:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
8,4,5,short,0.5904,0.59045,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 17:50:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [1, [', NadarayaWatson']], 'SHORT ⬇': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
9,5,5,long,0.59169,0.59194,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 16:42:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
10,6,5,short,0.59102,0.59094,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 16:17:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [1, [', NadarayaWatson']], 'SHORT ⬇': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
11,6,6,long,0.59182,0.5917,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 15:31:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
12,7,6,long,0.59188,0.59188,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 15:22:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
13,7,7,short,0.5917,0.59187,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 14:46:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
14,8,7,long,0.59219,0.5924,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 14:21:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
15,8,8,long,0.59206,0.59197,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 13:43:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
16,9,8,long,0.59004,0.59032,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 12:18:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
17,9,9,long,0.59,0.58993,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 11:51:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
18,10,9,long,0.58994,0.59002,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 11:30:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
19,11,9,long,0.58986,0.58991,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 11:22:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
20,11,10,long,0.5898,0.5897,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDCHF"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 10:27:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
