,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,False,False,False,False,False,True,True,True,True,2023-10-09 14:30:00,short,neutral,short,,long
1,False,True,True,False,False,True,True,False,True,True,2023-10-09 13:30:00,long,neutral,short,,long
2,False,False,False,False,False,False,False,False,False,False,2023-10-09 13:00:00,neutral,neutral,short,,long
3,True,False,False,False,False,False,False,False,False,False,2023-10-09 12:30:00,neutral,neutral,long,,short
4,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:00:00,neutral,neutral,long,,short
5,True,True,True,False,False,False,True,False,False,False,2023-10-09 11:30:00,neutral,short,long,,short
6,False,True,True,True,False,False,False,True,False,False,2023-10-09 11:00:00,long,neutral,long,,short
7,False,False,True,False,False,False,False,False,False,False,2023-10-09 10:30:00,neutral,neutral,long,,short
8,False,False,False,False,False,False,False,False,False,False,2023-10-09 10:00:00,neutral,neutral,long,,short
9,True,True,True,True,True,True,True,True,False,True,2023-10-09 09:30:00,neutral,neutral,long,,short
10,False,True,True,True,True,True,True,True,False,False,2023-10-09 09:00:00,short,neutral,long,,long
11,True,True,True,True,True,True,True,True,True,True,2023-10-09 08:30:00,short,neutral,short,,long
12,True,True,True,True,True,True,True,True,True,True,2023-10-09 08:00:00,neutral,neutral,short,,long
13,False,True,True,True,True,True,True,True,True,True,2023-10-09 07:30:00,neutral,neutral,short,,long
14,False,False,True,True,True,True,True,True,True,True,2023-10-09 07:00:00,neutral,neutral,short,,long
15,True,False,False,True,True,True,True,True,True,True,2023-10-09 06:30:00,neutral,short,short,,long
16,False,False,False,False,False,True,False,True,True,True,2023-10-09 06:00:00,neutral,short,short,,short
17,False,False,False,False,False,False,False,False,True,True,2023-10-09 05:30:00,neutral,neutral,short,,short
18,False,False,False,False,False,False,False,False,False,True,2023-10-09 05:00:00,neutral,neutral,long,,short
19,False,False,False,False,False,False,False,False,False,False,2023-10-09 04:30:00,short,neutral,long,,short
20,True,True,True,False,False,False,False,False,False,False,2023-10-09 04:00:00,long,neutral,long,,short
21,False,False,False,False,False,False,False,False,False,False,2023-10-09 03:30:00,neutral,long,long,,short
