,profit,loss,signal,open_signal_price,close_signal_price,data
0,0,1,short,96.097,96.115,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:53:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
1,1,1,short,96.094,96.088,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:45:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
2,2,1,short,96.093,96.07,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:40:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
3,3,1,short,96.088,96.084,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:11:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
4,4,1,short,96.086,96.079,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:10:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
5,4,2,short,96.074,96.107,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:03:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
6,5,2,short,96.053,96.05,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:57:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
7,5,3,short,96.063,96.089,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:43:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
8,5,4,short,96.08,96.083,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:35:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
9,6,4,short,96.1,96.08,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:32:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
