,profit,loss,signal,open_signal_price,close_signal_price,data
0,1,0,long,0.64341,0.6435,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:47:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', ScalpPro']], 'SHORT ⬇': [1, [', NadarayaWatson']], 'Нет сигнала': [0, []]})
    "
1,2,0,short,0.64312,0.64304,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:10:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
2,3,0,short,0.64293,0.6429,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:57:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
3,3,1,short,0.64317,0.64318,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:43:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
4,4,1,short,0.64326,0.64314,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:32:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
5,5,1,short,0.64318,0.64314,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:27:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
6,6,1,short,0.6436,0.64328,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:18:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
7,6,2,short,0.64348,0.64351,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:05:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [1, [', UMA']], 'SHORT ⬇': [4, [', SuperOrderBlock', ', Volume', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
8,6,3,long,0.64275,0.64269,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 21:45:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
9,6,4,short,0.64266,0.64294,"

Проверка сигнала:
    	Валютная пара: OANDA:AUDUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:52:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
