,profit,loss,signal,open_signal_price,close_signal_price,data
0,1,0,short,1.43512,1.43479,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:49:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
1,1,1,short,1.43545,1.43548,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:42:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
2,2,1,short,1.4357,1.43554,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:27:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
3,2,2,short,1.43557,1.43586,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:17:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
4,2,3,short,1.43346,1.43368,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:13:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
5,3,3,short,1.4333,1.43318,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:28:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
6,3,4,short,1.43211,1.43215,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:30:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
7,4,4,short,1.43226,1.43206,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:25:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [1, [', Volume']], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
8,4,5,short,1.43204,1.43236,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:24:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
9,4,6,long,1.43135,1.43132,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:39:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', ScalpPro']], 'SHORT ⬇': [1, [', NadarayaWatson']], 'Нет сигнала': [0, []]})
    "
10,4,7,short,1.43099,1.43104,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:06:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
11,4,8,long,1.42829,1.42772,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 17:25:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [0, []]})
    "
12,5,8,long,1.42714,1.42724,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 17:18:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
13,5,9,long,1.42575,1.42524,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 16:47:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
14,6,9,long,1.42304,1.42314,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 14:44:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
15,6,10,long,1.42472,1.4243,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 13:57:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [0, []]})
    "
16,7,10,short,1.42422,1.42388,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 13:19:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
17,8,10,short,1.42495,1.42446,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 13:14:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
18,8,11,short,1.42596,1.42607,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 12:13:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
19,8,12,short,1.42594,1.42604,"

Проверка сигнала:
    	Валютная пара: OANDA:EURCAD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 11:14:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
