,profit,loss,signal,open_signal_price,close_signal_price,data
0,0,1,short,157.942,157.944,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:55:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
1,1,1,short,157.964,157.934,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:49:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
2,1,2,short,157.948,157.954,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:20:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
3,2,2,short,157.976,157.946,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:10:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
4,2,3,short,157.954,157.956,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:37:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
5,2,4,short,157.996,158.025,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:05:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [1, [', UMA']], 'SHORT ⬇': [4, [', SuperOrderBlock', ', Volume', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
6,3,4,long,158.03,158.07,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 21:59:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson']], 'SHORT ⬇': [1, [', ScalpPro']], 'Нет сигнала': [0, []]})
    "
7,3,5,long,157.961,157.932,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 21:45:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
8,3,6,long,157.998,157.952,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:48:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
9,3,7,long,158.006,157.996,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:37:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
10,4,7,long,157.994,158.004,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:29:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
11,4,8,short,157.93,157.945,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:19:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
12,5,8,short,158.021,157.985,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:03:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
13,6,8,short,158.061,158.036,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:45:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [5, [', SuperOrderBlock', ', Volume', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
14,7,8,short,158.106,158.098,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:16:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
15,8,8,short,158.14,158.06,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:12:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
16,9,8,long,158.126,158.136,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:53:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
17,10,8,short,157.996,157.974,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:06:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
18,11,8,long,157.967,157.982,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 17:17:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
19,12,8,short,157.996,157.967,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 16:29:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
20,12,9,short,158.078,158.117,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 14:39:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
21,13,9,short,158.169,158.135,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 13:46:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [1, [', UMA']], 'SHORT ⬇': [4, [', SuperOrderBlock', ', Volume', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
22,14,9,short,158.216,158.206,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 13:14:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
23,14,10,short,158.058,158.07,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 12:17:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
24,14,11,short,157.946,157.992,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 11:50:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [1, [', UMA']], 'SHORT ⬇': [4, [', SuperOrderBlock', ', Volume', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [0, []]})
    "
25,15,11,long,157.827,157.941,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 11:04:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
26,16,11,long,157.796,157.8,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 10:58:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
27,16,12,short,157.535,157.633,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 10:36:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
28,17,12,short,157.922,157.852,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 09:10:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
29,17,13,short,157.88,157.916,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 09:05:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
30,18,13,short,157.938,157.928,"

Проверка сигнала:
    	Валютная пара: OANDA:EURJPY"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 08:42:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
