,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,False,True,True,False,False,False,False,False,False,False,2023-10-09 15:00:00,neutral,short,short,long,short
1,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:00:00,short,long,short,long,short
2,True,True,False,False,True,True,False,False,False,False,2023-10-09 13:30:00,neutral,neutral,short,long,short
3,True,True,True,True,True,True,True,False,False,False,2023-10-09 13:00:00,neutral,short,short,long,short
4,False,False,True,False,False,False,True,True,False,False,2023-10-09 12:30:00,long,short,short,long,short
5,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:00:00,short,neutral,short,long,short
6,False,False,False,False,False,False,False,False,False,False,2023-10-09 11:30:00,neutral,long,short,long,long
7,True,True,True,False,True,True,True,True,False,True,2023-10-09 11:00:00,neutral,neutral,short,long,long
8,True,True,True,True,False,True,True,True,True,True,2023-10-09 10:30:00,neutral,short,short,long,long
9,False,False,True,True,False,False,False,False,False,False,2023-10-09 10:00:00,neutral,short,short,long,long
