,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,False,False,False,False,False,False,False,False,2023-10-11 17:45:00,neutral,neutral,long,,long
1,True,False,False,False,False,False,False,False,False,False,2023-10-11 17:35:00,neutral,neutral,short,,long
2,True,True,False,True,True,False,False,False,False,False,2023-10-11 17:30:00,neutral,neutral,short,,long
3,False,True,True,False,False,False,False,False,False,False,2023-10-11 17:25:00,neutral,neutral,short,,long
4,False,False,False,True,False,False,False,False,False,False,2023-10-11 17:20:00,neutral,neutral,short,,long
5,True,True,False,True,True,False,False,True,False,False,2023-10-11 17:15:00,neutral,neutral,short,,long
6,True,True,True,False,True,True,False,False,True,False,2023-10-11 17:10:00,neutral,neutral,long,,short
7,False,False,False,False,False,False,False,False,False,False,2023-10-11 17:05:00,neutral,long,long,,short
8,True,False,False,False,False,False,False,False,False,False,2023-10-11 17:00:00,neutral,long,long,,short
9,True,True,False,False,False,False,False,False,False,False,2023-10-11 16:55:00,neutral,long,long,,short
10,True,True,True,False,False,False,False,False,False,True,2023-10-11 16:50:00,neutral,long,long,,long
11,True,True,True,True,True,True,True,True,True,True,2023-10-11 16:45:00,neutral,long,long,,long
12,True,True,True,True,True,True,True,True,True,True,2023-10-11 16:40:00,neutral,neutral,long,,long
13,True,True,True,True,True,True,True,True,True,True,2023-10-11 16:35:00,neutral,neutral,long,,long
14,True,True,True,True,True,True,True,True,True,True,2023-10-11 16:30:00,long,neutral,long,,long
15,False,False,False,True,True,True,True,True,True,True,2023-10-11 16:25:00,neutral,long,long,,long
16,True,False,False,False,True,True,True,True,True,True,2023-10-11 16:20:00,long,neutral,long,,long
17,True,True,False,False,False,True,True,True,True,True,2023-10-11 16:15:00,neutral,neutral,long,,short
18,True,True,True,True,True,True,True,True,True,True,2023-10-11 16:10:00,neutral,neutral,long,,short
19,False,True,True,True,False,True,True,True,True,True,2023-10-11 16:05:00,neutral,neutral,long,,short
20,False,False,True,True,True,False,False,False,True,True,2023-10-11 16:00:00,neutral,long,long,,short
21,True,False,False,True,True,True,False,False,True,True,2023-10-11 15:55:00,neutral,long,long,,short
22,True,True,True,False,True,True,True,True,True,True,2023-10-11 15:50:00,neutral,long,long,,short
23,True,True,True,True,False,True,True,True,True,True,2023-10-11 15:45:00,neutral,neutral,long,,long
24,True,True,True,True,True,True,True,True,True,True,2023-10-11 15:40:00,neutral,neutral,short,,long
25,True,True,True,True,True,True,True,True,True,True,2023-10-11 15:35:00,neutral,neutral,short,,long
26,False,True,True,True,True,True,True,True,True,True,2023-10-11 15:30:00,long,neutral,short,,long
27,False,False,False,True,True,True,True,True,True,True,2023-10-11 15:25:00,neutral,neutral,short,,long
28,True,False,False,True,True,True,True,True,True,True,2023-10-11 15:20:00,neutral,neutral,short,,long
29,False,False,False,False,False,True,True,True,True,True,2023-10-11 15:15:00,neutral,neutral,short,,long
30,True,False,True,False,False,False,True,True,True,True,2023-10-11 15:10:00,neutral,neutral,long,,short
31,False,True,False,False,False,False,False,True,True,True,2023-10-11 15:05:00,neutral,neutral,long,,short
32,True,True,True,False,True,False,False,True,True,True,2023-10-11 15:00:00,neutral,neutral,long,,short
33,False,False,False,False,False,False,False,False,False,True,2023-10-11 14:55:00,neutral,neutral,long,,short
34,False,False,False,False,False,False,False,False,False,False,2023-10-11 14:50:00,long,neutral,long,,short
35,True,True,False,False,False,False,False,False,False,False,2023-10-11 14:45:00,neutral,neutral,long,,short
36,True,True,True,True,True,True,True,True,True,False,2023-10-11 14:40:00,long,neutral,long,,long
37,False,True,True,True,True,True,True,True,False,True,2023-10-11 14:35:00,neutral,neutral,short,,long
38,False,False,True,True,True,False,False,False,False,False,2023-10-11 14:30:00,neutral,neutral,short,,long
39,True,True,True,True,True,True,True,True,True,True,2023-10-11 14:25:00,neutral,neutral,short,,long
40,True,True,True,True,True,True,True,True,True,True,2023-10-11 14:20:00,neutral,short,short,,long
41,False,False,True,True,True,True,True,True,True,True,2023-10-11 14:15:00,neutral,neutral,short,,long
42,False,False,False,True,True,False,True,True,True,True,2023-10-11 14:10:00,neutral,neutral,long,,short
43,False,False,False,False,False,False,False,False,False,False,2023-10-11 14:05:00,neutral,neutral,long,,short
44,True,True,False,False,False,True,True,False,True,True,2023-10-11 14:00:00,neutral,neutral,neutral,,short
45,True,True,True,False,False,False,True,True,False,True,2023-10-11 13:55:00,neutral,neutral,long,,short
46,False,False,True,False,False,False,False,False,False,False,2023-10-11 13:50:00,neutral,neutral,long,,short
47,False,False,False,True,False,False,False,False,False,False,2023-10-11 13:45:00,neutral,long,long,,short
48,True,True,False,False,True,False,False,False,False,True,2023-10-11 13:40:00,neutral,long,long,,short
49,True,True,True,False,True,True,True,False,False,False,2023-10-11 13:35:00,neutral,neutral,long,,short
50,True,True,True,True,False,True,True,True,False,False,2023-10-11 13:30:00,neutral,neutral,short,,short
51,True,True,True,True,True,True,True,True,True,False,2023-10-11 13:25:00,neutral,neutral,short,,long
52,False,False,True,True,True,True,False,True,True,True,2023-10-11 13:20:00,neutral,neutral,short,,long
53,True,True,True,True,True,True,True,True,True,True,2023-10-11 13:15:00,neutral,neutral,short,,long
54,True,True,True,True,True,True,True,True,True,True,2023-10-11 13:10:00,neutral,neutral,short,,long
55,False,False,False,False,False,False,False,False,False,False,2023-10-11 13:05:00,neutral,neutral,short,,long
56,False,False,False,False,False,False,False,False,False,False,2023-10-11 13:00:00,neutral,neutral,short,,long
57,True,False,False,False,False,False,False,False,False,False,2023-10-11 12:55:00,neutral,neutral,short,,long
58,False,False,False,False,False,False,False,False,False,False,2023-10-11 12:50:00,neutral,neutral,short,,long
59,True,False,False,False,False,False,False,False,False,False,2023-10-11 12:45:00,neutral,neutral,short,,long
60,False,False,False,False,False,False,False,False,False,False,2023-10-11 12:40:00,neutral,neutral,long,,long
61,True,True,True,False,False,False,False,False,False,False,2023-10-11 12:35:00,neutral,neutral,long,,long
62,True,True,True,True,False,False,False,False,False,False,2023-10-11 12:30:00,long,neutral,long,,long
63,False,False,True,False,True,False,False,False,False,False,2023-10-11 12:25:00,neutral,neutral,long,,long
64,False,False,False,False,False,False,False,False,False,False,2023-10-11 12:20:00,neutral,neutral,long,,long
65,True,False,False,False,False,False,False,False,False,False,2023-10-11 12:15:00,neutral,neutral,short,,long
66,True,True,True,True,True,True,True,True,False,False,2023-10-11 12:10:00,long,short,short,,long
67,False,True,True,True,True,True,True,True,True,False,2023-10-11 12:05:00,neutral,short,short,,long
68,False,False,True,True,True,True,True,True,True,True,2023-10-11 12:00:00,neutral,short,long,,short
69,False,False,False,True,True,True,False,True,True,True,2023-10-11 11:55:00,neutral,short,long,,short
70,False,False,False,False,True,True,True,False,False,True,2023-10-11 11:50:00,long,neutral,long,,short
71,False,False,False,False,False,True,True,False,False,False,2023-10-11 11:45:00,neutral,neutral,long,,short
72,False,False,False,False,False,False,True,True,False,False,2023-10-11 11:40:00,neutral,neutral,long,,short
73,True,True,True,True,True,True,True,True,True,True,2023-10-11 11:35:00,neutral,neutral,long,,short
74,True,True,True,True,True,True,True,True,True,True,2023-10-11 11:30:00,neutral,neutral,long,,short
75,False,True,True,True,True,True,True,True,True,True,2023-10-11 11:25:00,neutral,neutral,long,,short
76,True,False,True,True,True,True,True,True,True,True,2023-10-11 11:20:00,neutral,neutral,long,,long
77,False,False,False,False,True,True,True,True,True,True,2023-10-11 11:15:00,neutral,neutral,short,,long
78,True,True,True,True,True,True,True,True,True,True,2023-10-11 11:10:00,neutral,neutral,short,,long
79,False,True,True,True,True,True,True,True,True,True,2023-10-11 11:05:00,neutral,neutral,short,,long
80,False,False,True,True,True,False,True,True,True,True,2023-10-11 11:00:00,neutral,neutral,short,,long
81,True,False,False,True,True,True,False,True,True,True,2023-10-11 10:55:00,neutral,short,short,,short
82,False,False,False,False,False,False,False,False,False,True,2023-10-11 10:50:00,long,neutral,long,,short
83,False,False,False,False,False,False,False,False,False,False,2023-10-11 10:45:00,neutral,neutral,long,,short
84,False,False,False,False,False,False,False,False,False,False,2023-10-11 10:40:00,neutral,neutral,long,,short
85,True,True,False,False,False,False,False,False,False,False,2023-10-11 10:35:00,neutral,neutral,long,,short
86,False,True,True,False,False,False,False,False,False,False,2023-10-11 10:30:00,neutral,neutral,long,,long
87,True,True,True,True,False,False,False,False,False,False,2023-10-11 10:25:00,long,neutral,long,,long
88,False,False,False,True,True,False,False,False,False,False,2023-10-11 10:20:00,neutral,neutral,short,,long
89,True,True,True,True,True,True,False,False,False,False,2023-10-11 10:15:00,neutral,neutral,short,,long
