,profit,loss,signal,open_signal_price,close_signal_price,data
0,0,1,long,1.89658,1.89645,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:45:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
1,1,1,long,1.89732,1.89734,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:10:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
2,1,2,long,1.8975,1.89716,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:03:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
3,1,3,long,1.8978,1.89778,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:57:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
4,2,3,long,1.89742,1.89752,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:43:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
5,3,3,long,1.89609,1.89668,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:18:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
6,4,3,long,1.89764,1.89776,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 21:38:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
7,4,4,long,1.89756,1.89741,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 21:31:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
8,5,4,long,1.89672,1.89698,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 21:15:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
9,5,5,short,1.896,1.8962,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPAUD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:31:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
