,profit,loss,signal,open_signal_price,close_signal_price,data
0,0,1,long,1.22028,1.22026,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:28:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', Volume', ', UMA', ', ScalpPro']], 'SHORT ⬇': [1, [', NadarayaWatson']], 'Нет сигнала': [0, []]})
    "
1,0,2,short,1.22008,1.22009,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:20:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
2,1,2,short,1.22022,1.2202,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 23:08:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
3,2,2,short,1.22014,1.22008,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:57:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
4,2,3,short,1.22,1.22001,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:27:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
5,3,3,short,1.2202,1.22,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 22:23:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
6,4,3,short,1.2198,1.2192,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 20:09:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
7,5,3,short,1.22116,1.22102,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:16:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
8,6,3,short,1.22148,1.2209,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 19:11:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [0, []], 'SHORT ⬇': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'Нет сигнала': [1, [', Volume']]})
    "
9,6,4,long,1.22149,1.22118,"

Проверка сигнала:
    	Валютная пара: OANDA:GBPUSD"" таймфрейм: 0 days 00:01:00 время свечи: 2023-09-29 18:52:00
    	Есть ли сигнал: True
    	Показания индикаторов: {'LONG ⬆': [4, [', SuperOrderBlock', ', UMA', ', NadarayaWatson', ', ScalpPro']], 'SHORT ⬇': [0, []], 'Нет сигнала': [1, [', Volume']]})
    "
