,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,False,False,False,False,False,False,False,2023-10-09 17:30:00,neutral,neutral,long,,long
1,False,False,False,True,True,False,False,False,False,False,2023-10-09 17:00:00,neutral,neutral,long,,short
2,False,False,False,False,True,True,False,False,False,False,2023-10-09 16:45:00,neutral,long,long,,short
3,True,False,False,False,False,True,True,False,False,False,2023-10-09 16:30:00,neutral,long,long,,short
4,True,True,True,True,True,True,True,True,True,True,2023-10-09 16:15:00,neutral,long,long,,short
5,True,True,True,True,True,True,True,True,True,True,2023-10-09 16:00:00,neutral,neutral,long,,short
6,True,True,True,True,True,True,True,True,True,True,2023-10-09 15:45:00,neutral,neutral,long,,short
7,True,True,True,True,True,True,True,True,True,True,2023-10-09 15:30:00,neutral,neutral,long,,short
8,False,True,True,True,True,True,True,True,True,True,2023-10-09 15:15:00,neutral,neutral,long,,short
9,True,False,True,True,True,True,True,True,True,True,2023-10-09 15:00:00,neutral,short,short,,long
10,False,True,False,True,True,True,True,True,True,True,2023-10-09 14:45:00,neutral,neutral,short,,long
11,False,False,True,False,True,True,True,True,True,True,2023-10-09 14:30:00,neutral,neutral,short,,long
12,False,False,False,True,False,True,True,True,True,True,2023-10-09 14:15:00,neutral,neutral,short,,long
13,True,True,False,False,True,False,True,True,True,True,2023-10-09 14:00:00,neutral,short,short,,long
14,False,True,True,False,False,True,False,True,True,True,2023-10-09 13:45:00,neutral,short,short,,long
15,False,False,True,True,False,False,True,False,True,True,2023-10-09 13:30:00,neutral,short,short,,long
16,False,False,False,True,False,False,False,True,False,True,2023-10-09 13:15:00,neutral,neutral,short,,short
17,False,False,False,False,False,False,False,False,False,False,2023-10-09 13:00:00,neutral,neutral,long,,short
18,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:45:00,neutral,neutral,long,,short
19,True,True,False,False,False,False,False,False,False,False,2023-10-09 12:30:00,neutral,neutral,long,,short
20,False,True,False,False,False,False,False,False,False,False,2023-10-09 12:15:00,neutral,neutral,long,,short
21,True,False,True,True,False,False,False,False,False,False,2023-10-09 12:00:00,neutral,neutral,long,,short
22,True,True,True,True,True,False,False,False,False,False,2023-10-09 11:45:00,neutral,neutral,short,,short
23,False,True,True,False,True,True,False,False,False,False,2023-10-09 11:30:00,neutral,long,short,,short
24,True,True,True,True,True,True,True,False,False,False,2023-10-09 11:15:00,short,neutral,short,,long
25,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:00:00,neutral,neutral,short,,long
26,True,True,True,True,True,True,True,True,True,True,2023-10-09 10:45:00,neutral,short,short,,long
27,False,False,True,True,True,True,True,True,True,True,2023-10-09 10:30:00,neutral,neutral,short,,long
28,False,False,False,False,False,False,False,True,False,True,2023-10-09 10:15:00,short,neutral,short,,long
29,False,False,False,False,False,False,False,False,True,False,2023-10-09 10:00:00,neutral,neutral,short,,long
30,True,True,False,False,False,False,True,False,True,True,2023-10-09 09:45:00,neutral,short,short,,long
31,False,False,False,False,False,False,False,False,False,False,2023-10-09 09:30:00,neutral,neutral,long,,short
32,False,False,False,False,False,False,False,False,False,False,2023-10-09 09:15:00,neutral,neutral,long,,short
33,False,False,False,False,False,False,False,False,False,False,2023-10-09 09:00:00,neutral,long,long,,short
34,True,True,False,False,False,False,False,False,False,False,2023-10-09 08:45:00,neutral,long,long,,short
35,True,True,True,False,False,False,False,False,False,False,2023-10-09 08:30:00,neutral,long,long,,short
36,True,True,True,True,False,False,False,False,False,False,2023-10-09 08:15:00,neutral,neutral,short,,short
37,True,True,True,True,True,False,False,False,False,False,2023-10-09 08:00:00,short,neutral,short,,short
38,True,True,True,True,True,True,False,False,False,False,2023-10-09 07:45:00,neutral,short,short,,short
39,False,False,True,True,True,True,True,False,False,False,2023-10-09 07:30:00,neutral,neutral,short,,long
40,False,False,False,False,True,True,True,True,False,False,2023-10-09 07:15:00,neutral,neutral,short,,long
41,False,False,False,False,False,True,True,True,True,False,2023-10-09 07:00:00,short,neutral,short,,long
42,True,False,False,False,False,False,True,True,True,True,2023-10-09 06:45:00,neutral,short,short,,long
43,False,False,False,False,False,False,False,True,True,True,2023-10-09 06:30:00,neutral,short,short,,long
44,False,False,False,False,False,False,False,False,False,False,2023-10-09 06:15:00,neutral,short,short,,long
45,False,False,False,False,False,False,False,False,False,False,2023-10-09 06:00:00,neutral,short,short,,short
46,False,False,False,False,False,False,False,False,False,False,2023-10-09 05:45:00,short,neutral,short,,short
47,False,False,False,False,False,False,False,False,False,False,2023-10-09 05:30:00,neutral,neutral,long,,long
48,False,False,False,False,False,False,False,False,False,False,2023-10-09 05:15:00,short,neutral,short,,long
49,True,False,False,False,False,False,False,False,False,False,2023-10-09 05:00:00,neutral,neutral,short,,long
50,False,True,False,False,False,False,False,False,False,False,2023-10-09 04:45:00,neutral,neutral,short,,long
51,True,True,True,True,True,False,False,False,False,False,2023-10-09 04:30:00,neutral,neutral,short,,long
52,False,False,False,False,False,False,False,False,False,False,2023-10-09 04:15:00,neutral,neutral,short,,long
53,True,True,True,True,True,True,True,False,False,False,2023-10-09 04:00:00,neutral,neutral,short,,long
54,False,False,False,False,False,False,False,False,False,False,2023-10-09 03:45:00,neutral,long,long,,long
