,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,nw3,nw2
0,0,2023-10-27 12:06:00,OANDA:AUDCHF,0.57166,0.57169,0.571635,0.57166,18.0,Interval.in_1_minute,57413160.0,short,long
1,1,2023-10-27 12:05:00,OANDA:AUDCHF,0.5716,0.5716600000000001,0.5716,0.57166,30.0,Interval.in_1_minute,57413100.0,short,long
2,2,2023-10-27 12:04:00,OANDA:AUDCHF,0.57169,0.57174,0.571595,0.5716,38.0,Interval.in_1_minute,57413040.0,short,long
3,3,2023-10-27 12:03:00,OANDA:AUDCHF,0.57166,0.571705,0.57166,0.57169,14.0,Interval.in_1_minute,57412980.0,short,long
4,4,2023-10-27 12:02:00,OANDA:AUDCHF,0.5717,0.5717,0.57162,0.57166,17.0,Interval.in_1_minute,57412920.0,short,long
5,5,2023-10-27 12:01:00,OANDA:AUDCHF,0.57188,0.571885,0.57169,0.5717,28.0,Interval.in_1_minute,57412860.0,short,long
6,6,2023-10-27 12:00:00,OANDA:AUDCHF,0.57188,0.57191,0.57186,0.57188,28.0,Interval.in_1_minute,57412800.0,short,short
7,7,2023-10-27 11:59:00,OANDA:AUDCHF,0.57192,0.57198,0.57187,0.57188,22.0,Interval.in_1_minute,57412740.0,short,short
8,8,2023-10-27 11:58:00,OANDA:AUDCHF,0.57182,0.57192,0.5718,0.57192,28.0,Interval.in_1_minute,57412680.0,short,short
9,9,2023-10-27 11:57:00,OANDA:AUDCHF,0.57178,0.57184,0.57178,0.57182,17.0,Interval.in_1_minute,57412620.0,short,short
10,10,2023-10-27 11:56:00,OANDA:AUDCHF,0.5718,0.57187,0.57178,0.57178,32.0,Interval.in_1_minute,57412560.0,short,short
11,11,2023-10-27 11:55:00,OANDA:AUDCHF,0.5719,0.5719,0.571795,0.5718,17.0,Interval.in_1_minute,57412500.0,short,short
12,12,2023-10-27 11:54:00,OANDA:AUDCHF,0.57184,0.571905,0.57181,0.5719,31.0,Interval.in_1_minute,57412440.0,short,short
13,13,2023-10-27 11:53:00,OANDA:AUDCHF,0.5718,0.57189,0.57176,0.57184,34.0,Interval.in_1_minute,57412380.0,short,short
14,14,2023-10-27 11:52:00,OANDA:AUDCHF,0.57184,0.57191,0.571775,0.5718,29.0,Interval.in_1_minute,57412320.0,short,short
15,15,2023-10-27 11:51:00,OANDA:AUDCHF,0.57187,0.57191,0.571835,0.57184,21.0,Interval.in_1_minute,57412260.0,short,short
16,16,2023-10-27 11:50:00,OANDA:AUDCHF,0.57192,0.57192,0.57183,0.57187,27.0,Interval.in_1_minute,57412200.0,short,short
17,17,2023-10-27 11:49:00,OANDA:AUDCHF,0.57204,0.57204,0.5719,0.57192,30.0,Interval.in_1_minute,57412140.0,short,short
18,18,2023-10-27 11:48:00,OANDA:AUDCHF,0.57212,0.572145,0.572015,0.57204,34.0,Interval.in_1_minute,57412080.0,short,short
19,19,2023-10-27 11:47:00,OANDA:AUDCHF,0.57208,0.57215,0.571995,0.57212,34.0,Interval.in_1_minute,57412020.0,short,short
20,20,2023-10-27 11:46:00,OANDA:AUDCHF,0.57192,0.57224,0.571875,0.57208,61.0,Interval.in_1_minute,57411960.0,short,short
21,21,2023-10-27 11:45:00,OANDA:AUDCHF,0.57196,0.5721,0.571915,0.57192,48.0,Interval.in_1_minute,57411900.0,short,short
22,22,2023-10-27 11:44:00,OANDA:AUDCHF,0.57198,0.57202,0.57196,0.57196,30.0,Interval.in_1_minute,57411840.0,short,short
23,23,2023-10-27 11:43:00,OANDA:AUDCHF,0.57188,0.57198,0.57186,0.57198,33.0,Interval.in_1_minute,57411780.0,short,short
24,24,2023-10-27 11:42:00,OANDA:AUDCHF,0.57186,0.57198,0.57186,0.57188,29.0,Interval.in_1_minute,57411720.0,long,short
25,25,2023-10-27 11:41:00,OANDA:AUDCHF,0.57184,0.571865,0.57177,0.57186,13.0,Interval.in_1_minute,57411660.0,long,short
26,26,2023-10-27 11:40:00,OANDA:AUDCHF,0.57186,0.57191,0.57182,0.57184,18.0,Interval.in_1_minute,57411600.0,short,short
27,27,2023-10-27 11:39:00,OANDA:AUDCHF,0.57154,0.57186,0.57154,0.57186,26.0,Interval.in_1_minute,57411540.0,short,short
28,28,2023-10-27 11:38:00,OANDA:AUDCHF,0.57154,0.571565,0.571495,0.57154,21.0,Interval.in_1_minute,57411480.0,long,short
29,29,2023-10-27 11:37:00,OANDA:AUDCHF,0.57166,0.57166,0.57152,0.57154,30.0,Interval.in_1_minute,57411420.0,long,short
30,30,2023-10-27 11:36:00,OANDA:AUDCHF,0.57146,0.57166,0.57146,0.57166,35.0,Interval.in_1_minute,57411360.0,long,short
31,31,2023-10-27 11:35:00,OANDA:AUDCHF,0.57156,0.57164,0.5714,0.57146,56.0,Interval.in_1_minute,57411300.0,long,short
32,32,2023-10-27 11:34:00,OANDA:AUDCHF,0.57156,0.57159,0.57153,0.57156,42.0,Interval.in_1_minute,57411240.0,long,short
33,33,2023-10-27 11:33:00,OANDA:AUDCHF,0.57154,0.57157,0.5715,0.57156,34.0,Interval.in_1_minute,57411180.0,long,short
34,34,2023-10-27 11:32:00,OANDA:AUDCHF,0.57167,0.57167,0.571535,0.57154,26.0,Interval.in_1_minute,57411120.0,long,short
35,35,2023-10-27 11:31:00,OANDA:AUDCHF,0.5717,0.571705,0.5716,0.57167,57.0,Interval.in_1_minute,57411060.0,long,short
36,36,2023-10-27 11:30:00,OANDA:AUDCHF,0.57168,0.571725,0.57157,0.5717,35.0,Interval.in_1_minute,57411000.0,long,short
37,37,2023-10-27 11:29:00,OANDA:AUDCHF,0.5716,0.57172,0.5716,0.57168,41.0,Interval.in_1_minute,57410940.0,long,short
38,38,2023-10-27 11:28:00,OANDA:AUDCHF,0.57161,0.57162,0.5714,0.5716,48.0,Interval.in_1_minute,57410880.0,long,short
39,39,2023-10-27 11:27:00,OANDA:AUDCHF,0.5715,0.57161,0.57146,0.57161,60.0,Interval.in_1_minute,57410820.0,long,short
40,40,2023-10-27 11:26:00,OANDA:AUDCHF,0.5714,0.5715,0.57137,0.5715,28.0,Interval.in_1_minute,57410760.0,long,short
41,41,2023-10-27 11:25:00,OANDA:AUDCHF,0.57158,0.57158,0.57133,0.5714,34.0,Interval.in_1_minute,57410700.0,long,short
42,42,2023-10-27 11:24:00,OANDA:AUDCHF,0.57163,0.57168,0.571575,0.57158,46.0,Interval.in_1_minute,57410640.0,long,short
43,43,2023-10-27 11:23:00,OANDA:AUDCHF,0.5717,0.5717,0.57158,0.57163,48.0,Interval.in_1_minute,57410580.0,short,short
44,44,2023-10-27 11:22:00,OANDA:AUDCHF,0.57161,0.57177,0.571595,0.5717,47.0,Interval.in_1_minute,57410520.0,short,short
45,45,2023-10-27 11:21:00,OANDA:AUDCHF,0.5715,0.57164,0.57144,0.57161,38.0,Interval.in_1_minute,57410460.0,long,short
46,46,2023-10-27 11:20:00,OANDA:AUDCHF,0.57157,0.57159,0.57142,0.5715,33.0,Interval.in_1_minute,57410400.0,long,short
47,47,2023-10-27 11:19:00,OANDA:AUDCHF,0.57152,0.57163,0.5715,0.57157,19.0,Interval.in_1_minute,57410340.0,long,short
48,48,2023-10-27 11:18:00,OANDA:AUDCHF,0.5715,0.571565,0.57143,0.57152,29.0,Interval.in_1_minute,57410280.0,long,short
49,49,2023-10-27 11:17:00,OANDA:AUDCHF,0.57152,0.571585,0.571495,0.5715,30.0,Interval.in_1_minute,57410220.0,long,short
50,50,2023-10-27 11:16:00,OANDA:AUDCHF,0.57136,0.57154,0.571335,0.57152,38.0,Interval.in_1_minute,57410160.0,short,short
51,51,2023-10-27 11:15:00,OANDA:AUDCHF,0.57138,0.571425,0.571335,0.57136,26.0,Interval.in_1_minute,57410100.0,short,short
52,52,2023-10-27 11:14:00,OANDA:AUDCHF,0.57143,0.571465,0.57137,0.57138,22.0,Interval.in_1_minute,57410040.0,short,short
53,53,2023-10-27 11:13:00,OANDA:AUDCHF,0.57134,0.57144,0.57127,0.57143,26.0,Interval.in_1_minute,57409980.0,short,short
54,54,2023-10-27 11:12:00,OANDA:AUDCHF,0.5713,0.57136,0.571295,0.57134,28.0,Interval.in_1_minute,57409920.0,short,short
55,55,2023-10-27 11:11:00,OANDA:AUDCHF,0.57116,0.571325,0.571135,0.5713,31.0,Interval.in_1_minute,57409860.0,short,short
56,56,2023-10-27 11:10:00,OANDA:AUDCHF,0.57132,0.57135,0.57116,0.57116,20.0,Interval.in_1_minute,57409800.0,short,short
57,57,2023-10-27 11:09:00,OANDA:AUDCHF,0.57134,0.57144,0.571295,0.57132,32.0,Interval.in_1_minute,57409740.0,short,short
58,58,2023-10-27 11:08:00,OANDA:AUDCHF,0.5713,0.571365,0.5713,0.57134,39.0,Interval.in_1_minute,57409680.0,short,short
59,59,2023-10-27 11:07:00,OANDA:AUDCHF,0.5712,0.57136,0.5712,0.5713,44.0,Interval.in_1_minute,57409620.0,short,short
60,60,2023-10-27 11:06:00,OANDA:AUDCHF,0.57116,0.57126,0.571155,0.5712,35.0,Interval.in_1_minute,57409560.0,short,short
61,61,2023-10-27 11:05:00,OANDA:AUDCHF,0.5711,0.5712,0.5711,0.57116,40.0,Interval.in_1_minute,57409500.0,short,short
62,62,2023-10-27 11:04:00,OANDA:AUDCHF,0.57106,0.57116,0.57106,0.5711,31.0,Interval.in_1_minute,57409440.0,short,short
63,63,2023-10-27 11:03:00,OANDA:AUDCHF,0.57094,0.57106,0.570915,0.57106,28.0,Interval.in_1_minute,57409380.0,short,short
64,64,2023-10-27 11:02:00,OANDA:AUDCHF,0.57094,0.57094,0.570855,0.57094,26.0,Interval.in_1_minute,57409320.0,short,short
65,65,2023-10-27 11:01:00,OANDA:AUDCHF,0.57086,0.570985,0.57082,0.57094,21.0,Interval.in_1_minute,57409260.0,short,short
66,66,2023-10-27 11:00:00,OANDA:AUDCHF,0.5708,0.57086,0.57072,0.57086,36.0,Interval.in_1_minute,57409200.0,short,short
67,67,2023-10-27 10:59:00,OANDA:AUDCHF,0.57075,0.5708,0.57074,0.5708,9.0,Interval.in_1_minute,57409140.0,short,short
68,68,2023-10-27 10:58:00,OANDA:AUDCHF,0.57074,0.57081,0.57074,0.57075,13.0,Interval.in_1_minute,57409080.0,short,short
69,69,2023-10-27 10:57:00,OANDA:AUDCHF,0.57066,0.570785,0.57062,0.57074,31.0,Interval.in_1_minute,57409020.0,short,short
70,70,2023-10-27 10:56:00,OANDA:AUDCHF,0.57056,0.5707,0.57052,0.57066,29.0,Interval.in_1_minute,57408960.0,short,short
71,71,2023-10-27 10:55:00,OANDA:AUDCHF,0.57048,0.57058,0.57048,0.57056,23.0,Interval.in_1_minute,57408900.0,short,short
72,72,2023-10-27 10:54:00,OANDA:AUDCHF,0.5704,0.57048,0.57038,0.57048,12.0,Interval.in_1_minute,57408840.0,short,short
73,73,2023-10-27 10:53:00,OANDA:AUDCHF,0.5703,0.57051,0.57028,0.5704,24.0,Interval.in_1_minute,57408780.0,long,short
74,74,2023-10-27 10:52:00,OANDA:AUDCHF,0.57028,0.5703,0.57021,0.5703,30.0,Interval.in_1_minute,57408720.0,long,short
75,75,2023-10-27 10:51:00,OANDA:AUDCHF,0.5703,0.57035,0.57024,0.57028,29.0,Interval.in_1_minute,57408660.0,long,short
76,76,2023-10-27 10:50:00,OANDA:AUDCHF,0.57025,0.57032,0.57024,0.5703,43.0,Interval.in_1_minute,57408600.0,long,short
77,77,2023-10-27 10:49:00,OANDA:AUDCHF,0.57027,0.57028,0.570215,0.57025,38.0,Interval.in_1_minute,57408540.0,long,short
78,78,2023-10-27 10:48:00,OANDA:AUDCHF,0.57014,0.57027,0.5701,0.57027,31.0,Interval.in_1_minute,57408480.0,short,short
79,79,2023-10-27 10:47:00,OANDA:AUDCHF,0.57024,0.57024,0.57012,0.57014,19.0,Interval.in_1_minute,57408420.0,short,short
80,80,2023-10-27 10:46:00,OANDA:AUDCHF,0.57022,0.57027,0.5702,0.57024,27.0,Interval.in_1_minute,57408360.0,short,short
81,81,2023-10-27 10:45:00,OANDA:AUDCHF,0.57021,0.57026,0.57014,0.57022,33.0,Interval.in_1_minute,57408300.0,short,short
82,82,2023-10-27 10:44:00,OANDA:AUDCHF,0.57003,0.570225,0.570015,0.57021,23.0,Interval.in_1_minute,57408240.0,short,short
83,83,2023-10-27 10:43:00,OANDA:AUDCHF,0.57007,0.57007,0.56998,0.57003,23.0,Interval.in_1_minute,57408180.0,short,short
