,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,nw3,nw2
0,0,2023-10-27 12:00:00,OANDA:AUDJPY,95.306,95.328,95.29,95.31,566.0,Interval.in_45_minute,57412800.0,short,long
1,1,2023-10-27 11:15:00,OANDA:AUDJPY,95.265,95.342,95.261,95.306,4547.0,Interval.in_45_minute,57410100.0,short,long
2,2,2023-10-27 10:30:00,OANDA:AUDJPY,95.154,95.296,95.108,95.265,3877.0,Interval.in_45_minute,57407400.0,short,long
3,3,2023-10-27 09:45:00,OANDA:AUDJPY,95.239,95.248,95.092,95.154,5316.0,Interval.in_45_minute,57404700.0,short,long
4,4,2023-10-27 09:00:00,OANDA:AUDJPY,95.236,95.324,95.222,95.239,3737.0,Interval.in_45_minute,57402000.0,short,long
5,5,2023-10-27 08:15:00,OANDA:AUDJPY,95.256,95.284,95.19,95.236,2332.0,Interval.in_45_minute,57399300.0,short,long
6,6,2023-10-27 07:30:00,OANDA:AUDJPY,95.22,95.298,95.216,95.256,2003.0,Interval.in_45_minute,57396600.0,short,long
7,7,2023-10-27 06:45:00,OANDA:AUDJPY,95.194,95.248,95.189,95.22,1499.0,Interval.in_45_minute,57393900.0,short,long
8,8,2023-10-27 06:00:00,OANDA:AUDJPY,95.216,95.244,95.166,95.194,2073.0,Interval.in_45_minute,57391200.0,short,long
9,9,2023-10-27 05:15:00,OANDA:AUDJPY,95.282,95.296,95.18,95.216,2916.0,Interval.in_45_minute,57388500.0,short,long
10,10,2023-10-27 04:30:00,OANDA:AUDJPY,95.158,95.32,95.124,95.282,3300.0,Interval.in_45_minute,57385800.0,short,long
11,11,2023-10-27 03:45:00,OANDA:AUDJPY,95.236,95.314,95.094,95.158,3295.0,Interval.in_45_minute,57383100.0,short,long
12,12,2023-10-27 03:00:00,OANDA:AUDJPY,95.234,95.318,95.186,95.236,2723.0,Interval.in_45_minute,57380400.0,short,long
13,13,2023-10-27 02:15:00,OANDA:AUDJPY,95.164,95.248,95.142,95.234,2953.0,Interval.in_45_minute,57377700.0,short,long
14,14,2023-10-27 01:30:00,OANDA:AUDJPY,95.106,95.166,95.104,95.164,1572.0,Interval.in_45_minute,57375000.0,short,long
15,15,2023-10-27 00:45:00,OANDA:AUDJPY,95.068,95.1445,95.036,95.106,964.0,Interval.in_45_minute,57372300.0,short,long
16,16,2023-10-27 00:00:00,OANDA:AUDJPY,95.083,95.111,95.05,95.068,309.0,Interval.in_45_minute,57369600.0,short,short
17,17,2023-10-26 23:15:00,OANDA:AUDJPY,95.047,95.132,95.03,95.083,1586.0,Interval.in_45_minute,57366900.0,short,short
18,18,2023-10-26 22:30:00,OANDA:AUDJPY,95.075,95.075,94.942,95.047,3624.0,Interval.in_45_minute,57364200.0,short,short
19,19,2023-10-26 21:45:00,OANDA:AUDJPY,95.148,95.1945,95.073,95.075,3089.0,Interval.in_45_minute,57361500.0,short,short
20,20,2023-10-26 21:00:00,OANDA:AUDJPY,95.119,95.202,95.092,95.148,3899.0,Interval.in_45_minute,57358800.0,short,short
21,21,2023-10-26 20:15:00,OANDA:AUDJPY,94.884,95.128,94.868,95.119,4332.0,Interval.in_45_minute,57356100.0,short,short
22,22,2023-10-26 19:30:00,OANDA:AUDJPY,94.885,94.909,94.792,94.884,4615.0,Interval.in_45_minute,57353400.0,short,short
23,23,2023-10-26 18:45:00,OANDA:AUDJPY,94.874,94.992,94.796,94.885,4932.0,Interval.in_45_minute,57350700.0,short,short
24,24,2023-10-26 18:00:00,OANDA:AUDJPY,95.036,95.047,94.834,94.874,7287.0,Interval.in_45_minute,57348000.0,short,short
25,25,2023-10-26 17:15:00,OANDA:AUDJPY,94.86,95.0885,94.816,95.036,8837.0,Interval.in_45_minute,57345300.0,short,short
26,26,2023-10-26 16:30:00,OANDA:AUDJPY,94.906,95.008,94.842,94.86,10595.0,Interval.in_45_minute,57342600.0,short,short
27,27,2023-10-26 15:45:00,OANDA:AUDJPY,94.892,94.958,94.835,94.906,9531.0,Interval.in_45_minute,57339900.0,short,short
28,28,2023-10-26 15:00:00,OANDA:AUDJPY,94.766,94.919,94.692,94.892,8766.0,Interval.in_45_minute,57337200.0,short,short
29,29,2023-10-26 14:15:00,OANDA:AUDJPY,94.722,94.809,94.718,94.766,3676.0,Interval.in_45_minute,57334500.0,short,short
30,30,2023-10-26 13:30:00,OANDA:AUDJPY,94.844,94.855,94.6895,94.722,3656.0,Interval.in_45_minute,57331800.0,short,short
31,31,2023-10-26 12:45:00,OANDA:AUDJPY,94.878,94.946,94.841,94.844,3598.0,Interval.in_45_minute,57329100.0,short,short
32,32,2023-10-26 12:00:00,OANDA:AUDJPY,94.897,94.932,94.832,94.878,4401.0,Interval.in_45_minute,57326400.0,short,short
33,33,2023-10-26 11:15:00,OANDA:AUDJPY,94.91,94.9265,94.812,94.897,4419.0,Interval.in_45_minute,57323700.0,short,short
34,34,2023-10-26 10:30:00,OANDA:AUDJPY,94.762,94.947,94.742,94.91,5637.0,Interval.in_45_minute,57321000.0,short,short
35,35,2023-10-26 09:45:00,OANDA:AUDJPY,94.788,94.799,94.454,94.762,7653.0,Interval.in_45_minute,57318300.0,short,short
36,36,2023-10-26 09:00:00,OANDA:AUDJPY,94.622,94.822,94.575,94.788,5047.0,Interval.in_45_minute,57315600.0,short,short
37,37,2023-10-26 08:15:00,OANDA:AUDJPY,94.54,94.6905,94.532,94.622,2732.0,Interval.in_45_minute,57312900.0,short,short
38,38,2023-10-26 07:30:00,OANDA:AUDJPY,94.381,94.61,94.38,94.54,2495.0,Interval.in_45_minute,57310200.0,short,short
39,39,2023-10-26 06:45:00,OANDA:AUDJPY,94.406,94.451,94.366,94.381,2374.0,Interval.in_45_minute,57307500.0,short,short
40,40,2023-10-26 06:00:00,OANDA:AUDJPY,94.394,94.47,94.383,94.406,3074.0,Interval.in_45_minute,57304800.0,short,long
41,41,2023-10-26 05:15:00,OANDA:AUDJPY,94.415,94.465,94.312,94.394,3737.0,Interval.in_45_minute,57302100.0,short,long
42,42,2023-10-26 04:30:00,OANDA:AUDJPY,94.442,94.5825,94.392,94.415,4478.0,Interval.in_45_minute,57299400.0,short,long
43,43,2023-10-26 03:45:00,OANDA:AUDJPY,94.432,94.455,94.248,94.442,5051.0,Interval.in_45_minute,57296700.0,short,long
44,44,2023-10-26 03:00:00,OANDA:AUDJPY,94.468,94.536,94.404,94.432,3315.0,Interval.in_45_minute,57294000.0,short,long
45,45,2023-10-26 02:15:00,OANDA:AUDJPY,94.468,94.49,94.438,94.468,1956.0,Interval.in_45_minute,57291300.0,short,long
46,46,2023-10-26 01:30:00,OANDA:AUDJPY,94.452,94.534,94.396,94.468,2155.0,Interval.in_45_minute,57288600.0,long,long
47,47,2023-10-26 00:45:00,OANDA:AUDJPY,94.712,94.734,94.329,94.452,2129.0,Interval.in_45_minute,57285900.0,long,long
48,48,2023-10-26 00:00:00,OANDA:AUDJPY,94.77,94.822,94.71,94.712,404.0,Interval.in_45_minute,57283200.0,short,long
49,49,2023-10-25 23:15:00,OANDA:AUDJPY,94.72,94.818,94.692,94.7695,3028.0,Interval.in_45_minute,57280500.0,short,long
50,50,2023-10-25 22:30:00,OANDA:AUDJPY,94.697,94.73,94.669,94.72,2782.0,Interval.in_45_minute,57277800.0,long,long
51,51,2023-10-25 21:45:00,OANDA:AUDJPY,94.634,94.708,94.59,94.697,3234.0,Interval.in_45_minute,57275100.0,long,long
52,52,2023-10-25 21:00:00,OANDA:AUDJPY,94.627,94.693,94.62,94.634,3627.0,Interval.in_45_minute,57272400.0,long,long
53,53,2023-10-25 20:15:00,OANDA:AUDJPY,94.712,94.736,94.575,94.627,5726.0,Interval.in_45_minute,57269700.0,long,long
