,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,nw3,nw2
0,0,2023-10-27 12:06:00,OANDA:AUDUSD,0.63525,0.6352800000000001,0.635235,0.635235,8.0,Interval.in_1_minute,57413160.0,long,short
1,1,2023-10-27 12:05:00,OANDA:AUDUSD,0.63514,0.6352500000000001,0.63514,0.63525,40.0,Interval.in_1_minute,57413100.0,long,short
2,2,2023-10-27 12:04:00,OANDA:AUDUSD,0.63502,0.63515,0.63501,0.63514,53.0,Interval.in_1_minute,57413040.0,long,short
3,3,2023-10-27 12:03:00,OANDA:AUDUSD,0.63498,0.63504,0.63498,0.63502,28.0,Interval.in_1_minute,57412980.0,long,short
4,4,2023-10-27 12:02:00,OANDA:AUDUSD,0.63496,0.635,0.63492,0.63498,23.0,Interval.in_1_minute,57412920.0,long,short
5,5,2023-10-27 12:01:00,OANDA:AUDUSD,0.6351,0.6351,0.63496,0.63496,39.0,Interval.in_1_minute,57412860.0,long,short
6,6,2023-10-27 12:00:00,OANDA:AUDUSD,0.63504,0.63513,0.63502,0.6351,14.0,Interval.in_1_minute,57412800.0,long,short
7,7,2023-10-27 11:59:00,OANDA:AUDUSD,0.63508,0.63518,0.63504,0.63504,19.0,Interval.in_1_minute,57412740.0,long,short
8,8,2023-10-27 11:58:00,OANDA:AUDUSD,0.63495,0.63508,0.63495,0.63508,27.0,Interval.in_1_minute,57412680.0,long,short
9,9,2023-10-27 11:57:00,OANDA:AUDUSD,0.63496,0.63496,0.63493,0.63495,14.0,Interval.in_1_minute,57412620.0,long,short
10,10,2023-10-27 11:56:00,OANDA:AUDUSD,0.63492,0.635,0.63492,0.63496,26.0,Interval.in_1_minute,57412560.0,long,short
11,11,2023-10-27 11:55:00,OANDA:AUDUSD,0.635,0.635,0.63491,0.63492,21.0,Interval.in_1_minute,57412500.0,long,short
12,12,2023-10-27 11:54:00,OANDA:AUDUSD,0.635,0.63501,0.63496,0.635,13.0,Interval.in_1_minute,57412440.0,long,short
13,13,2023-10-27 11:53:00,OANDA:AUDUSD,0.63498,0.635,0.63493,0.635,22.0,Interval.in_1_minute,57412380.0,long,short
14,14,2023-10-27 11:52:00,OANDA:AUDUSD,0.63498,0.63503,0.63497,0.63498,27.0,Interval.in_1_minute,57412320.0,long,short
15,15,2023-10-27 11:51:00,OANDA:AUDUSD,0.63492,0.63501,0.634915,0.63498,16.0,Interval.in_1_minute,57412260.0,long,short
16,16,2023-10-27 11:50:00,OANDA:AUDUSD,0.63486,0.63492,0.63483,0.63492,37.0,Interval.in_1_minute,57412200.0,long,short
17,17,2023-10-27 11:49:00,OANDA:AUDUSD,0.63492,0.634965,0.63486,0.63486,24.0,Interval.in_1_minute,57412140.0,long,short
