,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,nw3,nw2
0,0,2023-10-27 12:00:00,OANDA:AUDUSD,0.63504,0.6352800000000001,0.6349199999999999,0.63518,205.0,Interval.in_2_hour,57412800.0,long,long
1,1,2023-10-27 10:00:00,OANDA:AUDUSD,0.63357,0.63518,0.6331199999999999,0.63504,4105.0,Interval.in_2_hour,57405600.0,long,short
2,2,2023-10-27 08:00:00,OANDA:AUDUSD,0.63439,0.63508,0.63356,0.63357,3119.0,Interval.in_2_hour,57398400.0,long,long
3,3,2023-10-27 06:00:00,OANDA:AUDUSD,0.63404,0.634505,0.633635,0.63439,1819.0,Interval.in_2_hour,57391200.0,long,long
4,4,2023-10-27 04:00:00,OANDA:AUDUSD,0.63348,0.63428,0.63246,0.63404,3703.0,Interval.in_2_hour,57384000.0,long,long
5,5,2023-10-27 02:00:00,OANDA:AUDUSD,0.63258,0.63399,0.63256,0.63348,3406.0,Interval.in_2_hour,57376800.0,long,long
6,6,2023-10-27 00:00:00,OANDA:AUDUSD,0.63222,0.63283,0.63202,0.63258,1167.0,Interval.in_2_hour,57369600.0,long,long
7,7,2023-10-26 22:00:00,OANDA:AUDUSD,0.63282,0.63305,0.6314,0.632225,3025.0,Interval.in_2_hour,57362400.0,long,long
8,8,2023-10-26 20:00:00,OANDA:AUDUSD,0.63028,0.63308,0.6302,0.63282,4811.0,Interval.in_2_hour,57355200.0,long,long
9,9,2023-10-26 18:00:00,OANDA:AUDUSD,0.63212,0.63215,0.63018,0.63028,5533.0,Interval.in_2_hour,57348000.0,long,long
10,10,2023-10-26 16:00:00,OANDA:AUDUSD,0.63216,0.63294,0.63038,0.63212,10166.0,Interval.in_2_hour,57340800.0,long,long
11,11,2023-10-26 14:00:00,OANDA:AUDUSD,0.63028,0.632285,0.6293,0.63216,7284.0,Interval.in_2_hour,57333600.0,long,long
12,12,2023-10-26 12:00:00,OANDA:AUDUSD,0.63095,0.63166,0.63019,0.63028,3407.0,Interval.in_2_hour,57326400.0,long,long
13,13,2023-10-26 10:00:00,OANDA:AUDUSD,0.6293,0.63131,0.62906,0.63095,5017.0,Interval.in_2_hour,57319200.0,long,long
14,14,2023-10-26 08:00:00,OANDA:AUDUSD,0.62772,0.63024,0.62772,0.6293,4883.0,Interval.in_2_hour,57312000.0,long,long
15,15,2023-10-26 06:00:00,OANDA:AUDUSD,0.6275,0.62792,0.62728,0.62772,2401.0,Interval.in_2_hour,57304800.0,long,long
16,16,2023-10-26 04:00:00,OANDA:AUDUSD,0.62796,0.629445,0.62705,0.6275,5080.0,Interval.in_2_hour,57297600.0,long,long
17,17,2023-10-26 02:00:00,OANDA:AUDUSD,0.62894,0.62988,0.627595,0.62796,3009.0,Interval.in_2_hour,57290400.0,long,long
18,18,2023-10-26 00:00:00,OANDA:AUDUSD,0.63086,0.63141,0.62849,0.62894,2246.0,Interval.in_2_hour,57283200.0,long,long
19,19,2023-10-25 22:00:00,OANDA:AUDUSD,0.6309,0.63142,0.63072,0.63086,2784.0,Interval.in_2_hour,57276000.0,long,long
20,20,2023-10-25 20:00:00,OANDA:AUDUSD,0.63197,0.63218,0.63054,0.6309,5157.0,Interval.in_2_hour,57268800.0,long,long
21,21,2023-10-25 18:00:00,OANDA:AUDUSD,0.63335,0.634105,0.631755,0.63197,6051.0,Interval.in_2_hour,57261600.0,long,long
22,22,2023-10-25 16:00:00,OANDA:AUDUSD,0.63392,0.6344,0.63202,0.63335,8456.0,Interval.in_2_hour,57254400.0,long,long
23,23,2023-10-25 14:00:00,OANDA:AUDUSD,0.63371,0.63468,0.63328,0.63392,3909.0,Interval.in_2_hour,57247200.0,long,long
24,24,2023-10-25 12:00:00,OANDA:AUDUSD,0.63532,0.63535,0.63282,0.63371,3986.0,Interval.in_2_hour,57240000.0,long,long
25,25,2023-10-25 10:00:00,OANDA:AUDUSD,0.63706,0.6371,0.63514,0.63532,4960.0,Interval.in_2_hour,57232800.0,long,short
26,26,2023-10-25 08:00:00,OANDA:AUDUSD,0.63864,0.63872,0.63706,0.63706,3467.0,Interval.in_2_hour,57225600.0,long,short
27,27,2023-10-25 06:00:00,OANDA:AUDUSD,0.63889,0.63911,0.63782,0.63864,2308.0,Interval.in_2_hour,57218400.0,long,short
28,28,2023-10-25 04:00:00,OANDA:AUDUSD,0.63917,0.63997,0.63853,0.63889,4051.0,Interval.in_2_hour,57211200.0,long,short
29,29,2023-10-25 02:00:00,OANDA:AUDUSD,0.63558,0.63925,0.63554,0.63917,3833.0,Interval.in_2_hour,57204000.0,long,short
30,30,2023-10-25 00:00:00,OANDA:AUDUSD,0.63558,0.63599,0.63526,0.63558,1939.0,Interval.in_2_hour,57196800.0,long,short
31,31,2023-10-24 22:00:00,OANDA:AUDUSD,0.63572,0.63601,0.6355,0.63558,2404.0,Interval.in_2_hour,57189600.0,long,short
32,32,2023-10-24 20:00:00,OANDA:AUDUSD,0.63474,0.63593,0.6347,0.63572,3653.0,Interval.in_2_hour,57182400.0,long,short
33,33,2023-10-24 18:00:00,OANDA:AUDUSD,0.63586,0.63586,0.6344,0.63474,4801.0,Interval.in_2_hour,57175200.0,long,short
34,34,2023-10-24 16:00:00,OANDA:AUDUSD,0.63622,0.63657,0.63496,0.63586,9041.0,Interval.in_2_hour,57168000.0,long,short
35,35,2023-10-24 14:00:00,OANDA:AUDUSD,0.63553,0.63662,0.63534,0.63622,4219.0,Interval.in_2_hour,57160800.0,long,short
36,36,2023-10-24 12:00:00,OANDA:AUDUSD,0.63658,0.63661,0.63546,0.63553,3381.0,Interval.in_2_hour,57153600.0,long,short
37,37,2023-10-24 10:00:00,OANDA:AUDUSD,0.63742,0.6379,0.63641,0.63658,5905.0,Interval.in_2_hour,57146400.0,long,short
38,38,2023-10-24 08:00:00,OANDA:AUDUSD,0.63587,0.6376,0.63517,0.63742,3822.0,Interval.in_2_hour,57139200.0,short,short
39,39,2023-10-24 06:00:00,OANDA:AUDUSD,0.63578,0.63608,0.63538,0.63587,2050.0,Interval.in_2_hour,57132000.0,long,short
40,40,2023-10-24 04:00:00,OANDA:AUDUSD,0.63428,0.6362,0.63388,0.63578,4735.0,Interval.in_2_hour,57124800.0,long,short
41,41,2023-10-24 02:00:00,OANDA:AUDUSD,0.6334,0.63444,0.63331,0.63428,1934.0,Interval.in_2_hour,57117600.0,long,short
42,42,2023-10-24 00:00:00,OANDA:AUDUSD,0.6335,0.63398,0.63326,0.6334,1507.0,Interval.in_2_hour,57110400.0,long,short
43,43,2023-10-23 22:00:00,OANDA:AUDUSD,0.63439,0.63442,0.63299,0.6335,2624.0,Interval.in_2_hour,57103200.0,long,short
44,44,2023-10-23 20:00:00,OANDA:AUDUSD,0.6344,0.63488,0.63384,0.63439,3894.0,Interval.in_2_hour,57096000.0,long,short
45,45,2023-10-23 18:00:00,OANDA:AUDUSD,0.63234,0.6344,0.63224,0.6344,4776.0,Interval.in_2_hour,57088800.0,long,short
46,46,2023-10-23 16:00:00,OANDA:AUDUSD,0.63112,0.63314,0.63026,0.63234,8355.0,Interval.in_2_hour,57081600.0,long,short
47,47,2023-10-23 14:00:00,OANDA:AUDUSD,0.6304,0.63212,0.6303,0.63112,4597.0,Interval.in_2_hour,57074400.0,long,short
48,48,2023-10-23 12:00:00,OANDA:AUDUSD,0.63068,0.63094,0.6289,0.6304,3409.0,Interval.in_2_hour,57067200.0,long,short
49,49,2023-10-23 10:00:00,OANDA:AUDUSD,0.63078,0.63142,0.6302,0.63068,4512.0,Interval.in_2_hour,57060000.0,long,short
50,50,2023-10-23 08:00:00,OANDA:AUDUSD,0.63108,0.63194,0.63078,0.63078,2470.0,Interval.in_2_hour,57052800.0,long,short
51,51,2023-10-23 06:00:00,OANDA:AUDUSD,0.63092,0.63154,0.63088,0.63108,1558.0,Interval.in_2_hour,57045600.0,long,short
52,52,2023-10-23 04:00:00,OANDA:AUDUSD,0.63122,0.63172,0.63078,0.63092,2479.0,Interval.in_2_hour,57038400.0,long,short
53,53,2023-10-23 02:00:00,OANDA:AUDUSD,0.6318,0.6322,0.63077,0.63122,2322.0,Interval.in_2_hour,57031200.0,long,short
54,54,2023-10-23 00:00:00,OANDA:AUDUSD,0.63143,0.63217,0.63114,0.6318,1238.0,Interval.in_2_hour,57024000.0,long,short
55,55,2023-10-20 22:00:00,OANDA:AUDUSD,0.63142,0.63162,0.63094,0.63143,2151.0,Interval.in_2_hour,56844000.0,long,short
56,56,2023-10-20 20:00:00,OANDA:AUDUSD,0.6319,0.6325,0.6311,0.63142,4214.0,Interval.in_2_hour,56836800.0,long,short
57,57,2023-10-20 18:00:00,OANDA:AUDUSD,0.63204,0.63257,0.63096,0.6319,4637.0,Interval.in_2_hour,56829600.0,long,short
58,58,2023-10-20 16:00:00,OANDA:AUDUSD,0.63095,0.63248,0.63089,0.63204,8111.0,Interval.in_2_hour,56822400.0,long,short
59,59,2023-10-20 14:00:00,OANDA:AUDUSD,0.63132,0.63164,0.62995,0.63095,4613.0,Interval.in_2_hour,56815200.0,long,short
60,60,2023-10-20 12:00:00,OANDA:AUDUSD,0.63128,0.63172,0.63078,0.63132,3535.0,Interval.in_2_hour,56808000.0,long,short
61,61,2023-10-20 10:00:00,OANDA:AUDUSD,0.63143,0.63148,0.62974,0.63128,5428.0,Interval.in_2_hour,56800800.0,long,short
62,62,2023-10-20 08:00:00,OANDA:AUDUSD,0.63151,0.63201,0.63042,0.63143,3919.0,Interval.in_2_hour,56793600.0,long,short
63,63,2023-10-20 06:00:00,OANDA:AUDUSD,0.63228,0.63246,0.63132,0.63151,2549.0,Interval.in_2_hour,56786400.0,long,long
64,64,2023-10-20 04:00:00,OANDA:AUDUSD,0.63144,0.63242,0.63053,0.63228,4325.0,Interval.in_2_hour,56779200.0,long,long
65,65,2023-10-20 02:00:00,OANDA:AUDUSD,0.6321,0.63244,0.63102,0.63144,2964.0,Interval.in_2_hour,56772000.0,long,long
66,66,2023-10-20 00:00:00,OANDA:AUDUSD,0.63284,0.63298,0.63209,0.6321,1376.0,Interval.in_2_hour,56764800.0,long,long
67,67,2023-10-19 22:00:00,OANDA:AUDUSD,0.63276,0.63344,0.63266,0.63284,3468.0,Interval.in_2_hour,56757600.0,long,long
68,68,2023-10-19 20:00:00,OANDA:AUDUSD,0.63472,0.63566,0.63253,0.63276,9121.0,Interval.in_2_hour,56750400.0,long,long
69,69,2023-10-19 18:00:00,OANDA:AUDUSD,0.63152,0.6357,0.63134,0.63472,13071.0,Interval.in_2_hour,56743200.0,long,long
70,70,2023-10-19 16:00:00,OANDA:AUDUSD,0.63196,0.6327,0.63137,0.63152,7475.0,Interval.in_2_hour,56736000.0,long,long
71,71,2023-10-19 14:00:00,OANDA:AUDUSD,0.63148,0.63247,0.63098,0.63196,5574.0,Interval.in_2_hour,56728800.0,long,long
72,72,2023-10-19 12:00:00,OANDA:AUDUSD,0.63044,0.63162,0.62982,0.63148,4020.0,Interval.in_2_hour,56721600.0,long,long
73,73,2023-10-19 10:00:00,OANDA:AUDUSD,0.63076,0.63102,0.62972,0.63044,6452.0,Interval.in_2_hour,56714400.0,long,long
74,74,2023-10-19 08:00:00,OANDA:AUDUSD,0.63022,0.63112,0.6297,0.63076,3890.0,Interval.in_2_hour,56707200.0,long,long
75,75,2023-10-19 06:00:00,OANDA:AUDUSD,0.6302,0.63052,0.62966,0.63022,2476.0,Interval.in_2_hour,56700000.0,long,long
76,76,2023-10-19 04:00:00,OANDA:AUDUSD,0.63176,0.63214,0.62961,0.6302,4609.0,Interval.in_2_hour,56692800.0,long,long
77,77,2023-10-19 02:00:00,OANDA:AUDUSD,0.63304,0.63372,0.63126,0.63176,3462.0,Interval.in_2_hour,56685600.0,long,long
78,78,2023-10-19 00:00:00,OANDA:AUDUSD,0.63364,0.63398,0.633,0.63304,1373.0,Interval.in_2_hour,56678400.0,long,short
79,79,2023-10-18 22:00:00,OANDA:AUDUSD,0.63372,0.63383,0.6333,0.63364,2254.0,Interval.in_2_hour,56671200.0,long,short
80,80,2023-10-18 20:00:00,OANDA:AUDUSD,0.63346,0.63548,0.63331,0.63372,5705.0,Interval.in_2_hour,56664000.0,long,long
81,81,2023-10-18 18:00:00,OANDA:AUDUSD,0.63422,0.6345,0.63281,0.63346,5305.0,Interval.in_2_hour,56656800.0,long,long
82,82,2023-10-18 16:00:00,OANDA:AUDUSD,0.6361,0.63644,0.63372,0.63422,7781.0,Interval.in_2_hour,56649600.0,long,long
83,83,2023-10-18 14:00:00,OANDA:AUDUSD,0.63705,0.63736,0.63552,0.6361,4653.0,Interval.in_2_hour,56642400.0,long,long
84,84,2023-10-18 12:00:00,OANDA:AUDUSD,0.63818,0.63844,0.6365,0.63705,4029.0,Interval.in_2_hour,56635200.0,long,long
85,85,2023-10-18 10:00:00,OANDA:AUDUSD,0.63856,0.63884,0.63746,0.63818,4093.0,Interval.in_2_hour,56628000.0,long,long
86,86,2023-10-18 08:00:00,OANDA:AUDUSD,0.63774,0.63934,0.63762,0.63856,3738.0,Interval.in_2_hour,56620800.0,long,long
87,87,2023-10-18 06:00:00,OANDA:AUDUSD,0.63751,0.63816,0.637,0.63774,2358.0,Interval.in_2_hour,56613600.0,long,long
88,88,2023-10-18 04:00:00,OANDA:AUDUSD,0.63532,0.63793,0.63512,0.63751,4925.0,Interval.in_2_hour,56606400.0,long,long
89,89,2023-10-18 02:00:00,OANDA:AUDUSD,0.63656,0.63666,0.6352,0.63532,2092.0,Interval.in_2_hour,56599200.0,long,long
90,90,2023-10-18 00:00:00,OANDA:AUDUSD,0.63656,0.63676,0.63602,0.63656,1396.0,Interval.in_2_hour,56592000.0,long,long
91,91,2023-10-17 22:00:00,OANDA:AUDUSD,0.63582,0.6368,0.6358,0.63656,2186.0,Interval.in_2_hour,56584800.0,long,long
92,92,2023-10-17 20:00:00,OANDA:AUDUSD,0.63714,0.63714,0.63538,0.63582,3536.0,Interval.in_2_hour,56577600.0,long,long
93,93,2023-10-17 18:00:00,OANDA:AUDUSD,0.63637,0.63798,0.63626,0.63714,5256.0,Interval.in_2_hour,56570400.0,long,long
94,94,2023-10-17 16:00:00,OANDA:AUDUSD,0.63412,0.63687,0.63366,0.63637,8593.0,Interval.in_2_hour,56563200.0,long,long
95,95,2023-10-17 14:00:00,OANDA:AUDUSD,0.63498,0.63658,0.63365,0.63412,5993.0,Interval.in_2_hour,56556000.0,long,long
96,96,2023-10-17 12:00:00,OANDA:AUDUSD,0.63444,0.63581,0.6344,0.63498,3900.0,Interval.in_2_hour,56548800.0,long,long
97,97,2023-10-17 10:00:00,OANDA:AUDUSD,0.63524,0.63631,0.63428,0.63444,4490.0,Interval.in_2_hour,56541600.0,long,long
98,98,2023-10-17 08:00:00,OANDA:AUDUSD,0.63541,0.63584,0.63482,0.63524,3504.0,Interval.in_2_hour,56534400.0,long,long
99,99,2023-10-17 06:00:00,OANDA:AUDUSD,0.63534,0.63672,0.63495,0.63541,2653.0,Interval.in_2_hour,56527200.0,long,long
100,100,2023-10-17 04:00:00,OANDA:AUDUSD,0.63538,0.63554,0.63444,0.63534,4073.0,Interval.in_2_hour,56520000.0,long,long
101,101,2023-10-17 02:00:00,OANDA:AUDUSD,0.63366,0.63597,0.63356,0.63538,2631.0,Interval.in_2_hour,56512800.0,long,long
102,102,2023-10-17 00:00:00,OANDA:AUDUSD,0.63423,0.63435,0.6335,0.63366,2112.0,Interval.in_2_hour,56505600.0,long,long
103,103,2023-10-16 22:00:00,OANDA:AUDUSD,0.63411,0.6345,0.63392,0.63423,1499.0,Interval.in_2_hour,56498400.0,long,long
104,104,2023-10-16 20:00:00,OANDA:AUDUSD,0.63422,0.63446,0.63362,0.63411,2461.0,Interval.in_2_hour,56491200.0,long,long
105,105,2023-10-16 18:00:00,OANDA:AUDUSD,0.63321,0.63422,0.63312,0.63422,3276.0,Interval.in_2_hour,56484000.0,long,long
106,106,2023-10-16 16:00:00,OANDA:AUDUSD,0.63306,0.63325,0.63118,0.63321,5826.0,Interval.in_2_hour,56476800.0,long,long
107,107,2023-10-16 14:00:00,OANDA:AUDUSD,0.6319,0.63336,0.63171,0.63306,4778.0,Interval.in_2_hour,56469600.0,long,long
108,108,2023-10-16 12:00:00,OANDA:AUDUSD,0.63268,0.6328,0.63189,0.6319,3166.0,Interval.in_2_hour,56462400.0,long,long
109,109,2023-10-16 10:00:00,OANDA:AUDUSD,0.63253,0.63318,0.63204,0.63268,6032.0,Interval.in_2_hour,56455200.0,long,long
110,110,2023-10-16 08:00:00,OANDA:AUDUSD,0.63226,0.63326,0.63182,0.63253,4320.0,Interval.in_2_hour,56448000.0,long,long
111,111,2023-10-16 06:00:00,OANDA:AUDUSD,0.632,0.6326,0.63158,0.63226,2151.0,Interval.in_2_hour,56440800.0,long,long
112,112,2023-10-16 04:00:00,OANDA:AUDUSD,0.6303,0.63271,0.6303,0.632,3148.0,Interval.in_2_hour,56433600.0,long,long
113,113,2023-10-16 02:00:00,OANDA:AUDUSD,0.63052,0.63129,0.6303,0.6303,2482.0,Interval.in_2_hour,56426400.0,long,long
114,114,2023-10-16 00:00:00,OANDA:AUDUSD,0.62956,0.63068,0.62956,0.63052,1046.0,Interval.in_2_hour,56419200.0,long,long
115,115,2023-10-13 22:00:00,OANDA:AUDUSD,0.6298,0.63014,0.62945,0.62956,2339.0,Interval.in_2_hour,56239200.0,long,long
116,116,2023-10-13 20:00:00,OANDA:AUDUSD,0.62941,0.6301,0.62896,0.6298,3848.0,Interval.in_2_hour,56232000.0,long,long
117,117,2023-10-13 18:00:00,OANDA:AUDUSD,0.62952,0.62967,0.62864,0.62941,5023.0,Interval.in_2_hour,56224800.0,long,long
118,118,2023-10-13 16:00:00,OANDA:AUDUSD,0.6326,0.63282,0.62917,0.62952,10638.0,Interval.in_2_hour,56217600.0,long,long
119,119,2023-10-13 14:00:00,OANDA:AUDUSD,0.63096,0.63291,0.63086,0.6326,6718.0,Interval.in_2_hour,56210400.0,long,long
120,120,2023-10-13 12:00:00,OANDA:AUDUSD,0.6322,0.6322,0.63054,0.63096,4545.0,Interval.in_2_hour,56203200.0,long,long
121,121,2023-10-13 10:00:00,OANDA:AUDUSD,0.63162,0.63317,0.63153,0.6322,5423.0,Interval.in_2_hour,56196000.0,long,long
122,122,2023-10-13 08:00:00,OANDA:AUDUSD,0.63167,0.63221,0.63106,0.63162,3435.0,Interval.in_2_hour,56188800.0,long,long
123,123,2023-10-13 06:00:00,OANDA:AUDUSD,0.63264,0.633,0.63156,0.63167,2368.0,Interval.in_2_hour,56181600.0,long,long
124,124,2023-10-13 04:00:00,OANDA:AUDUSD,0.63214,0.63345,0.63187,0.63264,3455.0,Interval.in_2_hour,56174400.0,long,long
125,125,2023-10-13 02:00:00,OANDA:AUDUSD,0.63155,0.6324,0.63132,0.63214,2424.0,Interval.in_2_hour,56167200.0,long,long
126,126,2023-10-13 00:00:00,OANDA:AUDUSD,0.63136,0.63164,0.6311,0.63155,2032.0,Interval.in_2_hour,56160000.0,long,long
127,127,2023-10-12 22:00:00,OANDA:AUDUSD,0.63112,0.63168,0.63106,0.63136,2062.0,Interval.in_2_hour,56152800.0,long,long
128,128,2023-10-12 20:00:00,OANDA:AUDUSD,0.63277,0.63286,0.63072,0.63112,5194.0,Interval.in_2_hour,56145600.0,long,long
129,129,2023-10-12 18:00:00,OANDA:AUDUSD,0.63414,0.6342,0.63257,0.63277,5356.0,Interval.in_2_hour,56138400.0,long,long
130,130,2023-10-12 16:00:00,OANDA:AUDUSD,0.63837,0.63866,0.63362,0.63414,9714.0,Interval.in_2_hour,56131200.0,long,long
131,131,2023-10-12 14:00:00,OANDA:AUDUSD,0.64041,0.64094,0.63732,0.63837,7399.0,Interval.in_2_hour,56124000.0,long,long
132,132,2023-10-12 12:00:00,OANDA:AUDUSD,0.64134,0.64137,0.64032,0.64041,3244.0,Interval.in_2_hour,56116800.0,long,long
133,133,2023-10-12 10:00:00,OANDA:AUDUSD,0.64246,0.64247,0.64062,0.64134,4681.0,Interval.in_2_hour,56109600.0,long,long
134,134,2023-10-12 08:00:00,OANDA:AUDUSD,0.64228,0.64311,0.64144,0.64246,3679.0,Interval.in_2_hour,56102400.0,long,long
135,135,2023-10-12 06:00:00,OANDA:AUDUSD,0.64135,0.64238,0.64124,0.64228,2304.0,Interval.in_2_hour,56095200.0,long,long
136,136,2023-10-12 04:00:00,OANDA:AUDUSD,0.64174,0.6427,0.64118,0.64135,3825.0,Interval.in_2_hour,56088000.0,long,long
137,137,2023-10-12 02:00:00,OANDA:AUDUSD,0.64176,0.64216,0.64144,0.64174,2218.0,Interval.in_2_hour,56080800.0,long,long
138,138,2023-10-12 00:00:00,OANDA:AUDUSD,0.64136,0.64176,0.64075,0.64176,1005.0,Interval.in_2_hour,56073600.0,long,long
139,139,2023-10-11 22:00:00,OANDA:AUDUSD,0.6406,0.6415,0.64044,0.64136,2200.0,Interval.in_2_hour,56066400.0,long,long
140,140,2023-10-11 20:00:00,OANDA:AUDUSD,0.64035,0.64091,0.63882,0.6406,4712.0,Interval.in_2_hour,56059200.0,long,long
141,141,2023-10-11 18:00:00,OANDA:AUDUSD,0.64156,0.6417,0.63977,0.64035,4751.0,Interval.in_2_hour,56052000.0,long,long
142,142,2023-10-11 16:00:00,OANDA:AUDUSD,0.64221,0.64278,0.64124,0.64156,8960.0,Interval.in_2_hour,56044800.0,long,long
143,143,2023-10-11 14:00:00,OANDA:AUDUSD,0.64175,0.64234,0.64011,0.64221,7152.0,Interval.in_2_hour,56037600.0,long,long
144,144,2023-10-11 12:00:00,OANDA:AUDUSD,0.64227,0.64262,0.64132,0.64175,4124.0,Interval.in_2_hour,56030400.0,long,long
145,145,2023-10-11 10:00:00,OANDA:AUDUSD,0.64188,0.64344,0.64122,0.64227,6538.0,Interval.in_2_hour,56023200.0,long,long
146,146,2023-10-11 08:00:00,OANDA:AUDUSD,0.64201,0.6425,0.64097,0.64188,3979.0,Interval.in_2_hour,56016000.0,long,long
147,147,2023-10-11 06:00:00,OANDA:AUDUSD,0.64261,0.64266,0.64172,0.64201,2563.0,Interval.in_2_hour,56008800.0,long,long
148,148,2023-10-11 04:00:00,OANDA:AUDUSD,0.64386,0.64428,0.64246,0.64261,4232.0,Interval.in_2_hour,56001600.0,long,long
149,149,2023-10-11 02:00:00,OANDA:AUDUSD,0.64306,0.64452,0.64298,0.64386,2295.0,Interval.in_2_hour,55994400.0,long,long
150,150,2023-10-11 00:00:00,OANDA:AUDUSD,0.64318,0.64327,0.64247,0.64306,652.0,Interval.in_2_hour,55987200.0,long,long
151,151,2023-10-10 22:00:00,OANDA:AUDUSD,0.64236,0.64322,0.64202,0.64318,2144.0,Interval.in_2_hour,55980000.0,long,short
152,152,2023-10-10 20:00:00,OANDA:AUDUSD,0.64274,0.64276,0.64128,0.64236,4798.0,Interval.in_2_hour,55972800.0,long,short
153,153,2023-10-10 18:00:00,OANDA:AUDUSD,0.64126,0.6432,0.64112,0.64274,4678.0,Interval.in_2_hour,55965600.0,long,short
154,154,2023-10-10 16:00:00,OANDA:AUDUSD,0.63998,0.64203,0.63936,0.64126,7493.0,Interval.in_2_hour,55958400.0,long,short
155,155,2023-10-10 14:00:00,OANDA:AUDUSD,0.64052,0.64052,0.63904,0.63998,5499.0,Interval.in_2_hour,55951200.0,long,short
156,156,2023-10-10 12:00:00,OANDA:AUDUSD,0.64203,0.64213,0.64049,0.64052,4735.0,Interval.in_2_hour,55944000.0,long,short
157,157,2023-10-10 10:00:00,OANDA:AUDUSD,0.64036,0.64265,0.63912,0.64203,7963.0,Interval.in_2_hour,55936800.0,long,short
158,158,2023-10-10 08:00:00,OANDA:AUDUSD,0.64098,0.64147,0.6398,0.64036,4986.0,Interval.in_2_hour,55929600.0,long,short
159,159,2023-10-10 06:00:00,OANDA:AUDUSD,0.64117,0.6418,0.6408,0.64098,3181.0,Interval.in_2_hour,55922400.0,long,short
160,160,2023-10-10 04:00:00,OANDA:AUDUSD,0.64174,0.64331,0.64117,0.64117,5181.0,Interval.in_2_hour,55915200.0,long,short
161,161,2023-10-10 02:00:00,OANDA:AUDUSD,0.64103,0.64276,0.64101,0.64174,3376.0,Interval.in_2_hour,55908000.0,long,short
162,162,2023-10-10 00:00:00,OANDA:AUDUSD,0.64118,0.64141,0.64088,0.64103,967.0,Interval.in_2_hour,55900800.0,short,short
163,163,2023-10-09 22:00:00,OANDA:AUDUSD,0.64122,0.6415,0.64094,0.64118,2292.0,Interval.in_2_hour,55893600.0,short,short
164,164,2023-10-09 20:00:00,OANDA:AUDUSD,0.63776,0.64132,0.63768,0.64122,3426.0,Interval.in_2_hour,55886400.0,short,short
165,165,2023-10-09 18:00:00,OANDA:AUDUSD,0.63763,0.63841,0.63744,0.63776,3789.0,Interval.in_2_hour,55879200.0,long,short
166,166,2023-10-09 16:00:00,OANDA:AUDUSD,0.63673,0.63862,0.6367,0.63763,7485.0,Interval.in_2_hour,55872000.0,long,short
167,167,2023-10-09 14:00:00,OANDA:AUDUSD,0.63584,0.63689,0.63561,0.63673,4259.0,Interval.in_2_hour,55864800.0,long,short
168,168,2023-10-09 12:00:00,OANDA:AUDUSD,0.63596,0.6368,0.63564,0.63584,3643.0,Interval.in_2_hour,55857600.0,long,short
169,169,2023-10-09 10:00:00,OANDA:AUDUSD,0.63452,0.6362,0.63428,0.63596,6304.0,Interval.in_2_hour,55850400.0,long,short
170,170,2023-10-09 08:00:00,OANDA:AUDUSD,0.63484,0.6363,0.6344,0.63452,4440.0,Interval.in_2_hour,55843200.0,long,short
171,171,2023-10-09 06:00:00,OANDA:AUDUSD,0.6365,0.6365,0.63474,0.63484,2244.0,Interval.in_2_hour,55836000.0,long,short
172,172,2023-10-09 04:00:00,OANDA:AUDUSD,0.63806,0.63812,0.63606,0.6365,3904.0,Interval.in_2_hour,55828800.0,long,short
173,173,2023-10-09 02:00:00,OANDA:AUDUSD,0.63581,0.63806,0.6357,0.63806,3371.0,Interval.in_2_hour,55821600.0,long,short
174,174,2023-10-09 00:00:00,OANDA:AUDUSD,0.63846,0.63846,0.63446,0.63581,2777.0,Interval.in_2_hour,55814400.0,long,short
175,175,2023-10-06 22:00:00,OANDA:AUDUSD,0.63958,0.63966,0.63832,0.63846,2549.0,Interval.in_2_hour,55634400.0,long,short
176,176,2023-10-06 20:00:00,OANDA:AUDUSD,0.63794,0.64004,0.63767,0.63958,3782.0,Interval.in_2_hour,55627200.0,long,short
