,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,nw3,nw2
0,0,2023-10-27 12:06:00,OANDA:EURCAD,1.45786,1.45787,1.45779,1.45786,73.0,Interval.in_1_minute,57413160.0,long,short
1,1,2023-10-27 12:05:00,OANDA:EURCAD,1.45788,1.4579,1.45778,1.45786,66.0,Interval.in_1_minute,57413100.0,long,short
2,2,2023-10-27 12:04:00,OANDA:EURCAD,1.45764,1.45791,1.4576,1.45788,109.0,Interval.in_1_minute,57413040.0,long,short
3,3,2023-10-27 12:03:00,OANDA:EURCAD,1.45775,1.457765,1.45764,1.45764,67.0,Interval.in_1_minute,57412980.0,short,short
4,4,2023-10-27 12:02:00,OANDA:EURCAD,1.45776,1.45781,1.45771,1.45775,65.0,Interval.in_1_minute,57412920.0,short,short
5,5,2023-10-27 12:01:00,OANDA:EURCAD,1.4577,1.45776,1.45762,1.45776,75.0,Interval.in_1_minute,57412860.0,short,short
6,6,2023-10-27 12:00:00,OANDA:EURCAD,1.45774,1.45777,1.45765,1.4577,77.0,Interval.in_1_minute,57412800.0,short,short
7,7,2023-10-27 11:59:00,OANDA:EURCAD,1.45772,1.45774,1.45767,1.45774,42.0,Interval.in_1_minute,57412740.0,short,short
8,8,2023-10-27 11:58:00,OANDA:EURCAD,1.4578,1.45782,1.4577,1.45772,77.0,Interval.in_1_minute,57412680.0,short,short
9,9,2023-10-27 11:57:00,OANDA:EURCAD,1.45777,1.45796,1.45774,1.4578,55.0,Interval.in_1_minute,57412620.0,short,short
10,10,2023-10-27 11:56:00,OANDA:EURCAD,1.45788,1.4579,1.45773,1.45777,67.0,Interval.in_1_minute,57412560.0,short,short
11,11,2023-10-27 11:55:00,OANDA:EURCAD,1.45778,1.45791,1.45772,1.45788,40.0,Interval.in_1_minute,57412500.0,short,short
12,12,2023-10-27 11:54:00,OANDA:EURCAD,1.45754,1.45779,1.45752,1.45778,71.0,Interval.in_1_minute,57412440.0,short,short
13,13,2023-10-27 11:53:00,OANDA:EURCAD,1.4574,1.45757,1.4573,1.45754,96.0,Interval.in_1_minute,57412380.0,long,long
14,14,2023-10-27 11:52:00,OANDA:EURCAD,1.45745,1.45747,1.457335,1.4574,59.0,Interval.in_1_minute,57412320.0,long,long
15,15,2023-10-27 11:51:00,OANDA:EURCAD,1.45752,1.45752,1.45743,1.45745,43.0,Interval.in_1_minute,57412260.0,long,long
16,16,2023-10-27 11:50:00,OANDA:EURCAD,1.45732,1.4576,1.45732,1.45752,61.0,Interval.in_1_minute,57412200.0,long,long
17,17,2023-10-27 11:49:00,OANDA:EURCAD,1.45742,1.45746,1.45732,1.45732,28.0,Interval.in_1_minute,57412140.0,long,long
18,18,2023-10-27 11:48:00,OANDA:EURCAD,1.45737,1.45748,1.4573,1.45742,37.0,Interval.in_1_minute,57412080.0,long,long
19,19,2023-10-27 11:47:00,OANDA:EURCAD,1.45728,1.457385,1.45728,1.45737,21.0,Interval.in_1_minute,57412020.0,long,long
20,20,2023-10-27 11:46:00,OANDA:EURCAD,1.45706,1.457285,1.45702,1.45728,80.0,Interval.in_1_minute,57411960.0,long,long
