,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,nw3,nw2
0,0,2023-10-27 12:05:00,OANDA:EURJPY,158.53,158.53050000000002,158.5075,158.5075,111.0,Interval.in_5_minute,57413100.0,long,long
1,1,2023-10-27 12:00:00,OANDA:EURJPY,158.511,158.531,158.502,158.53,552.0,Interval.in_5_minute,57412800.0,long,long
2,2,2023-10-27 11:55:00,OANDA:EURJPY,158.528,158.542,158.502,158.511,443.0,Interval.in_5_minute,57412500.0,long,long
3,3,2023-10-27 11:50:00,OANDA:EURJPY,158.488,158.528,158.484,158.528,510.0,Interval.in_5_minute,57412200.0,long,long
4,4,2023-10-27 11:45:00,OANDA:EURJPY,158.5,158.51,158.466,158.488,447.0,Interval.in_5_minute,57411900.0,long,long
5,5,2023-10-27 11:40:00,OANDA:EURJPY,158.506,158.522,158.492,158.5,457.0,Interval.in_5_minute,57411600.0,long,long
6,6,2023-10-27 11:35:00,OANDA:EURJPY,158.522,158.522,158.484,158.506,404.0,Interval.in_5_minute,57411300.0,long,long
7,7,2023-10-27 11:30:00,OANDA:EURJPY,158.464,158.527,158.448,158.522,522.0,Interval.in_5_minute,57411000.0,long,long
8,8,2023-10-27 11:25:00,OANDA:EURJPY,158.512,158.514,158.447,158.464,554.0,Interval.in_5_minute,57410700.0,long,long
9,9,2023-10-27 11:20:00,OANDA:EURJPY,158.51,158.544,158.5,158.512,516.0,Interval.in_5_minute,57410400.0,long,long
10,10,2023-10-27 11:15:00,OANDA:EURJPY,158.506,158.5325,158.4975,158.51,495.0,Interval.in_5_minute,57410100.0,long,long
11,11,2023-10-27 11:10:00,OANDA:EURJPY,158.496,158.523,158.46,158.506,602.0,Interval.in_5_minute,57409800.0,long,long
12,12,2023-10-27 11:05:00,OANDA:EURJPY,158.513,158.519,158.476,158.496,700.0,Interval.in_5_minute,57409500.0,long,long
13,13,2023-10-27 11:00:00,OANDA:EURJPY,158.539,158.547,158.506,158.513,853.0,Interval.in_5_minute,57409200.0,long,long
14,14,2023-10-27 10:55:00,OANDA:EURJPY,158.56,158.57,158.538,158.539,623.0,Interval.in_5_minute,57408900.0,long,long
15,15,2023-10-27 10:50:00,OANDA:EURJPY,158.534,158.5605,158.524,158.56,646.0,Interval.in_5_minute,57408600.0,long,long
16,16,2023-10-27 10:45:00,OANDA:EURJPY,158.492,158.549,158.462,158.534,856.0,Interval.in_5_minute,57408300.0,long,long
17,17,2023-10-27 10:40:00,OANDA:EURJPY,158.468,158.51,158.451,158.492,632.0,Interval.in_5_minute,57408000.0,long,long
18,18,2023-10-27 10:35:00,OANDA:EURJPY,158.488,158.5,158.452,158.468,521.0,Interval.in_5_minute,57407700.0,long,long
19,19,2023-10-27 10:30:00,OANDA:EURJPY,158.59,158.59,158.477,158.488,723.0,Interval.in_5_minute,57407400.0,long,long
20,20,2023-10-27 10:25:00,OANDA:EURJPY,158.622,158.635,158.576,158.59,849.0,Interval.in_5_minute,57407100.0,long,long
21,21,2023-10-27 10:20:00,OANDA:EURJPY,158.603,158.627,158.5815,158.622,681.0,Interval.in_5_minute,57406800.0,long,long
22,22,2023-10-27 10:15:00,OANDA:EURJPY,158.58,158.62,158.568,158.603,575.0,Interval.in_5_minute,57406500.0,long,long
23,23,2023-10-27 10:10:00,OANDA:EURJPY,158.54,158.598,158.532,158.58,673.0,Interval.in_5_minute,57406200.0,long,long
