,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,nw3,nw2
0,0,2023-10-27 12:00:00,OANDA:GBPUSD,1.21282,1.2134049999999998,1.212615,1.2134049999999998,374.0,Interval.in_30_minute,57412800.0,long,short
1,1,2023-10-27 11:30:00,OANDA:GBPUSD,1.21141,1.21298,1.21132,1.21282,1934.0,Interval.in_30_minute,57411000.0,long,short
2,2,2023-10-27 11:00:00,OANDA:GBPUSD,1.2119,1.21204,1.21118,1.21141,2359.0,Interval.in_30_minute,57409200.0,long,short
3,3,2023-10-27 10:30:00,OANDA:GBPUSD,1.21226,1.21238,1.21144,1.2119,2562.0,Interval.in_30_minute,57407400.0,long,short
4,4,2023-10-27 10:00:00,OANDA:GBPUSD,1.21212,1.21262,1.21124,1.21226,3233.0,Interval.in_30_minute,57405600.0,long,short
5,5,2023-10-27 09:30:00,OANDA:GBPUSD,1.21223,1.21255,1.21146,1.21212,2147.0,Interval.in_30_minute,57403800.0,long,short
6,6,2023-10-27 09:00:00,OANDA:GBPUSD,1.21362,1.2138,1.21197,1.21223,2030.0,Interval.in_30_minute,57402000.0,long,short
7,7,2023-10-27 08:30:00,OANDA:GBPUSD,1.21376,1.21414,1.21339,1.21362,1458.0,Interval.in_30_minute,57400200.0,long,short
8,8,2023-10-27 08:00:00,OANDA:GBPUSD,1.21378,1.21417,1.21359,1.21376,1610.0,Interval.in_30_minute,57398400.0,long,short
9,9,2023-10-27 07:30:00,OANDA:GBPUSD,1.2136,1.21388,1.21348,1.21378,1119.0,Interval.in_30_minute,57396600.0,long,short
10,10,2023-10-27 07:00:00,OANDA:GBPUSD,1.21344,1.21374,1.21328,1.2136,744.0,Interval.in_30_minute,57394800.0,long,short
11,11,2023-10-27 06:30:00,OANDA:GBPUSD,1.21349,1.21352,1.21302,1.21344,917.0,Interval.in_30_minute,57393000.0,long,short
12,12,2023-10-27 06:00:00,OANDA:GBPUSD,1.21368,1.21388,1.21336,1.21349,1084.0,Interval.in_30_minute,57391200.0,long,short
13,13,2023-10-27 05:30:00,OANDA:GBPUSD,1.21342,1.21394,1.21338,1.21368,1065.0,Interval.in_30_minute,57389400.0,long,short
14,14,2023-10-27 05:00:00,OANDA:GBPUSD,1.21296,1.21352,1.21296,1.21342,1292.0,Interval.in_30_minute,57387600.0,long,short
15,15,2023-10-27 04:30:00,OANDA:GBPUSD,1.21243,1.21332,1.21225,1.21296,1813.0,Interval.in_30_minute,57385800.0,long,short
16,16,2023-10-27 04:00:00,OANDA:GBPUSD,1.21273,1.2128,1.21228,1.21243,1786.0,Interval.in_30_minute,57384000.0,long,short
17,17,2023-10-27 03:30:00,OANDA:GBPUSD,1.21302,1.21336,1.21269,1.21273,1449.0,Interval.in_30_minute,57382200.0,short,short
18,18,2023-10-27 03:00:00,OANDA:GBPUSD,1.21364,1.21374,1.21288,1.21302,1563.0,Interval.in_30_minute,57380400.0,short,short
19,19,2023-10-27 02:30:00,OANDA:GBPUSD,1.21374,1.21392,1.21347,1.21364,1597.0,Interval.in_30_minute,57378600.0,short,short
20,20,2023-10-27 02:00:00,OANDA:GBPUSD,1.21343,1.21376,1.21334,1.21374,694.0,Interval.in_30_minute,57376800.0,short,short
21,21,2023-10-27 01:30:00,OANDA:GBPUSD,1.21342,1.21352,1.2133,1.21343,267.0,Interval.in_30_minute,57375000.0,short,short
22,22,2023-10-27 01:00:00,OANDA:GBPUSD,1.21292,1.21342,1.2129,1.21342,492.0,Interval.in_30_minute,57373200.0,short,short
23,23,2023-10-27 00:30:00,OANDA:GBPUSD,1.21293,1.21295,1.21264,1.21292,186.0,Interval.in_30_minute,57371400.0,short,short
24,24,2023-10-27 00:00:00,OANDA:GBPUSD,1.21286,1.21332,1.21266,1.21293,201.0,Interval.in_30_minute,57369600.0,short,short
25,25,2023-10-26 23:30:00,OANDA:GBPUSD,1.2129,1.21295,1.21259,1.21286,716.0,Interval.in_30_minute,57367800.0,short,short
26,26,2023-10-26 23:00:00,OANDA:GBPUSD,1.21212,1.21291,1.2118,1.2129,1171.0,Interval.in_30_minute,57366000.0,short,short
27,27,2023-10-26 22:30:00,OANDA:GBPUSD,1.21284,1.21284,1.211975,1.21212,1914.0,Interval.in_30_minute,57364200.0,short,short
28,28,2023-10-26 22:00:00,OANDA:GBPUSD,1.2135,1.21372,1.21282,1.21284,1792.0,Interval.in_30_minute,57362400.0,short,short
29,29,2023-10-26 21:30:00,OANDA:GBPUSD,1.21312,1.21396,1.21304,1.2135,2039.0,Interval.in_30_minute,57360600.0,short,short
30,30,2023-10-26 21:00:00,OANDA:GBPUSD,1.21284,1.21342,1.21268,1.21312,2204.0,Interval.in_30_minute,57358800.0,short,short
31,31,2023-10-26 20:30:00,OANDA:GBPUSD,1.21194,1.21318,1.21164,1.21284,2455.0,Interval.in_30_minute,57357000.0,short,short
32,32,2023-10-26 20:00:00,OANDA:GBPUSD,1.21046,1.21218,1.2104,1.21194,3050.0,Interval.in_30_minute,57355200.0,short,short
33,33,2023-10-26 19:30:00,OANDA:GBPUSD,1.21104,1.21118,1.21004,1.21046,2469.0,Interval.in_30_minute,57353400.0,short,short
34,34,2023-10-26 19:00:00,OANDA:GBPUSD,1.2111,1.21132,1.2098,1.21104,2700.0,Interval.in_30_minute,57351600.0,short,short
35,35,2023-10-26 18:30:00,OANDA:GBPUSD,1.21071,1.21202,1.21048,1.2111,2831.0,Interval.in_30_minute,57349800.0,short,short
36,36,2023-10-26 18:00:00,OANDA:GBPUSD,1.21272,1.21322,1.21071,1.21071,3428.0,Interval.in_30_minute,57348000.0,short,short
37,37,2023-10-26 17:30:00,OANDA:GBPUSD,1.21141,1.21292,1.2106,1.21272,3799.0,Interval.in_30_minute,57346200.0,short,short
38,38,2023-10-26 17:00:00,OANDA:GBPUSD,1.21223,1.21229,1.21039,1.21141,4729.0,Interval.in_30_minute,57344400.0,short,short
39,39,2023-10-26 16:30:00,OANDA:GBPUSD,1.21134,1.21338,1.2113,1.21223,5153.0,Interval.in_30_minute,57342600.0,short,short
40,40,2023-10-26 16:00:00,OANDA:GBPUSD,1.21248,1.21267,1.21076,1.21134,4664.0,Interval.in_30_minute,57340800.0,short,short
41,41,2023-10-26 15:30:00,OANDA:GBPUSD,1.20931,1.21248,1.20774,1.21248,7582.0,Interval.in_30_minute,57339000.0,short,short
42,42,2023-10-26 15:00:00,OANDA:GBPUSD,1.20858,1.20962,1.20826,1.20931,3572.0,Interval.in_30_minute,57337200.0,short,short
43,43,2023-10-26 14:30:00,OANDA:GBPUSD,1.20858,1.20885,1.2079,1.20858,1829.0,Interval.in_30_minute,57335400.0,short,short
44,44,2023-10-26 14:00:00,OANDA:GBPUSD,1.20756,1.20859,1.20753,1.20858,1810.0,Interval.in_30_minute,57333600.0,short,short
45,45,2023-10-26 13:30:00,OANDA:GBPUSD,1.2088,1.20922,1.20744,1.20756,1934.0,Interval.in_30_minute,57331800.0,short,short
46,46,2023-10-26 13:00:00,OANDA:GBPUSD,1.20894,1.20919,1.20862,1.2088,1634.0,Interval.in_30_minute,57330000.0,short,short
47,47,2023-10-26 12:30:00,OANDA:GBPUSD,1.20918,1.20944,1.20875,1.20894,1754.0,Interval.in_30_minute,57328200.0,short,short
48,48,2023-10-26 12:00:00,OANDA:GBPUSD,1.20794,1.20948,1.20746,1.20918,1882.0,Interval.in_30_minute,57326400.0,short,short
49,49,2023-10-26 11:30:00,OANDA:GBPUSD,1.20855,1.20891,1.207815,1.20794,1709.0,Interval.in_30_minute,57324600.0,short,short
50,50,2023-10-26 11:00:00,OANDA:GBPUSD,1.20894,1.20962,1.20838,1.20855,2088.0,Interval.in_30_minute,57322800.0,short,short
51,51,2023-10-26 10:30:00,OANDA:GBPUSD,1.20885,1.20922,1.20818,1.20894,2567.0,Interval.in_30_minute,57321000.0,short,short
52,52,2023-10-26 10:00:00,OANDA:GBPUSD,1.20763,1.20933,1.20751,1.20885,2938.0,Interval.in_30_minute,57319200.0,short,short
53,53,2023-10-26 09:30:00,OANDA:GBPUSD,1.20824,1.20876,1.20695,1.20763,3166.0,Interval.in_30_minute,57317400.0,short,short
54,54,2023-10-26 09:00:00,OANDA:GBPUSD,1.20796,1.20846,1.2073,1.20824,2509.0,Interval.in_30_minute,57315600.0,short,short
55,55,2023-10-26 08:30:00,OANDA:GBPUSD,1.20779,1.20881,1.20777,1.20796,1370.0,Interval.in_30_minute,57313800.0,short,short
56,56,2023-10-26 08:00:00,OANDA:GBPUSD,1.208,1.20867,1.20764,1.20779,1089.0,Interval.in_30_minute,57312000.0,short,short
57,57,2023-10-26 07:30:00,OANDA:GBPUSD,1.20819,1.20828,1.207915,1.208,825.0,Interval.in_30_minute,57310200.0,short,short
58,58,2023-10-26 07:00:00,OANDA:GBPUSD,1.20808,1.20834,1.20798,1.20819,1225.0,Interval.in_30_minute,57308400.0,short,short
59,59,2023-10-26 06:30:00,OANDA:GBPUSD,1.20788,1.20832,1.20768,1.20808,1544.0,Interval.in_30_minute,57306600.0,short,short
60,60,2023-10-26 06:00:00,OANDA:GBPUSD,1.20828,1.20845,1.20772,1.20788,1240.0,Interval.in_30_minute,57304800.0,short,short
61,61,2023-10-26 05:30:00,OANDA:GBPUSD,1.20824,1.209025,1.20814,1.20828,1565.0,Interval.in_30_minute,57303000.0,short,short
62,62,2023-10-26 05:00:00,OANDA:GBPUSD,1.20942,1.20946,1.20795,1.20824,1872.0,Interval.in_30_minute,57301200.0,short,long
63,63,2023-10-26 04:30:00,OANDA:GBPUSD,1.20953,1.20996,1.20916,1.20942,1913.0,Interval.in_30_minute,57299400.0,short,short
64,64,2023-10-26 04:00:00,OANDA:GBPUSD,1.20906,1.2097,1.20876,1.20953,1756.0,Interval.in_30_minute,57297600.0,short,short
65,65,2023-10-26 03:30:00,OANDA:GBPUSD,1.21019,1.21044,1.20877,1.20906,1758.0,Interval.in_30_minute,57295800.0,short,short
66,66,2023-10-26 03:00:00,OANDA:GBPUSD,1.21022,1.21049,1.20982,1.21019,1352.0,Interval.in_30_minute,57294000.0,short,short
67,67,2023-10-26 02:30:00,OANDA:GBPUSD,1.20959,1.210325,1.20949,1.21022,886.0,Interval.in_30_minute,57292200.0,short,short
68,68,2023-10-26 02:00:00,OANDA:GBPUSD,1.21032,1.21036,1.20952,1.20959,841.0,Interval.in_30_minute,57290400.0,short,short
69,69,2023-10-26 01:30:00,OANDA:GBPUSD,1.21056,1.21056,1.210315,1.21032,532.0,Interval.in_30_minute,57288600.0,short,short
70,70,2023-10-26 01:00:00,OANDA:GBPUSD,1.21094,1.21102,1.21014,1.21056,557.0,Interval.in_30_minute,57286800.0,short,short
71,71,2023-10-26 00:30:00,OANDA:GBPUSD,1.21109,1.21128,1.21093,1.21094,459.0,Interval.in_30_minute,57285000.0,short,short
72,72,2023-10-26 00:00:00,OANDA:GBPUSD,1.21115,1.21138,1.21094,1.21109,126.0,Interval.in_30_minute,57283200.0,short,short
73,73,2023-10-25 23:30:00,OANDA:GBPUSD,1.21104,1.21116,1.21066,1.21115,1062.0,Interval.in_30_minute,57281400.0,short,short
74,74,2023-10-25 23:00:00,OANDA:GBPUSD,1.21122,1.21146,1.21104,1.21104,928.0,Interval.in_30_minute,57279600.0,short,short
75,75,2023-10-25 22:30:00,OANDA:GBPUSD,1.21186,1.212,1.2112,1.21122,1689.0,Interval.in_30_minute,57277800.0,short,long
76,76,2023-10-25 22:00:00,OANDA:GBPUSD,1.2116,1.21198,1.21138,1.21186,1844.0,Interval.in_30_minute,57276000.0,short,long
77,77,2023-10-25 21:30:00,OANDA:GBPUSD,1.21204,1.21234,1.2114,1.2116,2225.0,Interval.in_30_minute,57274200.0,short,long
78,78,2023-10-25 21:00:00,OANDA:GBPUSD,1.21209,1.21238,1.21169,1.21204,1962.0,Interval.in_30_minute,57272400.0,short,long
79,79,2023-10-25 20:30:00,OANDA:GBPUSD,1.2119,1.21215,1.21136,1.21209,2768.0,Interval.in_30_minute,57270600.0,short,long
80,80,2023-10-25 20:00:00,OANDA:GBPUSD,1.21276,1.21306,1.2119,1.2119,3584.0,Interval.in_30_minute,57268800.0,short,long
81,81,2023-10-25 19:30:00,OANDA:GBPUSD,1.21326,1.21375,1.212235,1.21276,2304.0,Interval.in_30_minute,57267000.0,short,long
82,82,2023-10-25 19:00:00,OANDA:GBPUSD,1.2138,1.21404,1.2132,1.21326,2416.0,Interval.in_30_minute,57265200.0,short,long
83,83,2023-10-25 18:30:00,OANDA:GBPUSD,1.21472,1.21531,1.213735,1.2138,3162.0,Interval.in_30_minute,57263400.0,short,long
84,84,2023-10-25 18:00:00,OANDA:GBPUSD,1.21422,1.21507,1.21394,1.21472,4427.0,Interval.in_30_minute,57261600.0,short,long
85,85,2023-10-25 17:30:00,OANDA:GBPUSD,1.21414,1.21562,1.21386,1.21422,3889.0,Interval.in_30_minute,57259800.0,short,long
86,86,2023-10-25 17:00:00,OANDA:GBPUSD,1.2134,1.21442,1.21257,1.21414,5537.0,Interval.in_30_minute,57258000.0,short,long
