,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sob_delta_include-breaking,sob_delta
0,0,2023-10-27 12:00:00,OANDA:AUDJPY,95.306,95.328,95.29,95.3125,566.0,Interval.in_30_minute,57412800.0,long,long
1,1,2023-10-27 11:30:00,OANDA:AUDJPY,95.296,95.342,95.2915,95.306,2857.0,Interval.in_30_minute,57411000.0,neutral,neutral
2,2,2023-10-27 11:00:00,OANDA:AUDJPY,95.242,95.338,95.228,95.296,3104.0,Interval.in_30_minute,57409200.0,neutral,neutral
3,3,2023-10-27 10:30:00,OANDA:AUDJPY,95.154,95.256,95.108,95.242,2463.0,Interval.in_30_minute,57407400.0,short,short
4,4,2023-10-27 10:00:00,OANDA:AUDJPY,95.156,95.1645,95.092,95.154,3726.0,Interval.in_30_minute,57405600.0,neutral,neutral
5,5,2023-10-27 09:30:00,OANDA:AUDJPY,95.274,95.293,95.156,95.156,2689.0,Interval.in_30_minute,57403800.0,neutral,neutral
6,6,2023-10-27 09:00:00,OANDA:AUDJPY,95.236,95.324,95.234,95.274,2639.0,Interval.in_30_minute,57402000.0,neutral,neutral
7,7,2023-10-27 08:30:00,OANDA:AUDJPY,95.258,95.284,95.19,95.236,1621.0,Interval.in_30_minute,57400200.0,neutral,neutral
8,8,2023-10-27 08:00:00,OANDA:AUDJPY,95.269,95.298,95.23,95.258,1591.0,Interval.in_30_minute,57398400.0,neutral,neutral
9,9,2023-10-27 07:30:00,OANDA:AUDJPY,95.22,95.289,95.216,95.269,1123.0,Interval.in_30_minute,57396600.0,neutral,neutral
10,10,2023-10-27 07:00:00,OANDA:AUDJPY,95.218,95.248,95.21,95.22,1069.0,Interval.in_30_minute,57394800.0,neutral,neutral
11,11,2023-10-27 06:30:00,OANDA:AUDJPY,95.208,95.2245,95.176,95.218,1093.0,Interval.in_30_minute,57393000.0,neutral,neutral
12,12,2023-10-27 06:00:00,OANDA:AUDJPY,95.216,95.2445,95.166,95.208,1410.0,Interval.in_30_minute,57391200.0,neutral,neutral
13,13,2023-10-27 05:30:00,OANDA:AUDJPY,95.23,95.281,95.18,95.216,2008.0,Interval.in_30_minute,57389400.0,neutral,neutral
14,14,2023-10-27 05:00:00,OANDA:AUDJPY,95.25,95.32,95.229,95.23,2208.0,Interval.in_30_minute,57387600.0,neutral,neutral
15,15,2023-10-27 04:30:00,OANDA:AUDJPY,95.158,95.303,95.124,95.25,2000.0,Interval.in_30_minute,57385800.0,neutral,neutral
16,16,2023-10-27 04:00:00,OANDA:AUDJPY,95.26,95.267,95.094,95.158,2068.0,Interval.in_30_minute,57384000.0,long,long
17,17,2023-10-27 03:30:00,OANDA:AUDJPY,95.26,95.318,95.206,95.26,2146.0,Interval.in_30_minute,57382200.0,neutral,neutral
18,18,2023-10-27 03:00:00,OANDA:AUDJPY,95.234,95.279,95.186,95.26,1804.0,Interval.in_30_minute,57380400.0,short,short
19,19,2023-10-27 02:30:00,OANDA:AUDJPY,95.17,95.248,95.142,95.234,1874.0,Interval.in_30_minute,57378600.0,neutral,neutral
20,20,2023-10-27 02:00:00,OANDA:AUDJPY,95.12,95.184,95.118,95.17,2232.0,Interval.in_30_minute,57376800.0,neutral,neutral
21,21,2023-10-27 01:30:00,OANDA:AUDJPY,95.106,95.162,95.104,95.12,419.0,Interval.in_30_minute,57375000.0,neutral,neutral
22,22,2023-10-27 01:00:00,OANDA:AUDJPY,95.076,95.144,95.064,95.106,793.0,Interval.in_30_minute,57373200.0,neutral,neutral
23,23,2023-10-27 00:30:00,OANDA:AUDJPY,95.072,95.087,95.036,95.076,259.0,Interval.in_30_minute,57371400.0,neutral,neutral
24,24,2023-10-27 00:00:00,OANDA:AUDJPY,95.083,95.111,95.05,95.072,221.0,Interval.in_30_minute,57369600.0,neutral,neutral
25,25,2023-10-26 23:30:00,OANDA:AUDJPY,95.126,95.127,95.064,95.083,986.0,Interval.in_30_minute,57367800.0,long,long
26,26,2023-10-26 23:00:00,OANDA:AUDJPY,95.018,95.132,95.012,95.126,1866.0,Interval.in_30_minute,57366000.0,short,short
27,27,2023-10-26 22:30:00,OANDA:AUDJPY,95.075,95.075,94.942,95.018,2358.0,Interval.in_30_minute,57364200.0,neutral,neutral
28,28,2023-10-26 22:00:00,OANDA:AUDJPY,95.158,95.183,95.073,95.075,2157.0,Interval.in_30_minute,57362400.0,long,long
29,29,2023-10-26 21:30:00,OANDA:AUDJPY,95.166,95.202,95.144,95.158,2555.0,Interval.in_30_minute,57360600.0,neutral,neutral
30,30,2023-10-26 21:00:00,OANDA:AUDJPY,95.119,95.184,95.092,95.166,2276.0,Interval.in_30_minute,57358800.0,neutral,neutral
31,31,2023-10-26 20:30:00,OANDA:AUDJPY,94.898,95.128,94.868,95.119,2813.0,Interval.in_30_minute,57357000.0,neutral,neutral
32,32,2023-10-26 20:00:00,OANDA:AUDJPY,94.806,94.953,94.792,94.898,3510.0,Interval.in_30_minute,57355200.0,neutral,neutral
33,33,2023-10-26 19:30:00,OANDA:AUDJPY,94.885,94.906,94.795,94.806,2624.0,Interval.in_30_minute,57353400.0,neutral,neutral
34,34,2023-10-26 19:00:00,OANDA:AUDJPY,94.954,94.954,94.796,94.885,3174.0,Interval.in_30_minute,57351600.0,neutral,neutral
35,35,2023-10-26 18:30:00,OANDA:AUDJPY,94.861,94.992,94.834,94.954,3795.0,Interval.in_30_minute,57349800.0,short,short
