,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sob_delta_include-breaking,sob_delta
0,0,2023-10-27 12:00:00,OANDA:AUDUSD,0.63504,0.6352800000000001,0.6349199999999999,0.635185,205.0,Interval.in_30_minute,57412800.0,neutral,neutral
1,1,2023-10-27 11:30:00,OANDA:AUDUSD,0.63494,0.63518,0.6348,0.63504,712.0,Interval.in_30_minute,57411000.0,neutral,neutral
2,2,2023-10-27 11:00:00,OANDA:AUDUSD,0.63428,0.63504,0.63418,0.63494,1124.0,Interval.in_30_minute,57409200.0,neutral,neutral
3,3,2023-10-27 10:30:00,OANDA:AUDUSD,0.6337,0.634285,0.63344,0.63428,965.0,Interval.in_30_minute,57407400.0,neutral,neutral
4,4,2023-10-27 10:00:00,OANDA:AUDUSD,0.63357,0.63374,0.63312,0.6337,1304.0,Interval.in_30_minute,57405600.0,neutral,neutral
5,5,2023-10-27 09:30:00,OANDA:AUDUSD,0.63428,0.6344,0.63356,0.63357,957.0,Interval.in_30_minute,57403800.0,neutral,neutral
6,6,2023-10-27 09:00:00,OANDA:AUDUSD,0.63447,0.63508,0.63404,0.63428,830.0,Interval.in_30_minute,57402000.0,neutral,neutral
7,7,2023-10-27 08:30:00,OANDA:AUDUSD,0.63424,0.6346,0.6338,0.63447,663.0,Interval.in_30_minute,57400200.0,neutral,neutral
8,8,2023-10-27 08:00:00,OANDA:AUDUSD,0.63439,0.63464,0.63401,0.63424,669.0,Interval.in_30_minute,57398400.0,neutral,neutral
9,9,2023-10-27 07:30:00,OANDA:AUDUSD,0.63389,0.634505,0.63383,0.63439,412.0,Interval.in_30_minute,57396600.0,neutral,neutral
10,10,2023-10-27 07:00:00,OANDA:AUDUSD,0.63388,0.63402,0.63371,0.63389,334.0,Interval.in_30_minute,57394800.0,neutral,neutral
11,11,2023-10-27 06:30:00,OANDA:AUDUSD,0.63398,0.63398,0.633635,0.63388,443.0,Interval.in_30_minute,57393000.0,neutral,neutral
12,12,2023-10-27 06:00:00,OANDA:AUDUSD,0.63404,0.63425,0.63374,0.63398,630.0,Interval.in_30_minute,57391200.0,neutral,neutral
13,13,2023-10-27 05:30:00,OANDA:AUDUSD,0.63383,0.63428,0.63373,0.63404,742.0,Interval.in_30_minute,57389400.0,neutral,neutral
