,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sob_delta_include-breaking,sob_delta
0,0,2023-10-27 12:06:00,OANDA:EURJPY,158.52,158.52300000000002,158.5075,158.5075,34.0,Interval.in_3_minute,57413160.0,neutral,neutral
1,1,2023-10-27 12:03:00,OANDA:EURJPY,158.521,158.531,158.502,158.52,267.0,Interval.in_3_minute,57412980.0,neutral,neutral
2,2,2023-10-27 12:00:00,OANDA:EURJPY,158.511,158.525,158.51,158.521,362.0,Interval.in_3_minute,57412800.0,neutral,neutral
3,3,2023-10-27 11:57:00,OANDA:EURJPY,158.532,158.5405,158.502,158.511,290.0,Interval.in_3_minute,57412620.0,neutral,neutral
4,4,2023-10-27 11:54:00,OANDA:EURJPY,158.514,158.542,158.506,158.532,246.0,Interval.in_3_minute,57412440.0,long,long
5,5,2023-10-27 11:51:00,OANDA:EURJPY,158.504,158.521,158.484,158.514,295.0,Interval.in_3_minute,57412260.0,neutral,neutral
6,6,2023-10-27 11:48:00,OANDA:EURJPY,158.509,158.51,158.4875,158.504,255.0,Interval.in_3_minute,57412080.0,neutral,neutral
7,7,2023-10-27 11:45:00,OANDA:EURJPY,158.5,158.509,158.466,158.509,314.0,Interval.in_3_minute,57411900.0,neutral,neutral
8,8,2023-10-27 11:42:00,OANDA:EURJPY,158.495,158.522,158.495,158.5,305.0,Interval.in_3_minute,57411720.0,neutral,neutral
9,9,2023-10-27 11:39:00,OANDA:EURJPY,158.505,158.512,158.492,158.495,240.0,Interval.in_3_minute,57411540.0,neutral,neutral
10,10,2023-10-27 11:36:00,OANDA:EURJPY,158.508,158.512,158.484,158.505,238.0,Interval.in_3_minute,57411360.0,neutral,neutral
11,11,2023-10-27 11:33:00,OANDA:EURJPY,158.478,158.527,158.478,158.508,234.0,Interval.in_3_minute,57411180.0,short,short
12,12,2023-10-27 11:30:00,OANDA:EURJPY,158.464,158.49,158.448,158.478,366.0,Interval.in_3_minute,57411000.0,neutral,neutral
13,13,2023-10-27 11:27:00,OANDA:EURJPY,158.485,158.493,158.447,158.464,324.0,Interval.in_3_minute,57410820.0,neutral,neutral
