,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sob_delta_include-breaking,sob_delta
0,0,2023-10-27 12:06:00,OANDA:EURUSD,1.05638,1.056405,1.05634,1.05635,33.0,Interval.in_3_minute,57413160.0,neutral,neutral
1,1,2023-10-27 12:03:00,OANDA:EURUSD,1.05624,1.05645,1.05618,1.05638,127.0,Interval.in_3_minute,57412980.0,neutral,neutral
2,2,2023-10-27 12:00:00,OANDA:EURUSD,1.05618,1.05626,1.05614,1.05624,154.0,Interval.in_3_minute,57412800.0,neutral,neutral
3,3,2023-10-27 11:57:00,OANDA:EURUSD,1.05618,1.05625,1.056115,1.05618,203.0,Interval.in_3_minute,57412620.0,neutral,neutral
4,4,2023-10-27 11:54:00,OANDA:EURUSD,1.056,1.05624,1.05595,1.05618,174.0,Interval.in_3_minute,57412440.0,neutral,neutral
5,5,2023-10-27 11:51:00,OANDA:EURUSD,1.05589,1.056,1.05576,1.056,139.0,Interval.in_3_minute,57412260.0,neutral,neutral
6,6,2023-10-27 11:48:00,OANDA:EURUSD,1.05598,1.056,1.05579,1.05589,114.0,Interval.in_3_minute,57412080.0,neutral,neutral
7,7,2023-10-27 11:45:00,OANDA:EURUSD,1.0559,1.056,1.05566,1.05598,195.0,Interval.in_3_minute,57411900.0,neutral,neutral
8,8,2023-10-27 11:42:00,OANDA:EURUSD,1.0559,1.05608,1.05588,1.0559,151.0,Interval.in_3_minute,57411720.0,neutral,neutral
9,9,2023-10-27 11:39:00,OANDA:EURUSD,1.05596,1.05604,1.05585,1.0559,129.0,Interval.in_3_minute,57411540.0,neutral,neutral
10,10,2023-10-27 11:36:00,OANDA:EURUSD,1.05582,1.056,1.05579,1.05596,141.0,Interval.in_3_minute,57411360.0,neutral,neutral
11,11,2023-10-27 11:33:00,OANDA:EURUSD,1.05587,1.05597,1.055775,1.05582,107.0,Interval.in_3_minute,57411180.0,neutral,neutral
12,12,2023-10-27 11:30:00,OANDA:EURUSD,1.05584,1.05598,1.05578,1.05587,135.0,Interval.in_3_minute,57411000.0,neutral,neutral
13,13,2023-10-27 11:27:00,OANDA:EURUSD,1.05587,1.056,1.05569,1.05584,157.0,Interval.in_3_minute,57410820.0,neutral,neutral
14,14,2023-10-27 11:24:00,OANDA:EURUSD,1.05596,1.05602,1.05587,1.05587,167.0,Interval.in_3_minute,57410640.0,neutral,neutral
15,15,2023-10-27 11:21:00,OANDA:EURUSD,1.0559,1.05606,1.055815,1.05596,242.0,Interval.in_3_minute,57410460.0,neutral,neutral
16,16,2023-10-27 11:18:00,OANDA:EURUSD,1.05584,1.056,1.05579,1.0559,164.0,Interval.in_3_minute,57410280.0,neutral,neutral
17,17,2023-10-27 11:15:00,OANDA:EURUSD,1.0557,1.05596,1.05568,1.05584,186.0,Interval.in_3_minute,57410100.0,neutral,neutral
18,18,2023-10-27 11:12:00,OANDA:EURUSD,1.05568,1.05572,1.055435,1.0557,216.0,Interval.in_3_minute,57409920.0,neutral,neutral
19,19,2023-10-27 11:09:00,OANDA:EURUSD,1.05566,1.05584,1.05555,1.05568,235.0,Interval.in_3_minute,57409740.0,neutral,neutral
20,20,2023-10-27 11:06:00,OANDA:EURUSD,1.05545,1.05566,1.05542,1.05566,163.0,Interval.in_3_minute,57409560.0,neutral,neutral
21,21,2023-10-27 11:03:00,OANDA:EURUSD,1.05562,1.05573,1.055395,1.05545,308.0,Interval.in_3_minute,57409380.0,short,short
22,22,2023-10-27 11:00:00,OANDA:EURUSD,1.05586,1.05586,1.055575,1.05562,235.0,Interval.in_3_minute,57409200.0,neutral,neutral
23,23,2023-10-27 10:57:00,OANDA:EURUSD,1.0557,1.05591,1.0557,1.05586,150.0,Interval.in_3_minute,57409020.0,neutral,neutral
24,24,2023-10-27 10:54:00,OANDA:EURUSD,1.05552,1.05571,1.05552,1.0557,124.0,Interval.in_3_minute,57408840.0,neutral,neutral
25,25,2023-10-27 10:51:00,OANDA:EURUSD,1.0556,1.05565,1.05546,1.05552,181.0,Interval.in_3_minute,57408660.0,neutral,neutral
26,26,2023-10-27 10:48:00,OANDA:EURUSD,1.05526,1.05566,1.05525,1.0556,220.0,Interval.in_3_minute,57408480.0,neutral,neutral
27,27,2023-10-27 10:45:00,OANDA:EURUSD,1.05548,1.05548,1.05525,1.05526,230.0,Interval.in_3_minute,57408300.0,neutral,neutral
28,28,2023-10-27 10:42:00,OANDA:EURUSD,1.05553,1.05556,1.055355,1.05548,192.0,Interval.in_3_minute,57408120.0,neutral,neutral
29,29,2023-10-27 10:39:00,OANDA:EURUSD,1.05573,1.05573,1.055355,1.05553,178.0,Interval.in_3_minute,57407940.0,neutral,neutral
