,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
0,0,2023-10-27 12:00:00,OANDA:AUDCAD,0.87645,0.87668,0.87633,0.876675,117.0,Interval.in_15_minute,57412800.0,long,short
1,1,2023-10-27 11:45:00,OANDA:AUDCAD,0.87647,0.8765700000000001,0.876235,0.87645,387.0,Interval.in_15_minute,57411900.0,long,short
2,2,2023-10-27 11:30:00,OANDA:AUDCAD,0.8766,0.87682,0.87632,0.87647,313.0,Interval.in_15_minute,57411000.0,long,short
3,3,2023-10-27 11:15:00,OANDA:AUDCAD,0.8764,0.8767,0.8763,0.8766,392.0,Interval.in_15_minute,57410100.0,long,short
4,4,2023-10-27 11:00:00,OANDA:AUDCAD,0.87606,0.87659,0.87604,0.8764,360.0,Interval.in_15_minute,57409200.0,long,short
5,5,2023-10-27 10:45:00,OANDA:AUDCAD,0.87606,0.87611,0.8758,0.87606,322.0,Interval.in_15_minute,57408300.0,long,short
6,6,2023-10-27 10:30:00,OANDA:AUDCAD,0.87594,0.87606,0.87563,0.87606,383.0,Interval.in_15_minute,57407400.0,long,short
7,7,2023-10-27 10:15:00,OANDA:AUDCAD,0.8755,0.87594,0.87534,0.87594,457.0,Interval.in_15_minute,57406500.0,long,short
8,8,2023-10-27 10:00:00,OANDA:AUDCAD,0.87554,0.87574,0.875275,0.8755,472.0,Interval.in_15_minute,57405600.0,long,short
9,9,2023-10-27 09:45:00,OANDA:AUDCAD,0.87588,0.87593,0.87542,0.87554,372.0,Interval.in_15_minute,57404700.0,long,short
10,10,2023-10-27 09:30:00,OANDA:AUDCAD,0.87631,0.8764,0.87582,0.87588,345.0,Interval.in_15_minute,57403800.0,long,short
11,11,2023-10-27 09:15:00,OANDA:AUDCAD,0.87624,0.87636,0.87598,0.87631,402.0,Interval.in_15_minute,57402900.0,long,short
12,12,2023-10-27 09:00:00,OANDA:AUDCAD,0.87616,0.87671,0.87604,0.87624,582.0,Interval.in_15_minute,57402000.0,long,short
13,13,2023-10-27 08:45:00,OANDA:AUDCAD,0.87558,0.87623,0.87555,0.87616,274.0,Interval.in_15_minute,57401100.0,long,short
14,14,2023-10-27 08:30:00,OANDA:AUDCAD,0.87572,0.8758,0.87534,0.87558,364.0,Interval.in_15_minute,57400200.0,long,short
15,15,2023-10-27 08:15:00,OANDA:AUDCAD,0.87561,0.87579,0.8755,0.87572,203.0,Interval.in_15_minute,57399300.0,long,short
16,16,2023-10-27 08:00:00,OANDA:AUDCAD,0.8758,0.87612,0.875455,0.87561,324.0,Interval.in_15_minute,57398400.0,long,short
17,17,2023-10-27 07:45:00,OANDA:AUDCAD,0.87554,0.8759,0.875495,0.8758,198.0,Interval.in_15_minute,57397500.0,long,short
