,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
0,0,2023-10-27 12:00:00,OANDA:AUDCAD,0.87645,0.87668,0.87633,0.8766400000000001,117.0,Interval.in_2_hour,57412800.0,long,short
1,1,2023-10-27 10:00:00,OANDA:AUDCAD,0.87554,0.87682,0.875275,0.87645,3086.0,Interval.in_2_hour,57405600.0,long,short
2,2,2023-10-27 08:00:00,OANDA:AUDCAD,0.8758,0.87671,0.87534,0.87554,2866.0,Interval.in_2_hour,57398400.0,long,short
3,3,2023-10-27 06:00:00,OANDA:AUDCAD,0.87558,0.8759,0.8752,0.8758,1310.0,Interval.in_2_hour,57391200.0,long,short
4,4,2023-10-27 04:00:00,OANDA:AUDCAD,0.87578,0.87628,0.87474,0.87558,2807.0,Interval.in_2_hour,57384000.0,long,short
5,5,2023-10-27 02:00:00,OANDA:AUDCAD,0.87428,0.8761,0.87427,0.87578,1703.0,Interval.in_2_hour,57376800.0,long,short
6,6,2023-10-27 00:00:00,OANDA:AUDCAD,0.87445,0.87485,0.87402,0.87428,559.0,Interval.in_2_hour,57369600.0,long,short
7,7,2023-10-26 22:00:00,OANDA:AUDCAD,0.87422,0.87462,0.87332,0.87445,2678.0,Interval.in_2_hour,57362400.0,long,short
8,8,2023-10-26 20:00:00,OANDA:AUDCAD,0.87232,0.87476,0.87226,0.87422,4534.0,Interval.in_2_hour,57355200.0,long,short
9,9,2023-10-26 18:00:00,OANDA:AUDCAD,0.8732,0.87335,0.8716,0.87232,6494.0,Interval.in_2_hour,57348000.0,long,short
10,10,2023-10-26 16:00:00,OANDA:AUDCAD,0.87323,0.874085,0.87206,0.8732,12267.0,Interval.in_2_hour,57340800.0,long,short
11,11,2023-10-26 14:00:00,OANDA:AUDCAD,0.87034,0.87336,0.86993,0.87323,9007.0,Interval.in_2_hour,57333600.0,long,short
12,12,2023-10-26 12:00:00,OANDA:AUDCAD,0.87042,0.87123,0.87007,0.87034,5515.0,Interval.in_2_hour,57326400.0,long,short
13,13,2023-10-26 10:00:00,OANDA:AUDCAD,0.8695,0.87099,0.86922,0.87042,6537.0,Interval.in_2_hour,57319200.0,long,short
14,14,2023-10-26 08:00:00,OANDA:AUDCAD,0.86724,0.87039,0.86724,0.8695,6430.0,Interval.in_2_hour,57312000.0,long,short
15,15,2023-10-26 06:00:00,OANDA:AUDCAD,0.86672,0.86745,0.8665,0.86724,2613.0,Interval.in_2_hour,57304800.0,long,short
16,16,2023-10-26 04:00:00,OANDA:AUDCAD,0.86717,0.868765,0.86641,0.86672,5657.0,Interval.in_2_hour,57297600.0,long,short
17,17,2023-10-26 02:00:00,OANDA:AUDCAD,0.86802,0.86925,0.8668,0.86717,3032.0,Interval.in_2_hour,57290400.0,long,short
18,18,2023-10-26 00:00:00,OANDA:AUDCAD,0.87055,0.87095,0.86752,0.86802,3012.0,Interval.in_2_hour,57283200.0,long,short
19,19,2023-10-25 22:00:00,OANDA:AUDCAD,0.87052,0.87068,0.87018,0.87055,2889.0,Interval.in_2_hour,57276000.0,long,short
20,20,2023-10-25 20:00:00,OANDA:AUDCAD,0.87121,0.87135,0.869875,0.87052,6071.0,Interval.in_2_hour,57268800.0,long,short
21,21,2023-10-25 18:00:00,OANDA:AUDCAD,0.87289,0.87342,0.8712,0.87121,6809.0,Interval.in_2_hour,57261600.0,long,short
22,22,2023-10-25 16:00:00,OANDA:AUDCAD,0.87298,0.87384,0.87148,0.87289,11181.0,Interval.in_2_hour,57254400.0,long,short
23,23,2023-10-25 14:00:00,OANDA:AUDCAD,0.8731,0.87332,0.87215,0.87298,5737.0,Interval.in_2_hour,57247200.0,long,short
24,24,2023-10-25 12:00:00,OANDA:AUDCAD,0.87424,0.87438,0.87196,0.8731,5480.0,Interval.in_2_hour,57240000.0,long,short
25,25,2023-10-25 10:00:00,OANDA:AUDCAD,0.87618,0.87634,0.87401,0.87424,6677.0,Interval.in_2_hour,57232800.0,long,short
26,26,2023-10-25 08:00:00,OANDA:AUDCAD,0.87758,0.87771,0.87606,0.87618,4212.0,Interval.in_2_hour,57225600.0,long,short
27,27,2023-10-25 06:00:00,OANDA:AUDCAD,0.87778,0.87794,0.87662,0.87758,2778.0,Interval.in_2_hour,57218400.0,long,short
28,28,2023-10-25 04:00:00,OANDA:AUDCAD,0.87809,0.87884,0.87744,0.87778,4400.0,Interval.in_2_hour,57211200.0,long,short
29,29,2023-10-25 02:00:00,OANDA:AUDCAD,0.87348,0.87818,0.87342,0.87809,4203.0,Interval.in_2_hour,57204000.0,long,short
