,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
0,0,2023-10-27 12:00:00,OANDA:EURCAD,1.45774,1.45791,1.4576,1.45786,532.0,Interval.in_15_minute,57412800.0,long,short
1,1,2023-10-27 11:45:00,OANDA:EURCAD,1.45725,1.45796,1.45696,1.45774,886.0,Interval.in_15_minute,57411900.0,long,short
2,2,2023-10-27 11:30:00,OANDA:EURCAD,1.45768,1.45772,1.45722,1.45725,909.0,Interval.in_15_minute,57411000.0,long,short
3,3,2023-10-27 11:15:00,OANDA:EURCAD,1.45818,1.45834,1.45751,1.45768,1002.0,Interval.in_15_minute,57410100.0,long,short
4,4,2023-10-27 11:00:00,OANDA:EURCAD,1.45836,1.458525,1.45782,1.45818,959.0,Interval.in_15_minute,57409200.0,long,short
5,5,2023-10-27 10:45:00,OANDA:EURCAD,1.45832,1.45848,1.458055,1.45836,801.0,Interval.in_15_minute,57408300.0,long,short
6,6,2023-10-27 10:30:00,OANDA:EURCAD,1.45989,1.45992,1.45832,1.45832,1022.0,Interval.in_15_minute,57407400.0,long,short
7,7,2023-10-27 10:15:00,OANDA:EURCAD,1.45942,1.46007,1.45932,1.45989,855.0,Interval.in_15_minute,57406500.0,long,short
8,8,2023-10-27 10:00:00,OANDA:EURCAD,1.45876,1.459485,1.45856,1.45942,1446.0,Interval.in_15_minute,57405600.0,long,short
9,9,2023-10-27 09:45:00,OANDA:EURCAD,1.45861,1.45911,1.458475,1.45876,1225.0,Interval.in_15_minute,57404700.0,long,short
10,10,2023-10-27 09:30:00,OANDA:EURCAD,1.45855,1.45913,1.45852,1.45861,695.0,Interval.in_15_minute,57403800.0,long,short
11,11,2023-10-27 09:15:00,OANDA:EURCAD,1.45838,1.45866,1.45792,1.45855,1228.0,Interval.in_15_minute,57402900.0,long,short
12,12,2023-10-27 09:00:00,OANDA:EURCAD,1.45952,1.4596,1.45837,1.45838,1224.0,Interval.in_15_minute,57402000.0,long,short
13,13,2023-10-27 08:45:00,OANDA:EURCAD,1.4592,1.459525,1.45914,1.45952,469.0,Interval.in_15_minute,57401100.0,long,short
14,14,2023-10-27 08:30:00,OANDA:EURCAD,1.45902,1.45937,1.45887,1.4592,688.0,Interval.in_15_minute,57400200.0,long,short
15,15,2023-10-27 08:15:00,OANDA:EURCAD,1.45894,1.459185,1.45892,1.45902,702.0,Interval.in_15_minute,57399300.0,long,short
16,16,2023-10-27 08:00:00,OANDA:EURCAD,1.45883,1.45912,1.45882,1.45894,736.0,Interval.in_15_minute,57398400.0,long,short
17,17,2023-10-27 07:45:00,OANDA:EURCAD,1.45889,1.45909,1.45878,1.45883,471.0,Interval.in_15_minute,57397500.0,long,short
18,18,2023-10-27 07:30:00,OANDA:EURCAD,1.459,1.45912,1.45888,1.45889,478.0,Interval.in_15_minute,57396600.0,long,short
19,19,2023-10-27 07:15:00,OANDA:EURCAD,1.45908,1.45919,1.458895,1.459,728.0,Interval.in_15_minute,57395700.0,long,short
20,20,2023-10-27 07:00:00,OANDA:EURCAD,1.45888,1.45915,1.4588,1.45908,526.0,Interval.in_15_minute,57394800.0,long,short
21,21,2023-10-27 06:45:00,OANDA:EURCAD,1.45897,1.45908,1.458855,1.45888,324.0,Interval.in_15_minute,57393900.0,long,short
22,22,2023-10-27 06:30:00,OANDA:EURCAD,1.45891,1.45907,1.45878,1.45897,650.0,Interval.in_15_minute,57393000.0,long,short
23,23,2023-10-27 06:15:00,OANDA:EURCAD,1.45912,1.45914,1.4587,1.45891,726.0,Interval.in_15_minute,57392100.0,long,short
24,24,2023-10-27 06:00:00,OANDA:EURCAD,1.45894,1.45914,1.45884,1.45912,619.0,Interval.in_15_minute,57391200.0,long,short
25,25,2023-10-27 05:45:00,OANDA:EURCAD,1.45889,1.459045,1.45873,1.45894,399.0,Interval.in_15_minute,57390300.0,long,short
26,26,2023-10-27 05:30:00,OANDA:EURCAD,1.45864,1.459,1.45832,1.45889,804.0,Interval.in_15_minute,57389400.0,long,short
27,27,2023-10-27 05:15:00,OANDA:EURCAD,1.45884,1.45886,1.45854,1.45864,868.0,Interval.in_15_minute,57388500.0,long,short
28,28,2023-10-27 05:00:00,OANDA:EURCAD,1.45909,1.45914,1.45883,1.45884,987.0,Interval.in_15_minute,57387600.0,long,short
29,29,2023-10-27 04:45:00,OANDA:EURCAD,1.45976,1.45977,1.45908,1.45909,858.0,Interval.in_15_minute,57386700.0,long,short
30,30,2023-10-27 04:30:00,OANDA:EURCAD,1.45938,1.45982,1.45931,1.45976,979.0,Interval.in_15_minute,57385800.0,long,short
