,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
0,0,2023-10-27 12:00:00,OANDA:EURUSD,1.05618,1.05645,1.05614,1.05635,314.0,Interval.in_1_hour,57412800.0,long,short
1,1,2023-10-27 11:00:00,OANDA:EURUSD,1.05586,1.05625,1.055395,1.05618,3561.0,Interval.in_1_hour,57409200.0,long,short
2,2,2023-10-27 10:00:00,OANDA:EURUSD,1.05562,1.05632,1.05522,1.05586,3703.0,Interval.in_1_hour,57405600.0,long,short
3,3,2023-10-27 09:00:00,OANDA:EURUSD,1.05694,1.05699,1.05547,1.05562,3721.0,Interval.in_1_hour,57402000.0,long,short
4,4,2023-10-27 08:00:00,OANDA:EURUSD,1.05673,1.05701,1.05654,1.05694,1616.0,Interval.in_1_hour,57398400.0,long,short
5,5,2023-10-27 07:00:00,OANDA:EURUSD,1.05644,1.05679,1.05634,1.05673,1154.0,Interval.in_1_hour,57394800.0,long,short
6,6,2023-10-27 06:00:00,OANDA:EURUSD,1.05646,1.05655,1.0561,1.05644,1303.0,Interval.in_1_hour,57391200.0,long,short
7,7,2023-10-27 05:00:00,OANDA:EURUSD,1.05588,1.05668,1.05588,1.05646,1716.0,Interval.in_1_hour,57387600.0,long,short
8,8,2023-10-27 04:00:00,OANDA:EURUSD,1.05579,1.05624,1.05526,1.05588,2651.0,Interval.in_1_hour,57384000.0,long,short
9,9,2023-10-27 03:00:00,OANDA:EURUSD,1.0564,1.05646,1.05558,1.05579,2548.0,Interval.in_1_hour,57380400.0,long,short
10,10,2023-10-27 02:00:00,OANDA:EURUSD,1.05645,1.05658,1.05627,1.0564,2554.0,Interval.in_1_hour,57376800.0,long,short
11,11,2023-10-27 01:00:00,OANDA:EURUSD,1.05616,1.05655,1.05614,1.05645,719.0,Interval.in_1_hour,57373200.0,long,short
12,12,2023-10-27 00:00:00,OANDA:EURUSD,1.05639,1.05642,1.05592,1.05616,421.0,Interval.in_1_hour,57369600.0,long,short
13,13,2023-10-26 23:00:00,OANDA:EURUSD,1.05566,1.05644,1.05552,1.05639,1803.0,Interval.in_1_hour,57366000.0,long,short
14,14,2023-10-26 22:00:00,OANDA:EURUSD,1.0561,1.05633,1.05484,1.05566,3182.0,Interval.in_1_hour,57362400.0,long,short
