,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
0,0,2023-10-27 12:00:00,OANDA:GBPUSD,1.21282,1.2134049999999998,1.212615,1.21322,413.0,Interval.in_2_hour,57412800.0,long,short
1,1,2023-10-27 10:00:00,OANDA:GBPUSD,1.21212,1.21298,1.211175,1.21282,10088.0,Interval.in_2_hour,57405600.0,long,short
2,2,2023-10-27 08:00:00,OANDA:GBPUSD,1.21378,1.21417,1.21146,1.21212,7245.0,Interval.in_2_hour,57398400.0,long,short
3,3,2023-10-27 06:00:00,OANDA:GBPUSD,1.21368,1.21388,1.21302,1.21378,3864.0,Interval.in_2_hour,57391200.0,long,short
4,4,2023-10-27 04:00:00,OANDA:GBPUSD,1.21273,1.21394,1.21225,1.21368,5956.0,Interval.in_2_hour,57384000.0,long,short
5,5,2023-10-27 02:00:00,OANDA:GBPUSD,1.21343,1.21392,1.21269,1.21273,5303.0,Interval.in_2_hour,57376800.0,long,short
6,6,2023-10-27 00:00:00,OANDA:GBPUSD,1.21286,1.21352,1.21264,1.21343,1146.0,Interval.in_2_hour,57369600.0,long,short
7,7,2023-10-26 22:00:00,OANDA:GBPUSD,1.2135,1.21372,1.2118,1.21286,5593.0,Interval.in_2_hour,57362400.0,long,short
8,8,2023-10-26 20:00:00,OANDA:GBPUSD,1.21046,1.21396,1.2104,1.2135,9748.0,Interval.in_2_hour,57355200.0,long,short
9,9,2023-10-26 18:00:00,OANDA:GBPUSD,1.21272,1.21322,1.2098,1.21046,11428.0,Interval.in_2_hour,57348000.0,long,short
10,10,2023-10-26 16:00:00,OANDA:GBPUSD,1.21248,1.21338,1.21039,1.21272,18345.0,Interval.in_2_hour,57340800.0,long,short
11,11,2023-10-26 14:00:00,OANDA:GBPUSD,1.20756,1.21248,1.20753,1.21248,14793.0,Interval.in_2_hour,57333600.0,long,short
12,12,2023-10-26 12:00:00,OANDA:GBPUSD,1.20794,1.20948,1.20744,1.20756,7204.0,Interval.in_2_hour,57326400.0,long,short
13,13,2023-10-26 10:00:00,OANDA:GBPUSD,1.20763,1.20962,1.20751,1.20794,9302.0,Interval.in_2_hour,57319200.0,long,short
14,14,2023-10-26 08:00:00,OANDA:GBPUSD,1.208,1.20881,1.20695,1.20763,8134.0,Interval.in_2_hour,57312000.0,long,short
15,15,2023-10-26 06:00:00,OANDA:GBPUSD,1.20828,1.20845,1.20768,1.208,4834.0,Interval.in_2_hour,57304800.0,long,short
