,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20
0,2023-10-27 12:00:00,OANDA:AUDJPY,95.306,95.328,95.29,95.3125,566.0,Interval.in_15_minute,57412800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
1,2023-10-27 11:45:00,OANDA:AUDJPY,95.329,95.332,95.296,95.306,1302.0,Interval.in_15_minute,57411900.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2,2023-10-27 11:30:00,OANDA:AUDJPY,95.296,95.342,95.292,95.329,1555.0,Interval.in_15_minute,57411000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3,2023-10-27 11:15:00,OANDA:AUDJPY,95.265,95.338,95.261,95.296,1690.0,Interval.in_15_minute,57410100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
4,2023-10-27 11:00:00,OANDA:AUDJPY,95.242,95.2965,95.228,95.265,1414.0,Interval.in_15_minute,57409200.0,long,long,long,short,short,long,long,long,short,short,short,long,long,long,long,long,long,long
5,2023-10-27 10:45:00,OANDA:AUDJPY,95.21,95.256,95.177,95.242,1138.0,Interval.in_15_minute,57408300.0,long,long,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long
6,2023-10-27 10:30:00,OANDA:AUDJPY,95.154,95.214,95.108,95.21,1325.0,Interval.in_15_minute,57407400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
7,2023-10-27 10:15:00,OANDA:AUDJPY,95.128,95.1645,95.112,95.154,1845.0,Interval.in_15_minute,57406500.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
8,2023-10-27 10:00:00,OANDA:AUDJPY,95.156,95.159,95.092,95.128,1881.0,Interval.in_15_minute,57405600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
9,2023-10-27 09:45:00,OANDA:AUDJPY,95.239,95.248,95.156,95.156,1591.0,Interval.in_15_minute,57404700.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
10,2023-10-27 09:30:00,OANDA:AUDJPY,95.274,95.293,95.222,95.239,1098.0,Interval.in_15_minute,57403800.0,long,long,short,short,short,long,long,long,long,long,long,long,long,long,long,short,long,long
11,2023-10-27 09:15:00,OANDA:AUDJPY,95.268,95.29,95.244,95.274,1270.0,Interval.in_15_minute,57402900.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
12,2023-10-27 09:00:00,OANDA:AUDJPY,95.236,95.324,95.234,95.268,1369.0,Interval.in_15_minute,57402000.0,short,short,short,long,long,long,long,long,long,long,long,long,short,short,long,long,long,long
13,2023-10-27 08:45:00,OANDA:AUDJPY,95.218,95.2545,95.1915,95.236,817.0,Interval.in_15_minute,57401100.0,short,short,short,long,long,long,long,long,long,long,long,short,short,long,long,long,long,short
14,2023-10-27 08:30:00,OANDA:AUDJPY,95.258,95.284,95.19,95.218,804.0,Interval.in_15_minute,57400200.0,short,short,long,long,long,long,long,long,long,long,short,short,long,long,long,long,short,short
15,2023-10-27 08:15:00,OANDA:AUDJPY,95.256,95.275,95.232,95.258,711.0,Interval.in_15_minute,57399300.0,long,long,long,long,long,long,long,long,long,long,short,long,long,long,long,long,long,long
16,2023-10-27 08:00:00,OANDA:AUDJPY,95.269,95.298,95.23,95.256,880.0,Interval.in_15_minute,57398400.0,long,long,long,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long
