,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20
0,2023-10-27 12:06:00,OANDA:EURCAD,1.45786,1.45787,1.45779,1.45786,73.0,Interval.in_1_minute,57413160.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
1,2023-10-27 12:05:00,OANDA:EURCAD,1.45788,1.4579,1.45778,1.45786,66.0,Interval.in_1_minute,57413100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2,2023-10-27 12:04:00,OANDA:EURCAD,1.45764,1.45791,1.4576,1.45788,109.0,Interval.in_1_minute,57413040.0,long,long,long,neutral,short,short,short,long,long,long,long,long,long,long,long,long,long,long
3,2023-10-27 12:03:00,OANDA:EURCAD,1.45775,1.457765,1.45764,1.45764,67.0,Interval.in_1_minute,57412980.0,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long
4,2023-10-27 12:02:00,OANDA:EURCAD,1.45776,1.45781,1.45771,1.45775,65.0,Interval.in_1_minute,57412920.0,long,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long
5,2023-10-27 12:01:00,OANDA:EURCAD,1.4577,1.45776,1.45762,1.45776,75.0,Interval.in_1_minute,57412860.0,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long
6,2023-10-27 12:00:00,OANDA:EURCAD,1.45774,1.45777,1.45765,1.4577,77.0,Interval.in_1_minute,57412800.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
7,2023-10-27 11:59:00,OANDA:EURCAD,1.45772,1.45774,1.45767,1.45774,42.0,Interval.in_1_minute,57412740.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
8,2023-10-27 11:58:00,OANDA:EURCAD,1.4578,1.45782,1.4577,1.45772,77.0,Interval.in_1_minute,57412680.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
9,2023-10-27 11:57:00,OANDA:EURCAD,1.45777,1.45796,1.45774,1.4578,55.0,Interval.in_1_minute,57412620.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
10,2023-10-27 11:56:00,OANDA:EURCAD,1.45788,1.4579,1.45773,1.45777,67.0,Interval.in_1_minute,57412560.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
11,2023-10-27 11:55:00,OANDA:EURCAD,1.45778,1.45791,1.45772,1.45788,40.0,Interval.in_1_minute,57412500.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
12,2023-10-27 11:54:00,OANDA:EURCAD,1.45754,1.45779,1.45752,1.45778,71.0,Interval.in_1_minute,57412440.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
13,2023-10-27 11:53:00,OANDA:EURCAD,1.4574,1.45757,1.4573,1.45754,96.0,Interval.in_1_minute,57412380.0,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short
14,2023-10-27 11:52:00,OANDA:EURCAD,1.45745,1.45747,1.457335,1.4574,59.0,Interval.in_1_minute,57412320.0,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
15,2023-10-27 11:51:00,OANDA:EURCAD,1.45752,1.45752,1.45743,1.45745,43.0,Interval.in_1_minute,57412260.0,long,long,long,long,long,long,long,long,long,short,short,short,short,short,long,short,short,short
16,2023-10-27 11:50:00,OANDA:EURCAD,1.45732,1.4576,1.45732,1.45752,61.0,Interval.in_1_minute,57412200.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short
17,2023-10-27 11:49:00,OANDA:EURCAD,1.45742,1.45746,1.45732,1.45732,28.0,Interval.in_1_minute,57412140.0,long,long,long,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short
18,2023-10-27 11:48:00,OANDA:EURCAD,1.45737,1.45748,1.4573,1.45742,37.0,Interval.in_1_minute,57412080.0,long,long,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
19,2023-10-27 11:47:00,OANDA:EURCAD,1.45728,1.457385,1.45728,1.45737,21.0,Interval.in_1_minute,57412020.0,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
20,2023-10-27 11:46:00,OANDA:EURCAD,1.45706,1.457285,1.45702,1.45728,80.0,Interval.in_1_minute,57411960.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
21,2023-10-27 11:45:00,OANDA:EURCAD,1.45725,1.45726,1.45696,1.45706,109.0,Interval.in_1_minute,57411900.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
22,2023-10-27 11:44:00,OANDA:EURCAD,1.45748,1.457505,1.45724,1.45725,57.0,Interval.in_1_minute,57411840.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
23,2023-10-27 11:43:00,OANDA:EURCAD,1.45732,1.45752,1.45732,1.45748,62.0,Interval.in_1_minute,57411780.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
24,2023-10-27 11:42:00,OANDA:EURCAD,1.45724,1.45734,1.45724,1.45732,39.0,Interval.in_1_minute,57411720.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
25,2023-10-27 11:41:00,OANDA:EURCAD,1.45738,1.45742,1.457215,1.45724,47.0,Interval.in_1_minute,57411660.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
26,2023-10-27 11:40:00,OANDA:EURCAD,1.4575,1.45752,1.45737,1.45738,95.0,Interval.in_1_minute,57411600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
27,2023-10-27 11:39:00,OANDA:EURCAD,1.45765,1.45765,1.457495,1.4575,99.0,Interval.in_1_minute,57411540.0,short,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
28,2023-10-27 11:38:00,OANDA:EURCAD,1.45762,1.45768,1.45758,1.45765,42.0,Interval.in_1_minute,57411480.0,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
29,2023-10-27 11:37:00,OANDA:EURCAD,1.45756,1.457625,1.45748,1.45762,54.0,Interval.in_1_minute,57411420.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
30,2023-10-27 11:36:00,OANDA:EURCAD,1.4576,1.45761,1.45743,1.45756,91.0,Interval.in_1_minute,57411360.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
31,2023-10-27 11:35:00,OANDA:EURCAD,1.45748,1.457665,1.45748,1.4576,67.0,Interval.in_1_minute,57411300.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
32,2023-10-27 11:34:00,OANDA:EURCAD,1.45748,1.45753,1.45742,1.45748,51.0,Interval.in_1_minute,57411240.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
33,2023-10-27 11:33:00,OANDA:EURCAD,1.45754,1.45754,1.4574,1.45748,36.0,Interval.in_1_minute,57411180.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
34,2023-10-27 11:32:00,OANDA:EURCAD,1.45764,1.457685,1.45749,1.45754,52.0,Interval.in_1_minute,57411120.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
35,2023-10-27 11:31:00,OANDA:EURCAD,1.45762,1.457705,1.45756,1.45764,55.0,Interval.in_1_minute,57411060.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
36,2023-10-27 11:30:00,OANDA:EURCAD,1.45768,1.457725,1.45762,1.45762,62.0,Interval.in_1_minute,57411000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
37,2023-10-27 11:29:00,OANDA:EURCAD,1.4576,1.45777,1.45751,1.45768,108.0,Interval.in_1_minute,57410940.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
38,2023-10-27 11:28:00,OANDA:EURCAD,1.45768,1.45781,1.4576,1.4576,80.0,Interval.in_1_minute,57410880.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
39,2023-10-27 11:27:00,OANDA:EURCAD,1.45766,1.45778,1.45764,1.45768,94.0,Interval.in_1_minute,57410820.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
40,2023-10-27 11:26:00,OANDA:EURCAD,1.45786,1.45787,1.45766,1.45766,73.0,Interval.in_1_minute,57410760.0,short,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
