,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20
0,2023-10-27 12:05:00,OANDA:EURJPY,158.53,158.53050000000002,158.5075,158.5075,111.0,Interval.in_5_minute,57413100.0,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,short,short
1,2023-10-27 12:00:00,OANDA:EURJPY,158.511,158.531,158.502,158.53,552.0,Interval.in_5_minute,57412800.0,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,short,short,short
2,2023-10-27 11:55:00,OANDA:EURJPY,158.528,158.542,158.502,158.511,443.0,Interval.in_5_minute,57412500.0,long,long,long,long,long,long,long,long,short,short,short,long,long,long,short,short,short,short
3,2023-10-27 11:50:00,OANDA:EURJPY,158.488,158.528,158.484,158.528,510.0,Interval.in_5_minute,57412200.0,short,long,long,short,neutral,long,long,short,short,short,short,long,long,short,short,short,short,short
4,2023-10-27 11:45:00,OANDA:EURJPY,158.5,158.51,158.466,158.488,447.0,Interval.in_5_minute,57411900.0,long,long,short,short,short,short,short,short,short,short,long,long,short,short,short,short,short,short
5,2023-10-27 11:40:00,OANDA:EURJPY,158.506,158.522,158.492,158.5,457.0,Interval.in_5_minute,57411600.0,long,short,short,long,short,short,short,short,short,long,long,short,short,short,short,short,short,short
6,2023-10-27 11:35:00,OANDA:EURJPY,158.522,158.522,158.484,158.506,404.0,Interval.in_5_minute,57411300.0,long,long,long,long,short,short,short,long,long,long,short,short,short,short,short,short,short,short
7,2023-10-27 11:30:00,OANDA:EURJPY,158.464,158.527,158.448,158.522,522.0,Interval.in_5_minute,57411000.0,short,short,short,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short
8,2023-10-27 11:25:00,OANDA:EURJPY,158.512,158.514,158.447,158.464,554.0,Interval.in_5_minute,57410700.0,short,short,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short,short
9,2023-10-27 11:20:00,OANDA:EURJPY,158.51,158.544,158.5,158.512,516.0,Interval.in_5_minute,57410400.0,long,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short
10,2023-10-27 11:15:00,OANDA:EURJPY,158.506,158.5325,158.4975,158.51,495.0,Interval.in_5_minute,57410100.0,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short
11,2023-10-27 11:10:00,OANDA:EURJPY,158.496,158.523,158.46,158.506,602.0,Interval.in_5_minute,57409800.0,short,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
12,2023-10-27 11:05:00,OANDA:EURJPY,158.513,158.519,158.476,158.496,700.0,Interval.in_5_minute,57409500.0,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
13,2023-10-27 11:00:00,OANDA:EURJPY,158.539,158.547,158.506,158.513,853.0,Interval.in_5_minute,57409200.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
14,2023-10-27 10:55:00,OANDA:EURJPY,158.56,158.57,158.538,158.539,623.0,Interval.in_5_minute,57408900.0,long,long,long,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short
15,2023-10-27 10:50:00,OANDA:EURJPY,158.534,158.5605,158.524,158.56,646.0,Interval.in_5_minute,57408600.0,long,long,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short,short
16,2023-10-27 10:45:00,OANDA:EURJPY,158.492,158.549,158.462,158.534,856.0,Interval.in_5_minute,57408300.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
17,2023-10-27 10:40:00,OANDA:EURJPY,158.468,158.51,158.451,158.492,632.0,Interval.in_5_minute,57408000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
18,2023-10-27 10:35:00,OANDA:EURJPY,158.488,158.5,158.452,158.468,521.0,Interval.in_5_minute,57407700.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
19,2023-10-27 10:30:00,OANDA:EURJPY,158.59,158.59,158.477,158.488,723.0,Interval.in_5_minute,57407400.0,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
20,2023-10-27 10:25:00,OANDA:EURJPY,158.622,158.635,158.576,158.59,849.0,Interval.in_5_minute,57407100.0,long,long,long,long,short,short,short,long,long,long,long,long,long,long,short,short,short,short
21,2023-10-27 10:20:00,OANDA:EURJPY,158.603,158.627,158.5815,158.622,681.0,Interval.in_5_minute,57406800.0,long,long,long,short,short,long,long,long,long,long,long,long,long,long,short,short,short,short
22,2023-10-27 10:15:00,OANDA:EURJPY,158.58,158.62,158.568,158.603,575.0,Interval.in_5_minute,57406500.0,long,short,short,short,short,short,long,long,long,long,long,long,short,short,short,short,short,short
23,2023-10-27 10:10:00,OANDA:EURJPY,158.54,158.598,158.532,158.58,673.0,Interval.in_5_minute,57406200.0,short,short,short,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short
24,2023-10-27 10:05:00,OANDA:EURJPY,158.522,158.5725,158.5035,158.54,697.0,Interval.in_5_minute,57405900.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
25,2023-10-27 10:00:00,OANDA:EURJPY,158.544,158.577,158.506,158.522,857.0,Interval.in_5_minute,57405600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
26,2023-10-27 09:55:00,OANDA:EURJPY,158.643,158.643,158.534,158.544,735.0,Interval.in_5_minute,57405300.0,short,short,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
27,2023-10-27 09:50:00,OANDA:EURJPY,158.626,158.6445,158.6035,158.643,414.0,Interval.in_5_minute,57405000.0,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
28,2023-10-27 09:45:00,OANDA:EURJPY,158.6,158.628,158.577,158.626,718.0,Interval.in_5_minute,57404700.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short
29,2023-10-27 09:40:00,OANDA:EURJPY,158.616,158.664,158.598,158.6,536.0,Interval.in_5_minute,57404400.0,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
30,2023-10-27 09:35:00,OANDA:EURJPY,158.59,158.624,158.59,158.616,342.0,Interval.in_5_minute,57404100.0,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
31,2023-10-27 09:30:00,OANDA:EURJPY,158.58,158.6,158.576,158.59,231.0,Interval.in_5_minute,57403800.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
32,2023-10-27 09:25:00,OANDA:EURJPY,158.58,158.586,158.552,158.58,487.0,Interval.in_5_minute,57403500.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
33,2023-10-27 09:20:00,OANDA:EURJPY,158.556,158.596,158.53,158.58,701.0,Interval.in_5_minute,57403200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
34,2023-10-27 09:15:00,OANDA:EURJPY,158.563,158.593,158.552,158.556,711.0,Interval.in_5_minute,57402900.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
35,2023-10-27 09:10:00,OANDA:EURJPY,158.562,158.602,158.5455,158.563,643.0,Interval.in_5_minute,57402600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
36,2023-10-27 09:05:00,OANDA:EURJPY,158.576,158.585,158.55,158.562,555.0,Interval.in_5_minute,57402300.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
37,2023-10-27 09:00:00,OANDA:EURJPY,158.648,158.658,158.575,158.576,608.0,Interval.in_5_minute,57402000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
38,2023-10-27 08:55:00,OANDA:EURJPY,158.64,158.6525,158.618,158.648,443.0,Interval.in_5_minute,57401700.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
39,2023-10-27 08:50:00,OANDA:EURJPY,158.686,158.69,158.636,158.64,345.0,Interval.in_5_minute,57401400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
40,2023-10-27 08:45:00,OANDA:EURJPY,158.686,158.687,158.648,158.686,329.0,Interval.in_5_minute,57401100.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
