,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20
0,2023-10-27 12:06:00,OANDA:GBPAUD,1.9097,1.9103,1.9097,1.9103,117.0,Interval.in_3_minute,57413160.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
1,2023-10-27 12:03:00,OANDA:GBPAUD,1.90996,1.91008,1.9097,1.9097,174.0,Interval.in_3_minute,57412980.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2,2023-10-27 12:00:00,OANDA:GBPAUD,1.90982,1.9101,1.90956,1.90996,262.0,Interval.in_3_minute,57412800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short
3,2023-10-27 11:57:00,OANDA:GBPAUD,1.9099,1.91011,1.909675,1.90982,383.0,Interval.in_3_minute,57412620.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short
4,2023-10-27 11:54:00,OANDA:GBPAUD,1.9093,1.91005,1.909255,1.9099,299.0,Interval.in_3_minute,57412440.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short
5,2023-10-27 11:51:00,OANDA:GBPAUD,1.9093,1.90949,1.90915,1.9093,431.0,Interval.in_3_minute,57412260.0,long,long,long,long,long,long,long,long,long,long,short,long,long,short,short,short,short,short
6,2023-10-27 11:48:00,OANDA:GBPAUD,1.90876,1.90941,1.90875,1.9093,476.0,Interval.in_3_minute,57412080.0,long,long,long,long,long,long,long,long,short,short,short,long,short,short,short,short,short,short
7,2023-10-27 11:45:00,OANDA:GBPAUD,1.90859,1.909205,1.9084,1.90876,441.0,Interval.in_3_minute,57411900.0,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
8,2023-10-27 11:42:00,OANDA:GBPAUD,1.90832,1.90867,1.90808,1.90859,299.0,Interval.in_3_minute,57411720.0,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
9,2023-10-27 11:39:00,OANDA:GBPAUD,1.9085,1.90852,1.90807,1.90832,396.0,Interval.in_3_minute,57411540.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
10,2023-10-27 11:36:00,OANDA:GBPAUD,1.90833,1.90853,1.90822,1.9085,378.0,Interval.in_3_minute,57411360.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
11,2023-10-27 11:33:00,OANDA:GBPAUD,1.90818,1.90852,1.90812,1.90833,363.0,Interval.in_3_minute,57411180.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
12,2023-10-27 11:30:00,OANDA:GBPAUD,1.9079,1.90818,1.90738,1.90818,255.0,Interval.in_3_minute,57411000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
13,2023-10-27 11:27:00,OANDA:GBPAUD,1.90826,1.90855,1.9078,1.9079,253.0,Interval.in_3_minute,57410820.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
14,2023-10-27 11:24:00,OANDA:GBPAUD,1.90849,1.90887,1.90822,1.90826,271.0,Interval.in_3_minute,57410640.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
15,2023-10-27 11:21:00,OANDA:GBPAUD,1.90891,1.90896,1.90826,1.90849,281.0,Interval.in_3_minute,57410460.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
16,2023-10-27 11:18:00,OANDA:GBPAUD,1.9089,1.90898,1.908595,1.90891,272.0,Interval.in_3_minute,57410280.0,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
17,2023-10-27 11:15:00,OANDA:GBPAUD,1.90934,1.90973,1.90856,1.9089,440.0,Interval.in_3_minute,57410100.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
18,2023-10-27 11:12:00,OANDA:GBPAUD,1.90968,1.90984,1.90914,1.90934,475.0,Interval.in_3_minute,57409920.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
19,2023-10-27 11:09:00,OANDA:GBPAUD,1.90864,1.91004,1.9086,1.90968,333.0,Interval.in_3_minute,57409740.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
20,2023-10-27 11:06:00,OANDA:GBPAUD,1.90912,1.90916,1.9086,1.90864,425.0,Interval.in_3_minute,57409560.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
21,2023-10-27 11:03:00,OANDA:GBPAUD,1.90997,1.91,1.909055,1.90912,387.0,Interval.in_3_minute,57409380.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
22,2023-10-27 11:00:00,OANDA:GBPAUD,1.9107,1.91081,1.90994,1.90997,279.0,Interval.in_3_minute,57409200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
23,2023-10-27 10:57:00,OANDA:GBPAUD,1.91082,1.91098,1.91048,1.9107,181.0,Interval.in_3_minute,57409020.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
24,2023-10-27 10:54:00,OANDA:GBPAUD,1.91096,1.911305,1.9107,1.91082,120.0,Interval.in_3_minute,57408840.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
25,2023-10-27 10:51:00,OANDA:GBPAUD,1.91088,1.911125,1.91074,1.91096,262.0,Interval.in_3_minute,57408660.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
26,2023-10-27 10:48:00,OANDA:GBPAUD,1.91146,1.91156,1.91086,1.91088,308.0,Interval.in_3_minute,57408480.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
27,2023-10-27 10:45:00,OANDA:GBPAUD,1.91146,1.9116,1.91116,1.91146,344.0,Interval.in_3_minute,57408300.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
28,2023-10-27 10:42:00,OANDA:GBPAUD,1.91214,1.91234,1.91143,1.91146,295.0,Interval.in_3_minute,57408120.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long
29,2023-10-27 10:39:00,OANDA:GBPAUD,1.9127,1.91283,1.9121,1.91214,415.0,Interval.in_3_minute,57407940.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long
30,2023-10-27 10:36:00,OANDA:GBPAUD,1.91256,1.91313,1.9125,1.9127,488.0,Interval.in_3_minute,57407760.0,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long
31,2023-10-27 10:33:00,OANDA:GBPAUD,1.9129,1.91305,1.91244,1.91256,664.0,Interval.in_3_minute,57407580.0,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long
32,2023-10-27 10:30:00,OANDA:GBPAUD,1.91303,1.91338,1.91236,1.9129,523.0,Interval.in_3_minute,57407400.0,short,short,short,long,short,short,short,short,short,long,long,long,long,long,long,long,long,long
33,2023-10-27 10:27:00,OANDA:GBPAUD,1.91328,1.91335,1.91294,1.91303,580.0,Interval.in_3_minute,57407220.0,short,long,long,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long
34,2023-10-27 10:24:00,OANDA:GBPAUD,1.91349,1.913625,1.913215,1.91328,621.0,Interval.in_3_minute,57407040.0,long,long,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long
35,2023-10-27 10:21:00,OANDA:GBPAUD,1.91382,1.91396,1.91339,1.91349,573.0,Interval.in_3_minute,57406860.0,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long
36,2023-10-27 10:18:00,OANDA:GBPAUD,1.91338,1.914025,1.91338,1.91382,408.0,Interval.in_3_minute,57406680.0,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
37,2023-10-27 10:15:00,OANDA:GBPAUD,1.91284,1.913385,1.91283,1.91338,427.0,Interval.in_3_minute,57406500.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
38,2023-10-27 10:12:00,OANDA:GBPAUD,1.91306,1.91318,1.91256,1.91284,444.0,Interval.in_3_minute,57406320.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
39,2023-10-27 10:09:00,OANDA:GBPAUD,1.91342,1.91363,1.91292,1.91306,396.0,Interval.in_3_minute,57406140.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
40,2023-10-27 10:06:00,OANDA:GBPAUD,1.91388,1.91395,1.913355,1.91342,359.0,Interval.in_3_minute,57405960.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
41,2023-10-27 10:03:00,OANDA:GBPAUD,1.9138,1.91406,1.91372,1.91388,382.0,Interval.in_3_minute,57405780.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
42,2023-10-27 10:00:00,OANDA:GBPAUD,1.91314,1.91426,1.91281,1.9138,606.0,Interval.in_3_minute,57405600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
43,2023-10-27 09:57:00,OANDA:GBPAUD,1.91306,1.91356,1.91297,1.91314,580.0,Interval.in_3_minute,57405420.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
44,2023-10-27 09:54:00,OANDA:GBPAUD,1.91268,1.91308,1.91238,1.91306,347.0,Interval.in_3_minute,57405240.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short
45,2023-10-27 09:51:00,OANDA:GBPAUD,1.9126,1.9128,1.9123,1.91268,320.0,Interval.in_3_minute,57405060.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short
46,2023-10-27 09:48:00,OANDA:GBPAUD,1.91178,1.91304,1.91178,1.9126,421.0,Interval.in_3_minute,57404880.0,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short
47,2023-10-27 09:45:00,OANDA:GBPAUD,1.91129,1.912,1.91112,1.91178,299.0,Interval.in_3_minute,57404700.0,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short
48,2023-10-27 09:42:00,OANDA:GBPAUD,1.91159,1.91159,1.91112,1.91129,322.0,Interval.in_3_minute,57404520.0,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short
49,2023-10-27 09:39:00,OANDA:GBPAUD,1.91157,1.912085,1.91139,1.91159,246.0,Interval.in_3_minute,57404340.0,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short
50,2023-10-27 09:36:00,OANDA:GBPAUD,1.91091,1.9116,1.91086,1.91157,259.0,Interval.in_3_minute,57404160.0,short,short,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
51,2023-10-27 09:33:00,OANDA:GBPAUD,1.9112,1.91142,1.91091,1.91091,294.0,Interval.in_3_minute,57403980.0,short,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short
52,2023-10-27 09:30:00,OANDA:GBPAUD,1.9112,1.9116,1.91108,1.9112,311.0,Interval.in_3_minute,57403800.0,short,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short
53,2023-10-27 09:27:00,OANDA:GBPAUD,1.9114,1.911605,1.91106,1.9112,328.0,Interval.in_3_minute,57403620.0,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
