,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,volume2,volume3,volume4
0,2023-10-27 12:00:00,OANDA:EURCAD,1.45774,1.45791,1.4576,1.45789,532.0,Interval.in_1_hour,57412800.0,neutral,neutral,neutral
1,2023-10-27 11:00:00,OANDA:EURCAD,1.45836,1.4585249999999998,1.45696,1.45774,3756.0,Interval.in_1_hour,57409200.0,short,short,neutral
2,2023-10-27 10:00:00,OANDA:EURCAD,1.45876,1.46007,1.458055,1.45836,4124.0,Interval.in_1_hour,57405600.0,short,neutral,neutral
3,2023-10-27 09:00:00,OANDA:EURCAD,1.45952,1.4596,1.45792,1.45876,4372.0,Interval.in_1_hour,57402000.0,neutral,neutral,neutral
4,2023-10-27 08:00:00,OANDA:EURCAD,1.45883,1.459525,1.45882,1.45952,2595.0,Interval.in_1_hour,57398400.0,neutral,neutral,neutral
5,2023-10-27 07:00:00,OANDA:EURCAD,1.45888,1.45919,1.45878,1.45883,2203.0,Interval.in_1_hour,57394800.0,short,short,short
6,2023-10-27 06:00:00,OANDA:EURCAD,1.45894,1.45914,1.4587,1.45888,2319.0,Interval.in_1_hour,57391200.0,short,short,neutral
7,2023-10-27 05:00:00,OANDA:EURCAD,1.45909,1.45914,1.45832,1.45894,3058.0,Interval.in_1_hour,57387600.0,short,neutral,neutral
8,2023-10-27 04:00:00,OANDA:EURCAD,1.45962,1.45982,1.45908,1.45909,3188.0,Interval.in_1_hour,57384000.0,neutral,neutral,neutral
9,2023-10-27 03:00:00,OANDA:EURCAD,1.45958,1.45982,1.45918,1.45962,2362.0,Interval.in_1_hour,57380400.0,neutral,neutral,neutral
10,2023-10-27 02:00:00,OANDA:EURCAD,1.46012,1.46022,1.45953,1.45958,751.0,Interval.in_1_hour,57376800.0,short,short,neutral
11,2023-10-27 01:00:00,OANDA:EURCAD,1.46032,1.46117,1.4601,1.46012,602.0,Interval.in_1_hour,57373200.0,short,neutral,neutral
12,2023-10-27 00:00:00,OANDA:EURCAD,1.46112,1.46112,1.45995,1.46032,195.0,Interval.in_1_hour,57369600.0,neutral,neutral,neutral
13,2023-10-26 23:00:00,OANDA:EURCAD,1.45998,1.461205,1.4596,1.461115,2197.0,Interval.in_1_hour,57366000.0,long,long,long
14,2023-10-26 22:00:00,OANDA:EURCAD,1.45895,1.46007,1.45854,1.45998,4484.0,Interval.in_1_hour,57362400.0,long,long,long
15,2023-10-26 21:00:00,OANDA:EURCAD,1.45852,1.45994,1.45807,1.45895,4716.0,Interval.in_1_hour,57358800.0,long,long,long
16,2023-10-26 20:00:00,OANDA:EURCAD,1.45714,1.45933,1.45698,1.45852,5678.0,Interval.in_1_hour,57355200.0,long,long,neutral
17,2023-10-26 19:00:00,OANDA:EURCAD,1.45673,1.45835,1.45668,1.45714,3561.0,Interval.in_1_hour,57351600.0,long,neutral,neutral
18,2023-10-26 18:00:00,OANDA:EURCAD,1.4564,1.457145,1.45547,1.45673,7212.0,Interval.in_1_hour,57348000.0,neutral,neutral,neutral
19,2023-10-26 17:00:00,OANDA:EURCAD,1.45814,1.45872,1.45581,1.4564,8991.0,Interval.in_1_hour,57344400.0,short,neutral,neutral
20,2023-10-26 16:00:00,OANDA:EURCAD,1.45858,1.45883,1.45683,1.45814,9433.0,Interval.in_1_hour,57340800.0,neutral,neutral,neutral
21,2023-10-26 15:00:00,OANDA:EURCAD,1.45574,1.4586,1.4546,1.45858,10494.0,Interval.in_1_hour,57337200.0,long,long,neutral
22,2023-10-26 14:00:00,OANDA:EURCAD,1.4551,1.45574,1.45475,1.45574,4180.0,Interval.in_1_hour,57333600.0,long,neutral,neutral
23,2023-10-26 13:00:00,OANDA:EURCAD,1.45468,1.45557,1.4546,1.4551,3934.0,Interval.in_1_hour,57330000.0,neutral,neutral,neutral
24,2023-10-26 12:00:00,OANDA:EURCAD,1.45482,1.45518,1.45391,1.45468,4678.0,Interval.in_1_hour,57326400.0,short,short,short
25,2023-10-26 11:00:00,OANDA:EURCAD,1.45593,1.4564,1.45464,1.45482,4606.0,Interval.in_1_hour,57322800.0,short,short,short
26,2023-10-26 10:00:00,OANDA:EURCAD,1.45614,1.45685,1.45516,1.45593,5867.0,Interval.in_1_hour,57319200.0,short,short,neutral
27,2023-10-26 09:00:00,OANDA:EURCAD,1.45631,1.45676,1.45502,1.45614,5777.0,Interval.in_1_hour,57315600.0,short,neutral,neutral
28,2023-10-26 08:00:00,OANDA:EURCAD,1.45696,1.45702,1.456135,1.45631,3692.0,Interval.in_1_hour,57312000.0,neutral,neutral,neutral
29,2023-10-26 07:00:00,OANDA:EURCAD,1.45678,1.45722,1.45658,1.45696,1730.0,Interval.in_1_hour,57308400.0,long,neutral,neutral
30,2023-10-26 06:00:00,OANDA:EURCAD,1.45654,1.4568,1.45626,1.45678,2741.0,Interval.in_1_hour,57304800.0,neutral,neutral,neutral
