,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,volume2,volume3,volume4
0,2023-10-27 12:05:00,OANDA:GBPAUD,1.90988,1.9103,1.9097,1.9103,163.0,Interval.in_5_minute,57413100.0,long,long,long
1,2023-10-27 12:00:00,OANDA:GBPAUD,1.90982,1.9101,1.90956,1.90988,390.0,Interval.in_5_minute,57412800.0,long,long,long
2,2023-10-27 11:55:00,OANDA:GBPAUD,1.90936,1.91011,1.90936,1.90982,602.0,Interval.in_5_minute,57412500.0,long,long,long
3,2023-10-27 11:50:00,OANDA:GBPAUD,1.90924,1.90949,1.90915,1.90936,634.0,Interval.in_5_minute,57412200.0,long,long,neutral
4,2023-10-27 11:45:00,OANDA:GBPAUD,1.90859,1.90934,1.9084,1.90924,794.0,Interval.in_5_minute,57411900.0,long,neutral,neutral
5,2023-10-27 11:40:00,OANDA:GBPAUD,1.90817,1.90867,1.90807,1.90859,547.0,Interval.in_5_minute,57411600.0,neutral,neutral,neutral
6,2023-10-27 11:35:00,OANDA:GBPAUD,1.9082,1.90853,1.90812,1.90817,657.0,Interval.in_5_minute,57411300.0,neutral,neutral,neutral
7,2023-10-27 11:30:00,OANDA:GBPAUD,1.9079,1.90838,1.90738,1.9082,487.0,Interval.in_5_minute,57411000.0,neutral,neutral,neutral
8,2023-10-27 11:25:00,OANDA:GBPAUD,1.90873,1.90887,1.9078,1.9079,404.0,Interval.in_5_minute,57410700.0,short,short,neutral
9,2023-10-27 11:20:00,OANDA:GBPAUD,1.90874,1.90896,1.90826,1.90873,507.0,Interval.in_5_minute,57410400.0,short,neutral,neutral
10,2023-10-27 11:15:00,OANDA:GBPAUD,1.90934,1.90973,1.90856,1.90874,606.0,Interval.in_5_minute,57410100.0,neutral,neutral,neutral
11,2023-10-27 11:10:00,OANDA:GBPAUD,1.90902,1.91004,1.909,1.90934,710.0,Interval.in_5_minute,57409800.0,neutral,neutral,neutral
12,2023-10-27 11:05:00,OANDA:GBPAUD,1.90956,1.90956,1.9086,1.90902,674.0,Interval.in_5_minute,57409500.0,short,short,neutral
13,2023-10-27 11:00:00,OANDA:GBPAUD,1.9107,1.91081,1.90946,1.90956,515.0,Interval.in_5_minute,57409200.0,short,neutral,neutral
14,2023-10-27 10:55:00,OANDA:GBPAUD,1.91124,1.91124,1.91048,1.9107,270.0,Interval.in_5_minute,57408900.0,neutral,neutral,neutral
15,2023-10-27 10:50:00,OANDA:GBPAUD,1.91122,1.911305,1.91074,1.91124,389.0,Interval.in_5_minute,57408600.0,neutral,neutral,neutral
16,2023-10-27 10:45:00,OANDA:GBPAUD,1.91146,1.9116,1.910935,1.91122,556.0,Interval.in_5_minute,57408300.0,short,short,short
17,2023-10-27 10:40:00,OANDA:GBPAUD,1.91252,1.91256,1.91143,1.91146,566.0,Interval.in_5_minute,57408000.0,short,short,short
18,2023-10-27 10:35:00,OANDA:GBPAUD,1.91279,1.91313,1.91244,1.91252,817.0,Interval.in_5_minute,57407700.0,short,short,short
19,2023-10-27 10:30:00,OANDA:GBPAUD,1.91303,1.91338,1.91236,1.91279,1002.0,Interval.in_5_minute,57407400.0,short,short,neutral
20,2023-10-27 10:25:00,OANDA:GBPAUD,1.91346,1.91362,1.91294,1.91303,938.0,Interval.in_5_minute,57407100.0,short,neutral,neutral
21,2023-10-27 10:20:00,OANDA:GBPAUD,1.91364,1.914025,1.91333,1.91346,982.0,Interval.in_5_minute,57406800.0,neutral,neutral,neutral
22,2023-10-27 10:15:00,OANDA:GBPAUD,1.91284,1.913885,1.91283,1.91364,689.0,Interval.in_5_minute,57406500.0,neutral,neutral,neutral
23,2023-10-27 10:10:00,OANDA:GBPAUD,1.91343,1.913565,1.91256,1.91284,714.0,Interval.in_5_minute,57406200.0,short,neutral,neutral
24,2023-10-27 10:05:00,OANDA:GBPAUD,1.91396,1.91406,1.91334,1.91343,651.0,Interval.in_5_minute,57405900.0,neutral,neutral,neutral
25,2023-10-27 10:00:00,OANDA:GBPAUD,1.91314,1.91426,1.91281,1.91396,822.0,Interval.in_5_minute,57405600.0,long,neutral,neutral
26,2023-10-27 09:55:00,OANDA:GBPAUD,1.9126,1.91356,1.91249,1.91314,802.0,Interval.in_5_minute,57405300.0,neutral,neutral,neutral
27,2023-10-27 09:50:00,OANDA:GBPAUD,1.91296,1.91304,1.9123,1.9126,521.0,Interval.in_5_minute,57405000.0,neutral,neutral,neutral
28,2023-10-27 09:45:00,OANDA:GBPAUD,1.91129,1.91298,1.91112,1.91296,644.0,Interval.in_5_minute,57404700.0,neutral,neutral,neutral
29,2023-10-27 09:40:00,OANDA:GBPAUD,1.91172,1.91208,1.91112,1.91129,480.0,Interval.in_5_minute,57404400.0,neutral,neutral,neutral
30,2023-10-27 09:35:00,OANDA:GBPAUD,1.91136,1.91172,1.91086,1.91172,446.0,Interval.in_5_minute,57404100.0,long,long,long
31,2023-10-27 09:30:00,OANDA:GBPAUD,1.9112,1.9116,1.91104,1.91136,506.0,Interval.in_5_minute,57403800.0,long,long,neutral
32,2023-10-27 09:25:00,OANDA:GBPAUD,1.9112,1.911605,1.91104,1.9112,429.0,Interval.in_5_minute,57403500.0,long,neutral,neutral
33,2023-10-27 09:20:00,OANDA:GBPAUD,1.91096,1.91145,1.910935,1.9112,476.0,Interval.in_5_minute,57403200.0,neutral,neutral,neutral
34,2023-10-27 09:15:00,OANDA:GBPAUD,1.91106,1.91146,1.91094,1.91096,485.0,Interval.in_5_minute,57402900.0,neutral,neutral,neutral
35,2023-10-27 09:10:00,OANDA:GBPAUD,1.91052,1.91144,1.91048,1.91106,804.0,Interval.in_5_minute,57402600.0,neutral,neutral,neutral
36,2023-10-27 09:05:00,OANDA:GBPAUD,1.91121,1.91128,1.91043,1.91052,490.0,Interval.in_5_minute,57402300.0,short,short,short
37,2023-10-27 09:00:00,OANDA:GBPAUD,1.91284,1.91292,1.91099,1.91121,839.0,Interval.in_5_minute,57402000.0,short,short,short
38,2023-10-27 08:55:00,OANDA:GBPAUD,1.91299,1.91308,1.91262,1.91284,475.0,Interval.in_5_minute,57401700.0,short,short,short
39,2023-10-27 08:50:00,OANDA:GBPAUD,1.9138,1.9139,1.91292,1.91299,336.0,Interval.in_5_minute,57401400.0,short,short,neutral
40,2023-10-27 08:45:00,OANDA:GBPAUD,1.91412,1.914145,1.91371,1.9138,425.0,Interval.in_5_minute,57401100.0,short,neutral,neutral
41,2023-10-27 08:40:00,OANDA:GBPAUD,1.91446,1.91454,1.914095,1.91412,384.0,Interval.in_5_minute,57400800.0,neutral,neutral,neutral
42,2023-10-27 08:35:00,OANDA:GBPAUD,1.91398,1.91448,1.91398,1.91446,306.0,Interval.in_5_minute,57400500.0,long,neutral,neutral
43,2023-10-27 08:30:00,OANDA:GBPAUD,1.91376,1.91398,1.91356,1.91398,491.0,Interval.in_5_minute,57400200.0,neutral,neutral,neutral
44,2023-10-27 08:25:00,OANDA:GBPAUD,1.91418,1.91429,1.91372,1.91376,385.0,Interval.in_5_minute,57399900.0,neutral,neutral,neutral
45,2023-10-27 08:20:00,OANDA:GBPAUD,1.91401,1.91432,1.91396,1.91418,395.0,Interval.in_5_minute,57399600.0,long,neutral,neutral
46,2023-10-27 08:15:00,OANDA:GBPAUD,1.91398,1.914145,1.913875,1.91401,481.0,Interval.in_5_minute,57399300.0,neutral,neutral,neutral
47,2023-10-27 08:10:00,OANDA:GBPAUD,1.91422,1.9143,1.913875,1.91398,633.0,Interval.in_5_minute,57399000.0,neutral,neutral,neutral
48,2023-10-27 08:05:00,OANDA:GBPAUD,1.91314,1.91422,1.91304,1.91422,514.0,Interval.in_5_minute,57398700.0,neutral,neutral,neutral
49,2023-10-27 08:00:00,OANDA:GBPAUD,1.9133,1.91378,1.91286,1.91314,390.0,Interval.in_5_minute,57398400.0,short,short,neutral
50,2023-10-27 07:55:00,OANDA:GBPAUD,1.9137,1.9137,1.913095,1.9133,419.0,Interval.in_5_minute,57398100.0,short,neutral,neutral
51,2023-10-27 07:50:00,OANDA:GBPAUD,1.91414,1.91422,1.91364,1.9137,396.0,Interval.in_5_minute,57397800.0,neutral,neutral,neutral
52,2023-10-27 07:45:00,OANDA:GBPAUD,1.91399,1.91428,1.91389,1.91414,467.0,Interval.in_5_minute,57397500.0,neutral,neutral,neutral
53,2023-10-27 07:40:00,OANDA:GBPAUD,1.91412,1.91418,1.91388,1.91399,333.0,Interval.in_5_minute,57397200.0,short,short,neutral
54,2023-10-27 07:35:00,OANDA:GBPAUD,1.91445,1.91456,1.91409,1.91412,214.0,Interval.in_5_minute,57396900.0,short,neutral,neutral
55,2023-10-27 07:30:00,OANDA:GBPAUD,1.9146,1.914605,1.91438,1.91445,161.0,Interval.in_5_minute,57396600.0,neutral,neutral,neutral
56,2023-10-27 07:25:00,OANDA:GBPAUD,1.91436,1.91463,1.914275,1.9146,217.0,Interval.in_5_minute,57396300.0,neutral,neutral,neutral
57,2023-10-27 07:20:00,OANDA:GBPAUD,1.9146,1.914785,1.91434,1.91436,306.0,Interval.in_5_minute,57396000.0,neutral,neutral,neutral
58,2023-10-27 07:15:00,OANDA:GBPAUD,1.91452,1.91474,1.91448,1.9146,347.0,Interval.in_5_minute,57395700.0,long,long,long
59,2023-10-27 07:10:00,OANDA:GBPAUD,1.91442,1.9147,1.9143,1.91452,295.0,Interval.in_5_minute,57395400.0,long,long,neutral
60,2023-10-27 07:05:00,OANDA:GBPAUD,1.91439,1.914625,1.91425,1.91442,282.0,Interval.in_5_minute,57395100.0,long,neutral,neutral
61,2023-10-27 07:00:00,OANDA:GBPAUD,1.9143,1.91444,1.914135,1.91439,276.0,Interval.in_5_minute,57394800.0,neutral,neutral,neutral
62,2023-10-27 06:55:00,OANDA:GBPAUD,1.91433,1.91452,1.9142,1.9143,217.0,Interval.in_5_minute,57394500.0,neutral,neutral,neutral
63,2023-10-27 06:50:00,OANDA:GBPAUD,1.91426,1.91458,1.914175,1.91433,312.0,Interval.in_5_minute,57394200.0,neutral,neutral,neutral
64,2023-10-27 06:45:00,OANDA:GBPAUD,1.91451,1.914585,1.91422,1.91426,386.0,Interval.in_5_minute,57393900.0,neutral,neutral,neutral
65,2023-10-27 06:40:00,OANDA:GBPAUD,1.91418,1.91454,1.91414,1.91451,428.0,Interval.in_5_minute,57393600.0,long,neutral,neutral
66,2023-10-27 06:35:00,OANDA:GBPAUD,1.91397,1.91436,1.9139,1.91418,265.0,Interval.in_5_minute,57393300.0,neutral,neutral,neutral
67,2023-10-27 06:30:00,OANDA:GBPAUD,1.91406,1.914305,1.91389,1.91397,392.0,Interval.in_5_minute,57393000.0,short,short,neutral
68,2023-10-27 06:25:00,OANDA:GBPAUD,1.91444,1.914525,1.91387,1.91406,291.0,Interval.in_5_minute,57392700.0,short,neutral,neutral
69,2023-10-27 06:20:00,OANDA:GBPAUD,1.91448,1.91469,1.91436,1.91444,468.0,Interval.in_5_minute,57392400.0,neutral,neutral,neutral
70,2023-10-27 06:15:00,OANDA:GBPAUD,1.91446,1.914525,1.91412,1.91448,429.0,Interval.in_5_minute,57392100.0,long,long,neutral
71,2023-10-27 06:10:00,OANDA:GBPAUD,1.91433,1.914745,1.91432,1.91446,349.0,Interval.in_5_minute,57391800.0,long,neutral,neutral
72,2023-10-27 06:05:00,OANDA:GBPAUD,1.91411,1.91446,1.91392,1.91433,498.0,Interval.in_5_minute,57391500.0,neutral,neutral,neutral
73,2023-10-27 06:00:00,OANDA:GBPAUD,1.9142,1.91439,1.913835,1.91411,483.0,Interval.in_5_minute,57391200.0,neutral,neutral,neutral
74,2023-10-27 05:55:00,OANDA:GBPAUD,1.91404,1.914465,1.91392,1.9142,385.0,Interval.in_5_minute,57390900.0,neutral,neutral,neutral
75,2023-10-27 05:50:00,OANDA:GBPAUD,1.91433,1.91433,1.914015,1.91404,339.0,Interval.in_5_minute,57390600.0,short,short,neutral
76,2023-10-27 05:45:00,OANDA:GBPAUD,1.91445,1.914785,1.91409,1.91433,324.0,Interval.in_5_minute,57390300.0,short,neutral,neutral
77,2023-10-27 05:40:00,OANDA:GBPAUD,1.91467,1.9147,1.91426,1.91445,366.0,Interval.in_5_minute,57390000.0,neutral,neutral,neutral
78,2023-10-27 05:35:00,OANDA:GBPAUD,1.9141,1.91468,1.91398,1.91467,589.0,Interval.in_5_minute,57389700.0,neutral,neutral,neutral
