,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,False,False,False,False,False,False,False,False,False,2023-10-06 23:05:00,neutral,neutral,short,long,short
1,True,False,False,False,False,False,False,False,False,False,2023-10-06 22:55:00,neutral,neutral,short,long,short
2,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:50:00,long,neutral,long,long,short
3,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:45:00,neutral,long,long,long,long
4,True,False,False,False,False,False,False,False,False,False,2023-10-06 22:40:00,neutral,neutral,long,long,long
5,True,True,False,False,False,False,False,False,False,False,2023-10-06 22:35:00,neutral,neutral,long,long,long
6,True,True,True,False,False,False,False,False,False,False,2023-10-06 22:30:00,neutral,neutral,long,long,long
7,False,True,True,True,False,False,False,False,False,False,2023-10-06 22:25:00,neutral,neutral,long,long,long
8,True,False,True,True,True,False,False,False,False,False,2023-10-06 22:20:00,neutral,neutral,long,long,short
9,True,True,True,True,True,True,False,False,False,False,2023-10-06 22:15:00,neutral,short,long,long,short
10,False,True,True,True,True,True,True,False,False,False,2023-10-06 22:10:00,neutral,short,long,long,short
11,False,False,False,False,False,False,True,True,False,False,2023-10-06 22:05:00,neutral,neutral,long,long,short
12,False,False,False,False,False,False,False,False,True,False,2023-10-06 22:00:00,long,neutral,long,long,long
13,False,False,False,False,False,False,False,False,False,False,2023-10-06 21:55:00,neutral,neutral,long,long,short
14,True,True,True,False,False,True,True,False,True,True,2023-10-06 21:50:00,neutral,neutral,long,long,short
15,False,True,False,False,False,False,False,False,False,False,2023-10-06 21:45:00,neutral,neutral,long,long,short
16,True,False,True,True,True,False,False,True,True,False,2023-10-06 21:40:00,neutral,neutral,long,long,short
17,False,True,False,True,False,False,False,False,False,False,2023-10-06 21:35:00,neutral,neutral,long,long,short
