,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,False,False,False,False,False,False,True,False,False,False,2023-10-06 23:05:00,neutral,short,short,short,short
1,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:55:00,neutral,neutral,short,short,short
2,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:50:00,long,neutral,short,short,short
3,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:45:00,neutral,neutral,long,short,short
4,True,False,False,False,False,False,False,False,False,False,2023-10-06 22:40:00,neutral,neutral,long,short,long
5,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:35:00,neutral,long,long,short,long
6,True,True,True,False,False,False,False,False,False,False,2023-10-06 22:30:00,neutral,long,long,short,long
7,True,True,True,True,False,False,False,False,False,False,2023-10-06 22:25:00,neutral,neutral,long,short,long
8,True,True,True,True,True,True,True,False,False,False,2023-10-06 22:20:00,neutral,neutral,long,short,short
9,True,True,True,True,True,True,True,True,False,False,2023-10-06 22:15:00,long,neutral,long,short,short
10,False,False,True,True,True,True,True,False,False,False,2023-10-06 22:10:00,neutral,neutral,long,short,long
11,False,False,False,False,True,True,True,True,False,False,2023-10-06 22:05:00,neutral,neutral,long,short,long
12,True,False,False,False,True,True,True,True,True,False,2023-10-06 22:00:00,neutral,neutral,long,short,short
13,False,False,False,False,False,False,False,True,False,False,2023-10-06 21:55:00,neutral,neutral,long,short,short
14,True,False,False,False,False,False,False,False,True,False,2023-10-06 21:50:00,long,short,long,short,short
15,False,False,False,False,False,False,False,False,False,True,2023-10-06 21:45:00,neutral,short,long,short,short
16,False,False,False,False,False,False,False,False,False,False,2023-10-06 21:40:00,neutral,short,long,short,short
17,False,False,False,False,False,False,False,False,False,False,2023-10-06 21:35:00,long,neutral,long,short,short
18,False,False,False,False,False,False,False,False,False,False,2023-10-06 21:30:00,neutral,neutral,long,short,short
19,False,False,False,False,False,False,False,False,False,False,2023-10-06 21:25:00,neutral,neutral,long,short,short
20,True,True,True,True,True,False,True,False,False,False,2023-10-06 21:20:00,neutral,neutral,long,short,short
21,True,True,True,True,True,True,True,True,False,False,2023-10-06 21:15:00,neutral,neutral,long,short,short
22,False,True,True,True,True,True,True,False,True,False,2023-10-06 21:10:00,neutral,neutral,long,short,long
23,True,True,True,True,True,True,True,True,True,True,2023-10-06 21:05:00,neutral,neutral,long,short,long
24,False,True,False,True,True,True,True,True,True,False,2023-10-06 21:00:00,neutral,neutral,long,short,long
25,True,True,True,True,True,True,True,True,True,True,2023-10-06 20:55:00,neutral,neutral,long,short,long
26,True,True,True,True,True,True,True,True,True,True,2023-10-06 20:50:00,neutral,neutral,long,short,long
27,False,True,True,True,True,True,True,True,True,True,2023-10-06 20:45:00,neutral,neutral,long,short,short
