,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,False,True,False,False,False,False,False,False,False,False,2023-10-06 21:15:00,neutral,long,long,short,long
1,True,True,True,True,True,True,True,True,True,False,2023-10-06 20:45:00,neutral,neutral,long,short,long
2,True,True,True,True,True,True,True,True,True,True,2023-10-06 20:30:00,neutral,neutral,long,short,long
3,False,False,True,True,True,True,True,True,True,False,2023-10-06 20:15:00,neutral,neutral,long,short,long
4,True,True,True,True,True,True,True,True,True,True,2023-10-06 20:00:00,neutral,neutral,short,short,short
5,True,True,True,True,True,True,True,True,True,True,2023-10-06 19:45:00,neutral,short,long,short,short
6,False,True,True,True,True,True,True,True,True,True,2023-10-06 19:30:00,neutral,short,long,short,short
7,False,False,False,True,False,True,True,True,True,True,2023-10-06 19:15:00,neutral,neutral,long,short,short
8,False,False,False,False,True,False,False,True,True,True,2023-10-06 19:00:00,neutral,neutral,long,short,long
9,False,False,False,False,False,False,False,False,True,True,2023-10-06 18:45:00,neutral,long,long,short,long
10,True,True,False,False,False,False,True,False,True,True,2023-10-06 18:30:00,neutral,long,long,short,short
11,True,True,True,True,True,True,True,True,True,True,2023-10-06 18:15:00,neutral,neutral,short,short,short
12,True,True,True,True,True,True,True,True,True,True,2023-10-06 18:00:00,neutral,neutral,short,long,short
13,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:45:00,neutral,neutral,short,long,short
14,False,True,True,True,True,True,True,True,True,True,2023-10-06 17:30:00,neutral,long,short,long,long
15,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:15:00,neutral,long,short,long,long
16,True,True,True,True,True,True,True,True,True,True,2023-10-06 17:00:00,neutral,long,short,long,long
17,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:45:00,neutral,long,short,long,long
18,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:30:00,neutral,long,short,long,long
19,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:15:00,long,neutral,short,long,long
20,True,True,True,True,True,True,True,True,True,True,2023-10-06 16:00:00,short,neutral,short,long,short
21,True,True,True,True,True,True,True,True,True,True,2023-10-06 15:45:00,neutral,short,short,long,short
22,False,True,True,True,True,True,True,True,True,True,2023-10-06 15:30:00,long,neutral,short,long,short
23,False,False,False,False,False,False,False,False,False,False,2023-10-06 15:15:00,neutral,neutral,short,long,long
24,False,False,False,False,False,False,False,False,False,False,2023-10-06 15:00:00,neutral,neutral,short,long,long
25,True,True,False,False,False,False,False,False,False,False,2023-10-06 14:45:00,neutral,neutral,short,long,long
26,False,True,True,False,False,False,False,False,False,False,2023-10-06 14:30:00,neutral,neutral,short,long,long
27,True,True,True,True,False,False,False,False,False,False,2023-10-06 14:15:00,neutral,neutral,short,long,long
28,False,True,True,True,True,False,False,False,False,False,2023-10-06 14:00:00,neutral,neutral,short,long,long
29,False,False,True,True,True,True,False,False,False,False,2023-10-06 13:45:00,neutral,neutral,short,long,short
30,True,True,False,True,True,True,True,False,False,False,2023-10-06 13:30:00,neutral,neutral,short,long,short
31,False,True,False,False,True,True,True,True,False,False,2023-10-06 13:15:00,neutral,neutral,short,long,short
32,False,False,False,False,False,False,False,True,True,False,2023-10-06 13:00:00,neutral,neutral,short,long,short
33,True,False,False,False,False,False,True,True,True,True,2023-10-06 12:45:00,neutral,neutral,short,long,short
34,False,False,False,False,False,False,False,False,False,False,2023-10-06 12:30:00,neutral,neutral,short,long,long
35,True,False,False,False,False,False,False,False,False,False,2023-10-06 12:15:00,neutral,neutral,short,long,long
36,True,True,False,False,False,False,False,False,False,False,2023-10-06 12:00:00,neutral,neutral,short,long,long
37,False,False,False,False,False,False,False,False,False,False,2023-10-06 11:45:00,neutral,neutral,short,long,long
38,True,True,True,True,False,False,False,False,False,False,2023-10-06 11:30:00,neutral,neutral,short,long,long
39,False,True,False,False,True,False,False,False,False,False,2023-10-06 11:15:00,neutral,neutral,short,long,short
40,True,True,True,True,True,True,False,True,False,False,2023-10-06 11:00:00,neutral,neutral,short,long,short
41,True,True,True,True,True,True,True,True,True,False,2023-10-06 10:45:00,neutral,short,short,long,short
42,False,False,False,False,False,False,False,False,False,False,2023-10-06 10:30:00,neutral,neutral,short,long,long
43,False,False,False,False,False,False,False,False,False,False,2023-10-06 10:15:00,neutral,neutral,short,long,long
44,False,False,False,False,False,False,False,False,False,False,2023-10-06 10:00:00,neutral,neutral,short,long,long
45,True,True,True,False,False,False,False,True,False,False,2023-10-06 09:45:00,neutral,neutral,short,long,long
46,True,True,True,True,False,False,True,True,True,True,2023-10-06 09:30:00,neutral,neutral,short,long,long
47,False,True,True,True,True,False,False,True,False,True,2023-10-06 09:15:00,neutral,neutral,short,long,long
48,False,False,True,True,True,True,False,False,True,False,2023-10-06 09:00:00,neutral,neutral,short,long,short
49,True,True,False,True,True,True,True,False,False,True,2023-10-06 08:45:00,neutral,short,short,long,short
50,False,True,False,False,True,True,True,True,False,False,2023-10-06 08:30:00,neutral,neutral,short,long,short
51,False,False,False,False,False,False,True,True,False,False,2023-10-06 08:15:00,neutral,neutral,long,long,long
52,False,False,False,False,False,False,False,False,False,False,2023-10-06 08:00:00,neutral,neutral,long,long,long
53,True,False,False,False,False,False,False,False,False,False,2023-10-06 07:45:00,neutral,neutral,long,long,long
54,False,False,False,False,False,False,False,False,False,False,2023-10-06 07:30:00,neutral,neutral,long,long,short
55,False,False,False,False,False,False,False,False,False,False,2023-10-06 07:15:00,neutral,neutral,long,long,short
56,True,False,False,False,False,False,False,False,False,False,2023-10-06 07:00:00,neutral,short,long,long,short
57,False,False,False,False,False,False,False,False,False,False,2023-10-06 06:45:00,neutral,neutral,long,long,short
58,False,False,False,False,False,False,False,False,False,False,2023-10-06 06:30:00,neutral,neutral,long,long,short
59,False,False,False,False,False,False,False,False,False,False,2023-10-06 06:15:00,neutral,long,long,long,long
60,True,False,False,False,False,False,False,False,False,False,2023-10-06 06:00:00,neutral,long,long,long,long
61,True,True,False,False,False,False,False,False,False,False,2023-10-06 05:45:00,neutral,long,long,long,long
62,True,True,True,True,False,False,False,False,False,False,2023-10-06 05:30:00,neutral,long,long,long,short
63,True,True,True,True,True,False,False,False,False,False,2023-10-06 05:15:00,neutral,neutral,long,long,short
64,True,True,True,True,True,True,True,False,True,False,2023-10-06 05:00:00,neutral,neutral,long,long,short
65,True,True,True,True,True,True,True,True,True,True,2023-10-06 04:45:00,neutral,neutral,long,long,long
66,False,True,True,True,True,True,True,True,True,True,2023-10-06 04:30:00,neutral,neutral,long,long,long
67,False,False,True,True,True,True,True,True,True,True,2023-10-06 04:15:00,neutral,neutral,long,long,long
68,True,True,True,True,True,True,True,True,True,True,2023-10-06 04:00:00,neutral,neutral,short,long,long
69,True,True,True,True,True,True,True,True,True,True,2023-10-06 03:45:00,neutral,neutral,short,long,long
70,False,True,True,True,True,True,True,True,True,True,2023-10-06 03:30:00,neutral,neutral,short,long,short
71,True,True,True,True,True,True,True,True,True,True,2023-10-06 03:15:00,neutral,neutral,short,long,short
72,False,False,False,True,True,True,True,True,True,True,2023-10-06 03:00:00,neutral,neutral,short,long,short
73,True,False,True,False,True,True,True,True,True,True,2023-10-06 02:45:00,neutral,neutral,short,long,short
74,False,False,False,False,False,False,True,True,False,True,2023-10-06 02:30:00,neutral,long,short,long,short
75,True,False,False,False,False,False,False,True,True,False,2023-10-06 02:15:00,neutral,neutral,short,long,short
76,True,True,False,False,False,False,False,False,True,True,2023-10-06 02:00:00,neutral,neutral,long,long,short
77,True,True,True,True,True,False,True,True,True,True,2023-10-06 01:45:00,long,neutral,long,long,short
78,False,False,False,True,False,False,False,False,False,False,2023-10-06 01:30:00,neutral,neutral,long,long,long
79,False,False,False,False,False,False,False,False,False,False,2023-10-06 01:15:00,neutral,long,long,long,long
80,True,True,False,True,True,True,False,False,False,False,2023-10-06 01:00:00,neutral,neutral,long,long,long
81,True,True,True,False,True,True,True,True,True,False,2023-10-06 00:45:00,neutral,neutral,long,long,long
82,True,True,True,True,True,True,True,True,True,True,2023-10-06 00:30:00,neutral,neutral,long,long,long
83,False,False,True,True,True,False,True,True,True,False,2023-10-06 00:15:00,neutral,neutral,long,long,long
84,True,True,True,True,True,True,True,True,True,True,2023-10-06 00:00:00,neutral,neutral,long,long,long
85,False,True,False,True,True,True,True,False,True,True,2023-10-05 23:45:00,neutral,neutral,long,long,long
86,False,False,False,False,False,False,True,True,False,True,2023-10-05 23:30:00,neutral,neutral,long,long,long
87,True,False,False,False,False,False,False,True,True,False,2023-10-05 23:15:00,neutral,neutral,long,long,short
88,True,True,False,False,False,False,False,False,True,True,2023-10-05 23:00:00,neutral,neutral,long,long,short
89,False,False,False,False,False,False,False,False,False,True,2023-10-05 22:45:00,neutral,neutral,long,long,short
90,True,False,False,False,False,False,False,False,False,False,2023-10-05 22:30:00,neutral,neutral,long,long,short
91,False,True,False,False,False,False,False,False,False,False,2023-10-05 22:15:00,neutral,neutral,long,long,short
92,False,False,False,False,False,False,False,False,False,False,2023-10-05 22:00:00,neutral,neutral,long,long,short
93,True,False,False,False,False,False,False,False,False,False,2023-10-05 21:45:00,neutral,neutral,long,long,long
94,True,True,False,False,False,False,False,False,False,False,2023-10-05 21:30:00,neutral,neutral,long,long,long
95,False,True,True,False,False,False,False,False,False,False,2023-10-05 21:15:00,neutral,long,long,long,long
96,True,True,True,True,True,True,True,False,False,True,2023-10-05 21:00:00,neutral,long,long,long,long
97,True,True,True,True,True,True,True,True,True,True,2023-10-05 20:45:00,neutral,long,long,long,long
98,True,True,True,True,True,True,True,True,True,True,2023-10-05 20:30:00,neutral,neutral,long,long,short
99,True,True,True,True,True,True,True,True,True,True,2023-10-05 20:15:00,neutral,neutral,long,long,short
100,True,True,True,True,True,True,True,True,True,True,2023-10-05 20:00:00,neutral,neutral,short,long,short
101,False,False,True,True,True,True,True,True,True,True,2023-10-05 19:45:00,neutral,neutral,short,long,short
102,True,False,True,True,True,True,True,True,True,True,2023-10-05 19:30:00,neutral,neutral,short,long,long
103,False,False,False,False,True,True,True,True,True,True,2023-10-05 19:15:00,neutral,long,short,long,long
104,True,True,True,True,True,True,True,True,True,True,2023-10-05 19:00:00,neutral,neutral,short,long,long
105,True,True,True,True,True,True,True,True,True,True,2023-10-05 18:45:00,neutral,neutral,short,long,long
106,True,True,True,True,True,True,True,True,True,True,2023-10-05 18:30:00,neutral,neutral,short,long,long
107,False,False,True,True,True,True,True,True,True,True,2023-10-05 18:15:00,neutral,long,short,long,long
108,True,False,False,True,True,True,True,True,True,True,2023-10-05 18:00:00,neutral,neutral,short,long,long
109,True,True,False,False,True,True,True,True,True,True,2023-10-05 17:45:00,neutral,neutral,short,long,short
110,True,True,True,True,True,True,True,True,True,True,2023-10-05 17:30:00,neutral,short,short,long,short
111,False,True,True,True,True,True,True,True,True,True,2023-10-05 17:15:00,neutral,neutral,short,long,short
112,False,False,True,True,True,False,True,True,True,True,2023-10-05 17:00:00,neutral,neutral,short,long,short
113,False,False,False,False,False,False,False,False,False,False,2023-10-05 16:45:00,neutral,neutral,long,long,long
114,True,False,False,False,False,False,False,False,False,False,2023-10-05 16:30:00,neutral,neutral,long,long,long
115,False,False,False,False,False,False,False,False,False,False,2023-10-05 16:15:00,neutral,neutral,long,long,long
116,True,True,True,False,False,False,False,False,False,False,2023-10-05 16:00:00,neutral,neutral,short,long,long
117,False,True,True,True,False,False,False,False,False,False,2023-10-05 15:45:00,neutral,neutral,short,long,short
118,True,True,True,True,True,True,True,True,True,True,2023-10-05 15:30:00,neutral,short,short,long,short
