,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,False,False,True,True,False,False,False,False,False,2023-10-06 23:05:00,neutral,neutral,short,short,short
1,True,False,False,False,False,False,False,False,False,False,2023-10-06 22:55:00,neutral,neutral,short,short,short
2,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:50:00,neutral,neutral,short,short,short
3,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:45:00,neutral,neutral,long,short,short
4,True,False,False,False,False,False,False,False,False,False,2023-10-06 22:40:00,neutral,neutral,long,short,short
5,False,True,False,False,False,False,False,False,False,False,2023-10-06 22:35:00,neutral,neutral,long,short,long
6,True,True,True,False,False,False,False,False,False,False,2023-10-06 22:30:00,neutral,neutral,long,short,long
7,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:25:00,neutral,neutral,long,short,long
8,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:20:00,neutral,neutral,long,short,long
9,True,True,True,True,True,True,False,False,False,False,2023-10-06 22:15:00,neutral,neutral,long,short,long
10,False,True,True,False,True,False,True,False,False,False,2023-10-06 22:10:00,neutral,neutral,long,short,long
11,False,False,False,False,False,False,False,False,False,False,2023-10-06 22:05:00,neutral,neutral,long,short,short
12,True,False,False,True,True,False,True,False,True,False,2023-10-06 22:00:00,neutral,neutral,long,short,short
13,False,False,False,False,False,False,False,False,False,False,2023-10-06 21:55:00,neutral,neutral,long,short,short
14,True,False,True,False,False,True,True,False,False,False,2023-10-06 21:50:00,long,neutral,long,short,short
15,False,False,False,False,False,False,False,False,False,False,2023-10-06 21:45:00,neutral,neutral,long,short,short
16,True,False,False,False,False,False,False,False,False,False,2023-10-06 21:40:00,long,neutral,long,short,short
17,False,False,False,False,False,False,False,False,False,False,2023-10-06 21:35:00,neutral,long,long,short,long
18,True,False,True,False,False,False,False,False,False,False,2023-10-06 21:30:00,neutral,long,long,short,long
19,True,True,True,True,False,False,False,False,False,False,2023-10-06 21:25:00,neutral,neutral,long,short,short
20,True,True,True,True,True,True,True,True,True,False,2023-10-06 21:20:00,neutral,neutral,long,short,short
21,True,True,True,True,True,True,True,True,True,True,2023-10-06 21:15:00,long,neutral,long,short,long
