,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30,NW3,NW2,sob_delta_include_breaking,sob_delta,sp8/10/8,sp16/12/16,volume2,volume3,volume4,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12
0,2023-10-27 12:06:00,OANDA:AUDCAD,0.87664,0.87668,0.876635,0.876675,3.0,Interval.in_1_minute,57413160.0,,,,,,,,,,,,,,,,,,,short,short,neutral,neutral,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,,,
1,2023-10-27 12:05:00,OANDA:AUDCAD,0.87649,0.87666,0.87649,0.87664,22.0,Interval.in_1_minute,57413100.0,,,,,,,,,,,,,,,,,,,short,short,neutral,neutral,long,short,long,long,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,,
2,2023-10-27 12:04:00,OANDA:AUDCAD,0.87639,0.8765,0.87639,0.87649,22.0,Interval.in_1_minute,57413040.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,neutral,neutral,short,short,short,short,long,long,short,short,short,long,long,long,long,long,long,long,short,short,long,long,,,,,,,,,,
3,2023-10-27 12:03:00,OANDA:AUDCAD,0.87636,0.876425,0.87636,0.87639,15.0,Interval.in_1_minute,57412980.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,long,long,neutral,long,long,short,short,short,long,long,long,,,,,,,,,
4,2023-10-27 12:02:00,OANDA:AUDCAD,0.87638,0.876385,0.87633,0.87636,14.0,Interval.in_1_minute,57412920.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,short,neutral,neutral,short,short,short,short,short,short,short,short,short,long,long,short,long,long,short,short,short,short,long,long,long,long,,,,,,,,
5,2023-10-27 12:01:00,OANDA:AUDCAD,0.87652,0.87652,0.87637,0.87638,24.0,Interval.in_1_minute,57412860.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,neutral,long,long,short,short,short,long,long,long,long,long,long,long,short,short,short,short,long,short,long,long,long,long,,,,,,,
6,2023-10-27 12:00:00,OANDA:AUDCAD,0.87645,0.87655,0.87643,0.87652,17.0,Interval.in_1_minute,57412800.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,long,short,short,short,short,long,long,,,,,,
7,2023-10-27 11:59:00,OANDA:AUDCAD,0.87648,0.87657,0.87645,0.87645,17.0,Interval.in_1_minute,57412740.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,short,long,long,long,long,long,long,long,long,neutral,short,short,short,long,long,long,long,short,short,short,long,long,long,,,,,
8,2023-10-27 11:58:00,OANDA:AUDCAD,0.87642,0.87648,0.87637,0.87648,26.0,Interval.in_1_minute,57412680.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,neutral,neutral,short,short,short,long,long,long,long,long,long,long,short,short,short,short,long,long,long,long,short,long,short,short,short,long,long,long,,,,
9,2023-10-27 11:57:00,OANDA:AUDCAD,0.87637,0.876465,0.87637,0.87642,17.0,Interval.in_1_minute,57412620.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,neutral,long,long,long,long,long,short,short,short,short,short,short,short,long,short,long,long,long,short,short,short,long,long,long,,,
10,2023-10-27 11:56:00,OANDA:AUDCAD,0.87642,0.87648,0.87637,0.87637,18.0,Interval.in_1_minute,57412560.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,short,neutral,neutral,short,short,neutral,long,long,long,long,long,short,short,short,short,short,short,short,long,short,short,long,long,long,long,long,short,long,long,long,long,,
11,2023-10-27 11:55:00,OANDA:AUDCAD,0.8765,0.87652,0.87642,0.87642,11.0,Interval.in_1_minute,57412500.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,short,short,short,short,long,long,long,long,long,long,long,short,long,long,long,long,short,short,short,long,long,long,
12,2023-10-27 11:54:00,OANDA:AUDCAD,0.87646,0.87651,0.87645,0.8765,21.0,Interval.in_1_minute,57412440.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,long,neutral,long,long,long,long,long,long,long,short,short,long,long,long,long,long,long,long,long,long,short,short,short,short,short,long,short,short,short,short,long,long
13,2023-10-27 11:53:00,OANDA:AUDCAD,0.87646,0.8765,0.8764,0.87646,30.0,Interval.in_1_minute,57412380.0,long,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,neutral,neutral,long,long,long,long,long,short,short,short,short,long,long,long,long,long,long,long,short,short,long,short,short,short,long,short,long,short,short,short,long,long
14,2023-10-27 11:52:00,OANDA:AUDCAD,0.87638,0.87648,0.87638,0.87646,42.0,Interval.in_1_minute,57412320.0,long,long,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,short,short,short,short,short,short,long,long,short,short,short,short,short,short,long,long,short,short,short,long,short,long,short,short,short,long
15,2023-10-27 11:51:00,OANDA:AUDCAD,0.87641,0.87647,0.87636,0.87638,29.0,Interval.in_1_minute,57412260.0,long,long,long,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,short,short,short,short,short,short,short,long,short,short,short,short,short,short,short,long,long,long,long,short,long,long,long,long,long,short,long
16,2023-10-27 11:50:00,OANDA:AUDCAD,0.8763,0.87641,0.8763,0.87641,29.0,Interval.in_1_minute,57412200.0,short,long,long,long,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,short,short,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short,long,long,long,long,short,long,long,long,long,short,short
17,2023-10-27 11:49:00,OANDA:AUDCAD,0.87636,0.876425,0.876295,0.8763,20.0,Interval.in_1_minute,57412140.0,long,long,long,long,long,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,short,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long
18,2023-10-27 11:48:00,OANDA:AUDCAD,0.87639,0.87643,0.876335,0.87636,23.0,Interval.in_1_minute,57412080.0,long,long,long,long,long,long,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long
19,2023-10-27 11:47:00,OANDA:AUDCAD,0.87624,0.8764,0.87624,0.87639,30.0,Interval.in_1_minute,57412020.0,long,short,short,long,long,long,long,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,long,long,long,long,short,long,long,long
20,2023-10-27 11:46:00,OANDA:AUDCAD,0.87646,0.87652,0.876235,0.87624,35.0,Interval.in_1_minute,57411960.0,long,long,long,long,long,long,long,long,,,,,,,,,,,short,long,neutral,neutral,long,short,short,short,neutral,short,short,short,short,short,neutral,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long
21,2023-10-27 11:45:00,OANDA:AUDCAD,0.87647,0.87651,0.876435,0.87646,39.0,Interval.in_1_minute,57411900.0,long,short,long,short,short,short,long,long,long,,,,,,,,,,short,short,neutral,neutral,long,short,short,neutral,neutral,short,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,short,short,short
22,2023-10-27 11:44:00,OANDA:AUDCAD,0.87655,0.87656,0.87646,0.87647,14.0,Interval.in_1_minute,57411840.0,short,long,short,long,short,short,short,long,long,long,,,,,,,,,short,short,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short
23,2023-10-27 11:43:00,OANDA:AUDCAD,0.87646,0.87658,0.87646,0.87655,16.0,Interval.in_1_minute,57411780.0,short,short,short,short,short,short,short,short,short,long,long,,,,,,,,short,short,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
24,2023-10-27 11:42:00,OANDA:AUDCAD,0.87648,0.87654,0.87638,0.87646,20.0,Interval.in_1_minute,57411720.0,short,short,short,long,short,long,short,short,short,long,long,long,,,,,,,short,short,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,long,long,long,short,short,short,short,short,short,long,long,long
25,2023-10-27 11:41:00,OANDA:AUDCAD,0.8764,0.87648,0.876395,0.87648,14.0,Interval.in_1_minute,57411660.0,long,short,short,short,long,short,long,short,short,short,long,long,long,,,,,,short,short,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short,short
26,2023-10-27 11:40:00,OANDA:AUDCAD,0.87649,0.87649,0.876395,0.8764,17.0,Interval.in_1_minute,57411600.0,long,long,long,short,long,long,long,long,short,short,short,long,long,long,,,,,short,short,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,short,short,short,short,long,short,long
27,2023-10-27 11:39:00,OANDA:AUDCAD,0.87632,0.8765,0.87632,0.87649,20.0,Interval.in_1_minute,57411540.0,short,short,long,short,short,short,short,short,long,short,short,short,long,long,long,,,,short,short,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,short,short,short,short,short
28,2023-10-27 11:38:00,OANDA:AUDCAD,0.87638,0.876425,0.87632,0.87632,10.0,Interval.in_1_minute,57411480.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,short,short,neutral,neutral,long,short,short,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,short,long,long,short,long
29,2023-10-27 11:37:00,OANDA:AUDCAD,0.87648,0.87648,0.87637,0.87638,19.0,Interval.in_1_minute,57411420.0,long,long,long,long,long,long,short,long,long,long,long,long,short,long,long,long,long,,short,short,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,neutral,short,short,long,long,long,long,long,long,long,short,long,short,short
30,2023-10-27 11:36:00,OANDA:AUDCAD,0.87638,0.876485,0.87632,0.87648,30.0,Interval.in_1_minute,57411360.0,short,short,short,short,short,long,short,short,short,long,short,long,short,short,short,long,long,long,short,short,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,neutral,short,short,short,short,long,short,long,short,long,short,short,short,short,short
31,2023-10-27 11:35:00,OANDA:AUDCAD,0.87648,0.87656,0.87637,0.87638,28.0,Interval.in_1_minute,57411300.0,short,short,long,long,long,long,long,long,short,long,long,long,long,long,short,long,long,long,short,short,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,neutral,short,short,long,long,long,short,long,long,long,long,long,long,long,short,long
32,2023-10-27 11:34:00,OANDA:AUDCAD,0.87646,0.87652,0.876435,0.87648,23.0,Interval.in_1_minute,57411240.0,short,short,short,short,short,short,short,long,short,short,short,long,short,long,short,short,short,long,short,short,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,long,short,short,long,long,long,long,long,short,long,short,short,long,short,long,short,long,short,short,short
33,2023-10-27 11:33:00,OANDA:AUDCAD,0.87648,0.87648,0.87642,0.87646,13.0,Interval.in_1_minute,57411180.0,short,short,short,short,short,short,long,long,long,short,short,short,long,short,long,short,short,short,short,short,neutral,neutral,long,short,short,neutral,neutral,short,short,short,short,short,short,short,short,short,neutral,short,short,long,long,long,long,long,long,long,short,long,short,short,long,short,long,long,long,long,long
34,2023-10-27 11:32:00,OANDA:AUDCAD,0.87678,0.87678,0.87648,0.87648,34.0,Interval.in_1_minute,57411120.0,short,short,short,short,short,short,short,short,short,long,short,short,short,long,short,long,short,short,short,short,neutral,neutral,long,short,neutral,neutral,neutral,long,neutral,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,short,long,short,short,long,short,long,short,long,short
35,2023-10-27 11:31:00,OANDA:AUDCAD,0.87664,0.87682,0.87664,0.87678,35.0,Interval.in_1_minute,57411060.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,neutral,neutral,long,short,long,long,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short
36,2023-10-27 11:30:00,OANDA:AUDCAD,0.8766,0.87664,0.876595,0.87664,20.0,Interval.in_1_minute,57411000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,neutral,neutral,long,short,long,neutral,neutral,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short
37,2023-10-27 11:29:00,OANDA:AUDCAD,0.87658,0.87664,0.87655,0.8766,21.0,Interval.in_1_minute,57410940.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
38,2023-10-27 11:28:00,OANDA:AUDCAD,0.87668,0.87668,0.87658,0.87658,19.0,Interval.in_1_minute,57410880.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
39,2023-10-27 11:27:00,OANDA:AUDCAD,0.8766,0.8767,0.876575,0.87668,22.0,Interval.in_1_minute,57410820.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,neutral,neutral,long,short,long,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,long,short,short,short,short,short,short,short,short
40,2023-10-27 11:26:00,OANDA:AUDCAD,0.8765,0.87661,0.87647,0.8766,32.0,Interval.in_1_minute,57410760.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,neutral,neutral,long,short,neutral,neutral,neutral,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,long,short,short,short,short,short,short,short
41,2023-10-27 11:25:00,OANDA:AUDCAD,0.87654,0.87654,0.8764,0.8765,28.0,Interval.in_1_minute,57410700.0,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short,short,long,short,short,short,neutral,neutral,long,short,short,short,neutral,short,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short
