,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30,NW3,NW2,sob_delta_include_breaking,sob_delta,sp8/10/8,sp16/12/16,volume2,volume3,volume4,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12
0,2023-10-27 12:00:00,OANDA:AUDJPY,95.306,95.328,95.29,95.31,566.0,Interval.in_1_hour,57412800.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,long,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,,,
1,2023-10-27 11:00:00,OANDA:AUDJPY,95.242,95.342,95.228,95.306,5961.0,Interval.in_1_hour,57409200.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,,
2,2023-10-27 10:00:00,OANDA:AUDJPY,95.156,95.256,95.092,95.242,6188.0,Interval.in_1_hour,57405600.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,
3,2023-10-27 09:00:00,OANDA:AUDJPY,95.236,95.324,95.156,95.156,5328.0,Interval.in_1_hour,57402000.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,short,neutral,neutral,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,
4,2023-10-27 08:00:00,OANDA:AUDJPY,95.269,95.298,95.19,95.236,3212.0,Interval.in_1_hour,57398400.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,long,,,,,,,,
5,2023-10-27 07:00:00,OANDA:AUDJPY,95.218,95.289,95.21,95.269,2192.0,Interval.in_1_hour,57394800.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,neutral,neutral,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,,,,,,,
6,2023-10-27 06:00:00,OANDA:AUDJPY,95.216,95.244,95.166,95.218,2503.0,Interval.in_1_hour,57391200.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,long,,,,,,
7,2023-10-27 05:00:00,OANDA:AUDJPY,95.25,95.32,95.18,95.216,4216.0,Interval.in_1_hour,57387600.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,short,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,long,,,,,
8,2023-10-27 04:00:00,OANDA:AUDJPY,95.26,95.303,95.094,95.25,4068.0,Interval.in_1_hour,57384000.0,,,,,,,,,,,,,,,,,,,long,long,long,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,short,long,long,,,,
9,2023-10-27 03:00:00,OANDA:AUDJPY,95.234,95.318,95.186,95.26,3950.0,Interval.in_1_hour,57380400.0,,,,,,,,,,,,,,,,,,,long,long,short,neutral,long,short,long,long,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,long,short,short,short,long,long,,,
