,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30,NW3,NW2,sob_delta_include_breaking,sob_delta,sp8/10/8,sp16/12/16,volume2,volume3,volume4,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12
0,2023-10-27 12:07:00,OANDA:AUDJPY,95.318,95.318,95.314,95.314,0.0,Interval.in_1_minute,57413220.0,,,,,,,,,,,,,,,,,,,long,short,neutral,neutral,long,short,short,neutral,neutral,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,neutral,long,,,,,,,,,,,,
1,2023-10-27 12:06:00,OANDA:AUDJPY,95.325,95.328,95.314,95.318,51.0,Interval.in_1_minute,57413160.0,,,,,,,,,,,,,,,,,,,long,short,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,,,,,,,,,,,
2,2023-10-27 12:05:00,OANDA:AUDJPY,95.311,95.326,95.311,95.325,72.0,Interval.in_1_minute,57413100.0,,,,,,,,,,,,,,,,,,,long,short,neutral,neutral,long,short,long,neutral,neutral,long,long,long,long,long,long,long,long,short,short,long,long,long,long,long,long,long,short,short,short,,,,,,,,,,
3,2023-10-27 12:04:00,OANDA:AUDJPY,95.298,95.3165,95.296,95.311,82.0,Interval.in_1_minute,57413040.0,,,,,,,,,,,,,,,,,,,long,short,short,short,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,short,short,short,long,long,long,,,,,,,,,
4,2023-10-27 12:03:00,OANDA:AUDJPY,95.299,95.304,95.295,95.298,84.0,Interval.in_1_minute,57412980.0,,,,,,,,,,,,,,,,,,,long,short,short,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,,,,,,,,
5,2023-10-27 12:02:00,OANDA:AUDJPY,95.296,95.301,95.29,95.299,55.0,Interval.in_1_minute,57412920.0,,,,,,,,,,,,,,,,,,,long,short,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,,,,,,,
6,2023-10-27 12:01:00,OANDA:AUDJPY,95.319,95.32,95.296,95.296,81.0,Interval.in_1_minute,57412860.0,,,,,,,,,,,,,,,,,,,long,short,neutral,neutral,long,short,neutral,neutral,neutral,neutral,long,short,short,short,short,short,short,long,long,short,short,short,short,short,short,short,short,long,long,long,long,long,long,,,,,,
7,2023-10-27 12:00:00,OANDA:AUDJPY,95.306,95.324,95.304,95.319,138.0,Interval.in_1_minute,57412800.0,,,,,,,,,,,,,,,,,,,long,short,neutral,neutral,long,short,neutral,neutral,neutral,long,long,short,short,short,short,long,long,long,short,long,short,short,short,short,short,short,short,short,short,short,short,long,short,short,,,,,
8,2023-10-27 11:59:00,OANDA:AUDJPY,95.312,95.323,95.306,95.306,58.0,Interval.in_1_minute,57412740.0,,,,,,,,,,,,,,,,,,,long,short,long,long,long,short,neutral,neutral,neutral,short,short,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short,long,long,short,short,short,long,long,long,long,,,,
9,2023-10-27 11:58:00,OANDA:AUDJPY,95.303,95.313,95.296,95.312,97.0,Interval.in_1_minute,57412680.0,,,,,,,,,,,,,,,,,,,long,short,short,short,long,short,neutral,neutral,neutral,short,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short,long,long,short,long,short,short,short,short,long,long,long,,,
