,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30,NW3,NW2,sob_delta_include_breaking,sob_delta,sp8/10/8,sp16/12/16,volume2,volume3,volume4,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12
0,2023-10-27 12:00:00,OANDA:AUDUSD,0.63504,0.6352800000000001,0.6349199999999999,0.635185,205.0,Interval.in_30_minute,57412800.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,,,
1,2023-10-27 11:30:00,OANDA:AUDUSD,0.63494,0.63518,0.6348,0.63504,712.0,Interval.in_30_minute,57411000.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,,
2,2023-10-27 11:00:00,OANDA:AUDUSD,0.63428,0.63504,0.63418,0.63494,1124.0,Interval.in_30_minute,57409200.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,long,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,
3,2023-10-27 10:30:00,OANDA:AUDUSD,0.6337,0.634285,0.63344,0.63428,965.0,Interval.in_30_minute,57407400.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,neutral,neutral,short,short,short,short,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,
4,2023-10-27 10:00:00,OANDA:AUDUSD,0.63357,0.63374,0.63312,0.6337,1304.0,Interval.in_30_minute,57405600.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,
5,2023-10-27 09:30:00,OANDA:AUDUSD,0.63428,0.6344,0.63356,0.63357,957.0,Interval.in_30_minute,57403800.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,short,neutral,neutral,short,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,
6,2023-10-27 09:00:00,OANDA:AUDUSD,0.63447,0.63508,0.63404,0.63428,830.0,Interval.in_30_minute,57402000.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,long,long,,,,,,
7,2023-10-27 08:30:00,OANDA:AUDUSD,0.63424,0.6346,0.6338,0.63447,663.0,Interval.in_30_minute,57400200.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,long,long,long,,,,,
8,2023-10-27 08:00:00,OANDA:AUDUSD,0.63439,0.63464,0.63401,0.63424,669.0,Interval.in_30_minute,57398400.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,long,long,,,,
9,2023-10-27 07:30:00,OANDA:AUDUSD,0.63389,0.634505,0.63383,0.63439,412.0,Interval.in_30_minute,57396600.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,short,short,short,short,long,long,long,,,
