,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30,NW3,NW2,sob_delta_include_breaking,sob_delta,sp8/10/8,sp16/12/16,volume2,volume3,volume4,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12
0,2023-10-27 12:00:00,OANDA:EURJPY,158.511,158.531,158.502,158.51100000000002,694.0,Interval.in_2_hour,57412800.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,long,short,long,long,short,short,short,short,short,short,short,short,,,,,,,,,,,,
1,2023-10-27 10:00:00,OANDA:EURJPY,158.544,158.635,158.447,158.511,14836.0,Interval.in_2_hour,57405600.0,,,,,,,,,,,,,,,,,,,short,long,short,short,long,short,short,neutral,neutral,short,short,short,short,short,long,short,long,long,short,short,short,short,short,short,short,short,short,long,,,,,,,,,,,
2,2023-10-27 08:00:00,OANDA:EURJPY,158.694,158.74,158.53,158.544,10730.0,Interval.in_2_hour,57398400.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,long,long,long,long,long,long,long,short,short,short,short,long,long,short,short,short,short,,,,,,,,,,
3,2023-10-27 06:00:00,OANDA:EURJPY,158.65,158.758,158.604,158.694,5693.0,Interval.in_2_hour,57391200.0,,,,,,,,,,,,,,,,,,,short,long,long,long,long,short,neutral,neutral,neutral,short,short,long,long,long,long,long,long,long,long,long,long,short,long,long,long,long,long,short,short,short,,,,,,,,,
4,2023-10-27 04:00:00,OANDA:EURJPY,158.768,158.778,158.646,158.65,7585.0,Interval.in_2_hour,57384000.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,short,short,neutral,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,,,,,,,,
5,2023-10-27 02:00:00,OANDA:EURJPY,158.856,158.88,158.656,158.768,9613.0,Interval.in_2_hour,57376800.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,short,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,,,,,,,
6,2023-10-27 00:00:00,OANDA:EURJPY,158.877,158.885,158.76,158.856,1739.0,Interval.in_2_hour,57369600.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,,,,,,
7,2023-10-26 22:00:00,OANDA:EURJPY,158.804,158.879,158.628,158.877,8898.0,Interval.in_2_hour,57362400.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,,,,,
8,2023-10-26 20:00:00,OANDA:EURJPY,158.37,158.906,158.353,158.804,13035.0,Interval.in_2_hour,57355200.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,short,short,short,short,short,short,long,short,short,long,short,short,short,short,short,long,long,short,short,short,short,short,short,,,,
9,2023-10-26 18:00:00,OANDA:EURJPY,158.506,158.535,158.288,158.37,16319.0,Interval.in_2_hour,57348000.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,short,neutral,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,,,
10,2023-10-26 16:00:00,OANDA:EURJPY,158.592,158.624,158.325,158.506,26950.0,Interval.in_2_hour,57340800.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,short,short,short,short,long,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,,
