,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30,NW3,NW2,sob_delta_include_breaking,sob_delta,sp8/10/8,sp16/12/16,volume2,volume3,volume4,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12
0,2023-10-27 12:00:00,OANDA:EURUSD,1.05618,1.05645,1.05614,1.05635,314.0,Interval.in_45_minute,57412800.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,neutral,neutral,long,short,short,short,short,short,long,long,long,long,short,short,short,short,long,long,long,long,,,,,,,,,,,,
1,2023-10-27 11:15:00,OANDA:EURUSD,1.0557,1.05625,1.05566,1.05618,2404.0,Interval.in_45_minute,57410100.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,short,long,long,short,short,short,short,short,short,long,long,long,long,long,,,,,,,,,,,
2,2023-10-27 10:30:00,OANDA:EURUSD,1.05617,1.05617,1.05525,1.0557,2952.0,Interval.in_45_minute,57407400.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,short,long,long,short,short,short,short,short,short,long,long,long,long,long,long,long,,,,,,,,,,
3,2023-10-27 09:45:00,OANDA:EURUSD,1.05574,1.05632,1.055215,1.05617,2866.0,Interval.in_45_minute,57404700.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,long,long,short,short,short,short,short,short,long,long,long,long,long,long,short,long,long,,,,,,,,,
4,2023-10-27 09:00:00,OANDA:EURUSD,1.05694,1.05699,1.05547,1.05574,2763.0,Interval.in_45_minute,57402000.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,long,long,long,long,short,short,long,long,long,long,long,long,long,long,long,long,long,short,long,long,,,,,,,,
5,2023-10-27 08:15:00,OANDA:EURUSD,1.05666,1.05701,1.05658,1.05694,1156.0,Interval.in_45_minute,57399300.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,long,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,,,,,,,
6,2023-10-27 07:30:00,OANDA:EURUSD,1.05654,1.0569,1.0565,1.05666,979.0,Interval.in_45_minute,57396600.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,,,,,,
7,2023-10-27 06:45:00,OANDA:EURUSD,1.05626,1.05668,1.05625,1.05654,904.0,Interval.in_45_minute,57393900.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,,,,,
8,2023-10-27 06:00:00,OANDA:EURUSD,1.05646,1.05655,1.0561,1.05626,1034.0,Interval.in_45_minute,57391200.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,long,,,,
9,2023-10-27 05:15:00,OANDA:EURUSD,1.05599,1.05668,1.05598,1.05646,1257.0,Interval.in_45_minute,57388500.0,,,,,,,,,,,,,,,,,,,long,long,neutral,neutral,long,short,long,neutral,neutral,long,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,long,short,short,short,short,short,,,
