,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 00:00:00,0.87192,long,short,short,long
1,2023-10-11 22:00:00,0.87162,long,short,short,long
2,2023-10-11 21:00:00,0.87134,long,short,short,neutral
3,2023-10-11 20:00:00,0.87102,long,short,short,short
4,2023-10-11 19:00:00,0.87129,long,short,short,neutral
5,2023-10-11 18:00:00,0.87247,long,long,short,neutral
6,2023-10-11 17:00:00,0.87183,long,long,short,neutral
7,2023-10-11 16:00:00,0.87277,long,long,long,long
8,2023-10-11 15:00:00,0.87262,long,long,short,neutral
9,2023-10-11 14:00:00,0.87261,long,long,long,short
10,2023-10-11 13:00:00,0.87278,long,long,long,neutral
11,2023-10-11 12:00:00,0.87343,long,long,long,long
12,2023-10-11 11:00:00,0.87316,long,long,long,long
13,2023-10-11 10:00:00,0.87258,long,long,long,long
14,2023-10-11 09:00:00,0.87237,long,long,long,neutral
15,2023-10-11 08:00:00,0.87227,long,long,long,short
16,2023-10-11 07:00:00,0.87255,long,long,long,short
17,2023-10-11 06:00:00,0.87274,long,long,long,short
18,2023-10-11 05:00:00,0.87315,long,long,long,short
19,2023-10-11 04:00:00,0.874,long,long,long,neutral
20,2023-10-11 03:00:00,0.87439,long,long,long,long
21,2023-10-11 02:00:00,0.87374,long,long,long,long
22,2023-10-11 01:00:00,0.87352,long,long,long,neutral
23,2023-10-11 00:00:00,0.87348,long,long,long,neutral
24,2023-10-10 23:00:00,0.8736,long,long,long,long
25,2023-10-10 22:00:00,0.873,long,long,long,long
26,2023-10-10 21:00:00,0.87293,long,long,long,neutral
27,2023-10-10 20:00:00,0.87239,long,short,long,short
28,2023-10-10 19:00:00,0.87284,long,short,long,neutral
29,2023-10-10 18:00:00,0.8731,long,short,long,long
30,2023-10-10 17:00:00,0.8719,long,long,long,long
31,2023-10-10 16:00:00,0.87116,long,long,long,long
32,2023-10-10 15:00:00,0.87008,long,long,long,neutral
33,2023-10-10 14:00:00,0.86964,long,long,long,short
34,2023-10-10 13:00:00,0.8708,long,long,long,short
35,2023-10-10 12:00:00,0.87183,long,long,long,neutral
36,2023-10-10 11:00:00,0.87221,long,long,long,neutral
37,2023-10-10 10:00:00,0.8707,long,long,long,neutral
38,2023-10-10 09:00:00,0.87116,long,long,long,neutral
39,2023-10-10 08:00:00,0.87066,long,long,long,short
40,2023-10-10 07:00:00,0.87076,long,long,long,neutral
41,2023-10-10 06:00:00,0.87116,long,long,long,neutral
42,2023-10-10 05:00:00,0.87086,long,long,long,neutral
43,2023-10-10 04:00:00,0.8722,long,long,long,neutral
44,2023-10-10 03:00:00,0.87138,long,short,long,neutral
45,2023-10-10 02:00:00,0.87203,long,short,long,long
46,2023-10-10 01:00:00,0.87136,long,long,long,neutral
47,2023-10-10 00:00:00,0.8711,long,short,long,neutral
48,2023-10-09 23:00:00,0.871235,long,short,long,neutral
49,2023-10-09 22:00:00,0.87103,long,short,long,neutral
50,2023-10-09 21:00:00,0.87124,long,short,long,long
51,2023-10-09 20:00:00,0.87062,long,short,short,long
52,2023-10-09 19:00:00,0.86874,long,long,short,neutral
53,2023-10-09 18:00:00,0.86872,long,long,short,short
54,2023-10-09 17:00:00,0.86912,long,long,short,neutral
55,2023-10-09 16:00:00,0.86973,long,long,short,neutral
56,2023-10-09 15:00:00,0.86896,long,long,short,neutral
57,2023-10-09 14:00:00,0.86934,long,long,short,long
58,2023-10-09 13:00:00,0.86916,long,long,short,long
59,2023-10-09 12:00:00,0.86902,long,long,long,neutral
60,2023-10-09 11:00:00,0.86879,long,long,short,neutral
61,2023-10-09 10:00:00,0.8688,long,long,short,neutral
62,2023-10-09 09:00:00,0.86722,long,long,short,neutral
63,2023-10-09 08:00:00,0.86778,long,long,short,neutral
64,2023-10-09 07:00:00,0.86729,long,long,short,short
65,2023-10-09 06:00:00,0.86774,long,long,short,short
66,2023-10-09 05:00:00,0.86889,long,long,short,short
67,2023-10-09 04:00:00,0.86919,long,long,short,neutral
68,2023-10-09 03:00:00,0.87032,long,long,short,long
69,2023-10-09 02:00:00,0.87019,long,long,short,long
70,2023-10-09 01:00:00,0.86934,long,long,short,neutral
71,2023-10-09 00:00:00,0.86925,long,long,short,short
72,2023-10-06 23:00:00,0.87235,long,long,short,short
73,2023-10-06 22:00:00,0.87279,long,long,long,neutral
74,2023-10-06 21:00:00,0.8734,long,long,long,long
75,2023-10-06 20:00:00,0.87274,long,long,short,neutral
76,2023-10-06 19:00:00,0.87214,long,long,short,neutral
77,2023-10-06 18:00:00,0.87304,long,long,short,long
78,2023-10-06 17:00:00,0.87072,long,long,short,long
79,2023-10-06 16:00:00,0.86876,long,long,short,neutral
80,2023-10-06 15:00:00,0.86752,long,long,short,neutral
81,2023-10-06 14:00:00,0.87225,long,short,long,neutral
82,2023-10-06 13:00:00,0.87208,long,short,short,short
83,2023-10-06 12:00:00,0.87218,long,short,short,neutral
84,2023-10-06 11:00:00,0.87258,long,short,short,neutral
85,2023-10-06 10:00:00,0.87202,long,short,short,neutral
86,2023-10-06 09:00:00,0.87258,long,short,short,neutral
87,2023-10-06 08:00:00,0.87238,long,short,long,short
88,2023-10-06 07:00:00,0.87327,long,short,long,short
89,2023-10-06 06:00:00,0.87389,long,short,long,neutral
90,2023-10-06 05:00:00,0.87432,long,short,long,long
91,2023-10-06 04:00:00,0.87338,long,short,short,neutral
92,2023-10-06 03:00:00,0.873,long,short,short,neutral
93,2023-10-06 02:00:00,0.87308,long,short,short,neutral
94,2023-10-06 01:00:00,0.873,long,short,short,neutral
95,2023-10-06 00:00:00,0.87304,long,short,long,neutral
96,2023-10-05 23:00:00,0.873025,long,short,long,short
97,2023-10-05 22:00:00,0.87356,long,short,long,neutral
98,2023-10-05 21:00:00,0.87384,long,short,long,long
99,2023-10-05 20:00:00,0.87284,long,short,long,long
100,2023-10-05 19:00:00,0.87266,long,short,long,neutral
101,2023-10-05 18:00:00,0.87182,long,short,long,short
102,2023-10-05 17:00:00,0.87185,long,short,long,neutral
103,2023-10-05 16:00:00,0.87314,long,short,long,neutral
104,2023-10-05 15:00:00,0.87251,long,short,long,short
105,2023-10-05 14:00:00,0.87326,long,short,long,neutral
106,2023-10-05 13:00:00,0.87378,long,short,long,neutral
107,2023-10-05 12:00:00,0.87266,long,short,long,neutral
108,2023-10-05 11:00:00,0.87282,long,short,long,neutral
