,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 01:09:00,0.57842,long,short,short,long
1,2023-10-12 01:07:00,0.5784,long,short,long,neutral
2,2023-10-12 01:06:00,0.57844,long,short,long,long
3,2023-10-12 01:05:00,0.57844,long,short,long,long
4,2023-10-12 01:04:00,0.57831,long,short,short,neutral
5,2023-10-12 01:03:00,0.57828,long,short,short,short
6,2023-10-12 01:02:00,0.57832,long,short,long,short
7,2023-10-12 01:01:00,0.57838,long,short,long,neutral
8,2023-10-12 01:00:00,0.57841,long,short,short,long
9,2023-10-12 00:59:00,0.57834,long,short,short,neutral
10,2023-10-12 00:58:00,0.57829,long,short,short,short
11,2023-10-12 00:57:00,0.57834,long,short,long,short
12,2023-10-12 00:56:00,0.57835,long,short,long,neutral
13,2023-10-12 00:55:00,0.5784,long,short,long,neutral
14,2023-10-12 00:54:00,0.5783,long,short,long,neutral
15,2023-10-12 00:53:00,0.57858,long,short,long,long
16,2023-10-12 00:52:00,0.57852,long,short,long,long
17,2023-10-12 00:51:00,0.57852,long,short,long,neutral
18,2023-10-12 00:50:00,0.5785,long,short,long,neutral
19,2023-10-12 00:49:00,0.57854,long,short,short,long
20,2023-10-12 00:48:00,0.57838,long,short,short,long
21,2023-10-12 00:47:00,0.57828,long,short,short,neutral
22,2023-10-12 00:46:00,0.57821,long,short,short,short
23,2023-10-12 00:45:00,0.57836,long,short,short,neutral
24,2023-10-12 00:44:00,0.57838,long,short,short,long
25,2023-10-12 00:43:00,0.57832,long,short,short,neutral
26,2023-10-12 00:42:00,0.57832,long,short,short,neutral
27,2023-10-12 00:41:00,0.57836,long,short,short,neutral
28,2023-10-12 00:40:00,0.57832,long,short,short,neutral
29,2023-10-12 00:39:00,0.57854,long,short,short,neutral
30,2023-10-12 00:38:00,0.57832,long,long,short,neutral
31,2023-10-12 00:37:00,0.57835,long,long,short,neutral
32,2023-10-12 00:36:00,0.57824,long,long,short,neutral
33,2023-10-12 00:35:00,0.57838,long,long,short,long
34,2023-10-12 00:34:00,0.57824,long,long,short,long
35,2023-10-12 00:33:00,0.57818,long,long,short,neutral
36,2023-10-12 00:32:00,0.57811,long,long,short,short
37,2023-10-12 00:28:00,0.57838,long,long,short,short
38,2023-10-12 00:23:00,0.57839,long,long,short,short
39,2023-10-12 00:22:00,0.57851,long,long,long,neutral
40,2023-10-12 00:20:00,0.57852,long,long,short,neutral
41,2023-10-12 00:19:00,0.57842,long,long,short,short
42,2023-10-12 00:18:00,0.57846,long,long,short,short
43,2023-10-12 00:17:00,0.5785,long,long,short,short
44,2023-10-12 00:16:00,0.57856,long,long,long,short
45,2023-10-12 00:15:00,0.57861,long,long,long,short
46,2023-10-12 00:14:00,0.57871,long,long,long,neutral
47,2023-10-12 00:13:00,0.57872,long,long,long,long
48,2023-10-12 00:12:00,0.57872,long,short,long,long
49,2023-10-12 00:11:00,0.5787,long,short,long,long
50,2023-10-12 00:10:00,0.57859,long,long,long,long
51,2023-10-12 00:09:00,0.57858,long,long,long,long
52,2023-10-12 00:08:00,0.57854,long,long,long,neutral
53,2023-10-12 00:07:00,0.57854,long,long,long,short
54,2023-10-12 00:06:00,0.57856,long,long,long,neutral
55,2023-10-12 00:05:00,0.57859,long,long,long,long
56,2023-10-11 23:58:00,0.57849,long,long,long,long
57,2023-10-11 23:57:00,0.57849,long,long,long,neutral
58,2023-10-11 23:56:00,0.57847,long,long,short,short
59,2023-10-11 23:55:00,0.57849,long,long,long,short
60,2023-10-11 23:54:00,0.57851,long,long,long,neutral
61,2023-10-11 23:53:00,0.57852,long,long,long,neutral
62,2023-10-11 23:52:00,0.57852,long,long,long,short
63,2023-10-11 23:50:00,0.57856,long,long,long,neutral
64,2023-10-11 23:49:00,0.57859,long,long,long,long
65,2023-10-11 23:48:00,0.57856,long,long,long,long
66,2023-10-11 23:47:00,0.57855,long,long,long,long
67,2023-10-11 23:46:00,0.57854,long,long,long,long
68,2023-10-11 23:45:00,0.57849,long,long,neutral,long
69,2023-10-11 23:44:00,0.57848,long,long,short,neutral
70,2023-10-11 23:43:00,0.57848,long,long,short,neutral
71,2023-10-11 23:42:00,0.57851,long,long,short,long
72,2023-10-11 23:40:00,0.5785,long,long,short,long
73,2023-10-11 23:39:00,0.57846,long,long,short,long
74,2023-10-11 23:38:00,0.57846,long,long,long,long
75,2023-10-11 23:37:00,0.57845,long,long,long,neutral
76,2023-10-11 23:36:00,0.57844,long,long,long,short
77,2023-10-11 23:35:00,0.57846,long,long,long,short
78,2023-10-11 23:34:00,0.57848,long,long,long,neutral
79,2023-10-11 23:33:00,0.57849,long,long,long,long
80,2023-10-11 23:32:00,0.57848,long,long,long,long
81,2023-10-11 23:31:00,0.57846,long,long,long,neutral
82,2023-10-11 23:30:00,0.57844,long,short,long,short
83,2023-10-11 23:29:00,0.57848,long,short,long,neutral
