,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-11 22:00:00,0.57849,long,long,short,long
1,2023-10-11 18:00:00,0.57808,long,long,short,short
2,2023-10-11 16:00:00,0.57892,long,short,short,short
3,2023-10-11 14:00:00,0.57927,long,long,short,short
4,2023-10-11 12:00:00,0.57946,long,long,short,short
5,2023-10-11 10:00:00,0.57984,long,long,long,short
6,2023-10-11 08:00:00,0.58047,long,long,long,short
7,2023-10-11 06:00:00,0.58098,long,long,long,short
8,2023-10-11 04:00:00,0.581,long,long,long,neutral
9,2023-10-11 02:00:00,0.58219,long,long,long,neutral
10,2023-10-11 00:00:00,0.58164,long,long,long,neutral
11,2023-10-10 22:00:00,0.581905,long,long,long,long
12,2023-10-10 20:00:00,0.58129,long,long,long,long
13,2023-10-10 18:00:00,0.58101,long,long,long,long
14,2023-10-10 16:00:00,0.58076,long,long,long,long
15,2023-10-10 14:00:00,0.58038,long,long,short,neutral
16,2023-10-10 12:00:00,0.5798,long,long,short,neutral
17,2023-10-10 10:00:00,0.58048,long,long,short,neutral
18,2023-10-10 08:00:00,0.58014,long,long,long,neutral
19,2023-10-10 06:00:00,0.58088,long,long,long,neutral
20,2023-10-10 04:00:00,0.5804,long,short,long,neutral
21,2023-10-10 02:00:00,0.58106,long,short,short,neutral
22,2023-10-10 00:00:00,0.58077,long,short,short,neutral
23,2023-10-09 22:00:00,0.581285,long,short,short,long
24,2023-10-09 20:00:00,0.58068,long,long,short,long
25,2023-10-09 18:00:00,0.57916,long,long,short,long
26,2023-10-09 16:00:00,0.57858,long,long,short,neutral
27,2023-10-09 14:00:00,0.57857,long,long,short,short
28,2023-10-09 12:00:00,0.57872,long,long,short,neutral
29,2023-10-09 10:00:00,0.5791,long,long,short,long
30,2023-10-09 08:00:00,0.5783,long,long,short,neutral
31,2023-10-09 06:00:00,0.57797,long,long,short,short
32,2023-10-09 04:00:00,0.57882,long,long,short,neutral
33,2023-10-09 02:00:00,0.57938,long,long,short,neutral
34,2023-10-09 00:00:00,0.5781,long,long,short,short
35,2023-10-06 22:00:00,0.58102,long,short,short,neutral
36,2023-10-06 20:00:00,0.58156,long,short,long,long
37,2023-10-06 18:00:00,0.58062,long,short,short,long
38,2023-10-06 16:00:00,0.58021,long,short,short,neutral
39,2023-10-06 14:00:00,0.57989,long,short,long,short
40,2023-10-06 12:00:00,0.58034,long,short,long,short
41,2023-10-06 10:00:00,0.58103,long,short,long,short
42,2023-10-06 08:00:00,0.58136,long,short,long,short
43,2023-10-06 06:00:00,0.58171,long,short,long,neutral
44,2023-10-06 04:00:00,0.58246,long,short,long,long
45,2023-10-06 02:00:00,0.58156,long,short,long,long
46,2023-10-06 00:00:00,0.5813,long,short,short,neutral
47,2023-10-05 22:00:00,0.581265,long,short,short,neutral
48,2023-10-05 20:00:00,0.58168,long,short,long,long
49,2023-10-05 18:00:00,0.58096,long,short,short,neutral
50,2023-10-05 16:00:00,0.58044,long,short,long,short
51,2023-10-05 14:00:00,0.581,long,short,long,neutral
52,2023-10-05 12:00:00,0.58122,long,short,long,neutral
53,2023-10-05 10:00:00,0.58122,long,short,long,short
54,2023-10-05 08:00:00,0.58218,long,short,long,neutral
55,2023-10-05 06:00:00,0.58254,long,short,long,long
56,2023-10-05 04:00:00,0.58156,long,long,short,long
57,2023-10-05 02:00:00,0.5805,long,long,short,long
58,2023-10-05 00:00:00,0.58039,long,long,short,long
59,2023-10-04 22:00:00,0.58017,long,long,short,neutral
60,2023-10-04 20:00:00,0.57974,long,long,short,short
61,2023-10-04 18:00:00,0.5799,long,long,short,neutral
62,2023-10-04 16:00:00,0.58013,long,long,short,neutral
63,2023-10-04 14:00:00,0.57988,long,long,short,short
64,2023-10-04 12:00:00,0.58086,long,long,short,short
65,2023-10-04 10:00:00,0.58089,long,long,short,short
66,2023-10-04 08:00:00,0.58156,long,long,short,neutral
67,2023-10-04 06:00:00,0.58238,long,long,short,neutral
68,2023-10-04 04:00:00,0.58119,long,long,short,neutral
69,2023-10-04 02:00:00,0.58123,long,long,short,neutral
70,2023-10-04 00:00:00,0.58028,long,long,short,short
71,2023-10-03 22:00:00,0.58045,long,long,short,neutral
72,2023-10-03 20:00:00,0.58058,long,long,short,neutral
73,2023-10-03 18:00:00,0.58048,long,long,short,short
