,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 01:10:00,95.622,long,long,short,neutral
1,2023-10-12 01:08:00,95.617,long,long,short,short
2,2023-10-12 01:07:00,95.636,long,long,long,short
3,2023-10-12 01:06:00,95.638,long,long,long,neutral
4,2023-10-12 01:05:00,95.642,long,long,long,long
5,2023-10-12 01:04:00,95.634,long,long,long,neutral
6,2023-10-12 01:03:00,95.63,long,long,long,short
7,2023-10-12 01:02:00,95.634,long,long,long,short
8,2023-10-12 01:01:00,95.64,long,long,long,neutral
9,2023-10-12 01:00:00,95.65,long,long,long,long
10,2023-10-12 00:59:00,95.64,long,long,long,neutral
11,2023-10-12 00:58:00,95.615,long,long,long,short
12,2023-10-12 00:57:00,95.64,long,long,long,short
13,2023-10-12 00:56:00,95.641,long,long,long,neutral
14,2023-10-12 00:55:00,95.652,long,long,long,neutral
15,2023-10-12 00:54:00,95.65,long,long,long,neutral
16,2023-10-12 00:53:00,95.656,long,long,long,long
17,2023-10-12 00:52:00,95.655,long,long,long,neutral
18,2023-10-12 00:51:00,95.648,long,long,long,neutral
19,2023-10-12 00:49:00,95.652,long,long,long,long
20,2023-10-12 00:48:00,95.652,long,long,long,long
21,2023-10-12 00:47:00,95.644,long,long,long,long
22,2023-10-12 00:46:00,95.63,long,long,long,neutral
23,2023-10-12 00:45:00,95.624,long,long,long,neutral
24,2023-10-12 00:44:00,95.636,long,long,long,long
25,2023-10-12 00:43:00,95.634,long,long,long,long
26,2023-10-12 00:42:00,95.626,long,long,short,long
27,2023-10-12 00:41:00,95.626,long,long,short,neutral
28,2023-10-12 00:40:00,95.626,long,long,short,neutral
29,2023-10-12 00:39:00,95.638,long,long,short,long
30,2023-10-12 00:38:00,95.614,long,long,short,long
31,2023-10-12 00:37:00,95.604,long,long,short,long
32,2023-10-12 00:36:00,95.604,long,long,short,neutral
33,2023-10-12 00:35:00,95.6,long,long,short,neutral
34,2023-10-12 00:34:00,95.605,long,long,short,long
35,2023-10-12 00:33:00,95.604,long,long,short,neutral
36,2023-10-12 00:32:00,95.604,long,long,short,short
37,2023-10-12 00:31:00,95.619,long,long,short,neutral
38,2023-10-12 00:30:00,95.63,long,long,short,neutral
39,2023-10-12 00:29:00,95.623,long,long,short,neutral
40,2023-10-12 00:28:00,95.632,long,long,short,long
41,2023-10-12 00:27:00,95.604,long,long,short,long
42,2023-10-12 00:26:00,95.601,long,long,short,long
