,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-11 22:00:00,95.676,long,long,long,long
1,2023-10-11 18:00:00,95.509,long,long,long,neutral
2,2023-10-11 16:00:00,95.678,long,long,long,long
3,2023-10-11 14:00:00,95.61,long,long,long,neutral
4,2023-10-11 12:00:00,95.434,long,long,long,short
5,2023-10-11 10:00:00,95.485,long,long,long,short
6,2023-10-11 08:00:00,95.575,long,long,long,neutral
7,2023-10-11 06:00:00,95.58,long,long,long,neutral
8,2023-10-11 04:00:00,95.57,long,long,long,neutral
9,2023-10-11 02:00:00,95.662,long,long,long,neutral
10,2023-10-11 00:00:00,95.577,long,long,long,neutral
11,2023-10-10 22:00:00,95.647,long,short,long,long
12,2023-10-10 20:00:00,95.538,long,short,long,long
13,2023-10-10 18:00:00,95.481,long,short,long,long
14,2023-10-10 16:00:00,95.453,long,short,long,neutral
15,2023-10-10 14:00:00,95.31,long,short,short,short
16,2023-10-10 12:00:00,95.405,long,short,long,neutral
17,2023-10-10 10:00:00,95.554,long,short,long,long
18,2023-10-10 08:00:00,95.342,long,long,long,long
19,2023-10-10 06:00:00,95.34,long,short,long,neutral
20,2023-10-10 04:00:00,95.29,long,short,long,neutral
21,2023-10-10 02:00:00,95.312,long,short,long,neutral
22,2023-10-10 00:00:00,95.142,long,short,long,neutral
23,2023-10-09 22:00:00,95.231,long,short,long,long
24,2023-10-09 20:00:00,95.195,long,short,long,long
25,2023-10-09 18:00:00,94.85,long,short,long,neutral
26,2023-10-09 16:00:00,94.716,long,short,long,neutral
27,2023-10-09 14:00:00,94.915,long,short,long,neutral
28,2023-10-09 12:00:00,94.836,long,short,long,neutral
29,2023-10-09 10:00:00,94.848,long,short,long,neutral
30,2023-10-09 08:00:00,94.662,long,short,long,short
31,2023-10-09 06:00:00,94.718,long,short,long,short
32,2023-10-09 04:00:00,94.92,long,short,long,neutral
33,2023-10-09 02:00:00,95.137,long,short,long,neutral
34,2023-10-09 00:00:00,94.846,long,short,long,short
35,2023-10-06 22:00:00,95.336,long,short,long,neutral
36,2023-10-06 20:00:00,95.518,long,short,long,long
37,2023-10-06 18:00:00,95.242,long,short,long,long
38,2023-10-06 16:00:00,94.846,long,long,long,neutral
39,2023-10-06 14:00:00,94.52,long,long,long,neutral
40,2023-10-06 12:00:00,94.804,long,long,long,long
41,2023-10-06 10:00:00,94.774,long,long,long,neutral
42,2023-10-06 08:00:00,94.723,long,long,long,short
43,2023-10-06 06:00:00,94.728,long,long,long,neutral
44,2023-10-06 04:00:00,94.805,long,long,long,long
45,2023-10-06 02:00:00,94.66,long,short,long,neutral
46,2023-10-06 00:00:00,94.57,long,short,long,neutral
47,2023-10-05 22:00:00,94.61,long,short,long,long
48,2023-10-05 20:00:00,94.55,long,short,long,neutral
49,2023-10-05 18:00:00,94.365,long,short,long,short
50,2023-10-05 16:00:00,94.372,long,short,long,short
51,2023-10-05 14:00:00,94.468,long,short,long,neutral
52,2023-10-05 12:00:00,94.474,long,short,long,neutral
53,2023-10-05 10:00:00,94.36,long,short,long,short
54,2023-10-05 08:00:00,94.537,long,short,long,neutral
55,2023-10-05 06:00:00,94.663,long,short,long,long
56,2023-10-05 04:00:00,94.462,long,long,short,neutral
57,2023-10-05 02:00:00,94.246,long,long,short,short
58,2023-10-05 00:00:00,94.286,long,long,short,neutral
59,2023-10-04 22:00:00,94.3185,long,long,short,neutral
60,2023-10-04 20:00:00,94.216,long,long,short,neutral
61,2023-10-04 18:00:00,94.25,long,long,short,neutral
62,2023-10-04 16:00:00,94.01,long,long,short,neutral
63,2023-10-04 14:00:00,94.336,long,long,short,neutral
64,2023-10-04 12:00:00,94.189,long,long,short,neutral
65,2023-10-04 10:00:00,94.21,long,long,short,neutral
66,2023-10-04 08:00:00,94.102,long,long,short,neutral
67,2023-10-04 06:00:00,94.276,long,long,short,neutral
68,2023-10-04 04:00:00,94.133,long,long,short,neutral
69,2023-10-04 02:00:00,94.156,long,long,short,neutral
70,2023-10-04 00:00:00,93.948,long,long,short,neutral
71,2023-10-03 22:00:00,93.952,long,long,short,neutral
72,2023-10-03 20:00:00,93.846,long,long,short,short
73,2023-10-03 18:00:00,93.92,long,long,short,short
74,2023-10-03 16:00:00,93.958,long,long,short,short
75,2023-10-03 14:00:00,94.484,long,long,short,short
76,2023-10-03 12:00:00,94.487,long,long,short,neutral
77,2023-10-03 10:00:00,94.723,long,long,short,neutral
78,2023-10-03 08:00:00,94.642,long,long,short,short
79,2023-10-03 06:00:00,94.686,long,long,short,short
80,2023-10-03 04:00:00,95.034,long,long,short,neutral
81,2023-10-03 02:00:00,95.362,long,long,short,neutral
82,2023-10-03 00:00:00,95.322,long,long,short,neutral
83,2023-10-02 22:00:00,95.36,long,long,short,neutral
84,2023-10-02 20:00:00,95.324,long,long,short,short
85,2023-10-02 18:00:00,95.367,long,long,short,short
86,2023-10-02 16:00:00,95.472,long,long,short,short
87,2023-10-02 14:00:00,95.724,long,long,short,short
88,2023-10-02 12:00:00,95.782,long,long,short,short
89,2023-10-02 10:00:00,95.904,long,long,long,neutral
90,2023-10-02 08:00:00,96.08,long,long,long,neutral
91,2023-10-02 06:00:00,95.898,long,long,long,short
92,2023-10-02 04:00:00,96.086,long,short,long,neutral
93,2023-10-02 02:00:00,96.236,long,short,long,long
94,2023-10-02 00:00:00,96.184,long,short,long,neutral
95,2023-09-29 22:00:00,96.08,long,short,long,short
96,2023-09-29 20:00:00,96.176,long,short,long,short
97,2023-09-29 18:00:00,96.212,long,short,long,short
98,2023-09-29 16:00:00,96.288,long,short,long,neutral
99,2023-09-29 14:00:00,96.859,long,short,long,long
100,2023-09-29 12:00:00,96.834,long,short,long,long
101,2023-09-29 10:00:00,96.61,long,short,long,neutral
102,2023-09-29 08:00:00,96.37,long,short,long,short
103,2023-09-29 06:00:00,96.438,long,short,long,neutral
104,2023-09-29 04:00:00,96.504,long,short,long,long
105,2023-09-29 02:00:00,95.946,long,short,long,neutral
106,2023-09-29 00:00:00,95.932,long,short,long,neutral
107,2023-09-28 22:00:00,95.948,long,short,long,neutral
108,2023-09-28 20:00:00,95.839,long,short,long,neutral
109,2023-09-28 18:00:00,95.868,long,short,long,long
110,2023-09-28 16:00:00,95.77,long,short,long,long
111,2023-09-28 14:00:00,95.47,long,short,long,long
112,2023-09-28 12:00:00,95.422,long,short,short,long
113,2023-09-28 10:00:00,95.254,long,short,short,neutral
114,2023-09-28 08:00:00,95.133,long,short,short,neutral
115,2023-09-28 06:00:00,95.198,long,short,short,long
116,2023-09-28 04:00:00,95.107,long,short,short,long
117,2023-09-28 02:00:00,95.042,long,short,short,neutral
118,2023-09-28 00:00:00,94.886,long,short,short,neutral
119,2023-09-27 22:00:00,95.069,long,short,short,neutral
120,2023-09-27 20:00:00,95.04,long,short,short,short
121,2023-09-27 18:00:00,95.087,long,short,short,neutral
122,2023-09-27 16:00:00,95.323,long,short,short,long
123,2023-09-27 14:00:00,95.123,long,short,short,neutral
124,2023-09-27 12:00:00,95.038,long,short,short,neutral
125,2023-09-27 10:00:00,95.122,long,short,short,neutral
126,2023-09-27 08:00:00,95.116,long,short,short,short
127,2023-09-27 06:00:00,95.122,long,short,short,short
128,2023-09-27 04:00:00,95.216,long,short,short,short
129,2023-09-27 02:00:00,95.25,long,short,short,short
130,2023-09-27 00:00:00,95.34,long,short,short,neutral
131,2023-09-26 22:00:00,95.356,long,short,short,neutral
132,2023-09-26 20:00:00,95.314,long,short,short,short
133,2023-09-26 18:00:00,95.406,long,short,short,neutral
134,2023-09-26 16:00:00,95.504,long,short,short,long
135,2023-09-26 14:00:00,95.486,long,short,short,neutral
136,2023-09-26 12:00:00,95.364,long,short,short,short
137,2023-09-26 10:00:00,95.412,long,short,short,short
138,2023-09-26 08:00:00,95.416,long,short,short,short
139,2023-09-26 06:00:00,95.547,long,short,short,neutral
140,2023-09-26 04:00:00,95.608,long,short,long,neutral
141,2023-09-26 02:00:00,95.565,long,short,long,short
142,2023-09-26 00:00:00,95.582,long,short,long,neutral
143,2023-09-25 22:00:00,95.643,long,short,long,long
144,2023-09-25 20:00:00,95.558,long,short,long,long
145,2023-09-25 18:00:00,95.542,long,short,long,neutral
146,2023-09-25 16:00:00,95.39,long,short,long,short
147,2023-09-25 14:00:00,95.558,long,short,long,neutral
148,2023-09-25 12:00:00,95.608,long,short,long,neutral
149,2023-09-25 10:00:00,95.308,long,short,long,short
150,2023-09-25 08:00:00,95.346,long,short,long,short
151,2023-09-25 06:00:00,95.352,long,short,long,short
152,2023-09-25 04:00:00,95.37,long,short,long,neutral
153,2023-09-25 02:00:00,95.582,long,short,long,long
154,2023-09-25 00:00:00,95.575,long,short,long,neutral
155,2023-09-22 22:00:00,95.57,long,short,long,short
156,2023-09-22 20:00:00,95.591,long,short,long,short
157,2023-09-22 18:00:00,95.638,long,short,long,short
158,2023-09-22 16:00:00,95.676,long,short,long,neutral
159,2023-09-22 14:00:00,95.732,long,short,short,long
160,2023-09-22 12:00:00,95.52,long,short,short,long
161,2023-09-22 10:00:00,95.466,long,short,short,long
162,2023-09-22 08:00:00,95.286,long,short,short,long
163,2023-09-22 06:00:00,95.111,long,long,short,long
164,2023-09-22 04:00:00,95.001,long,long,short,neutral
165,2023-09-22 02:00:00,94.634,long,long,short,short
166,2023-09-22 00:00:00,94.67,long,long,short,short
167,2023-09-21 22:00:00,94.676,long,long,short,neutral
168,2023-09-21 20:00:00,94.696,long,long,short,long
169,2023-09-21 18:00:00,94.675,long,long,short,neutral
170,2023-09-21 16:00:00,94.625,long,long,short,neutral
171,2023-09-21 14:00:00,94.716,long,long,short,neutral
172,2023-09-21 12:00:00,94.686,long,long,short,short
173,2023-09-21 10:00:00,94.934,long,long,short,neutral
174,2023-09-21 08:00:00,95.116,long,long,short,long
175,2023-09-21 06:00:00,95.032,long,long,short,neutral
176,2023-09-21 04:00:00,95.002,long,long,short,short
177,2023-09-21 02:00:00,95.34,long,short,long,short
178,2023-09-21 00:00:00,95.634,long,short,long,short
179,2023-09-20 22:00:00,95.656,long,short,long,short
180,2023-09-20 20:00:00,95.786,long,short,long,neutral
181,2023-09-20 18:00:00,96.054,long,short,long,long
182,2023-09-20 16:00:00,95.958,long,short,long,long
183,2023-09-20 14:00:00,95.898,long,short,long,long
184,2023-09-20 12:00:00,95.814,long,short,long,long
185,2023-09-20 10:00:00,95.755,long,short,long,long
186,2023-09-20 08:00:00,95.51,long,short,long,neutral
187,2023-09-20 06:00:00,95.362,long,short,long,short
188,2023-09-20 04:00:00,95.366,long,short,long,short
189,2023-09-20 02:00:00,95.393,long,short,long,short
190,2023-09-20 00:00:00,95.404,long,short,long,short
191,2023-09-19 22:00:00,95.434,long,short,long,neutral
192,2023-09-19 20:00:00,95.458,long,short,long,neutral
193,2023-09-19 18:00:00,95.425,long,short,long,short
194,2023-09-19 16:00:00,95.515,long,short,long,neutral
195,2023-09-19 14:00:00,95.622,long,short,long,long
196,2023-09-19 12:00:00,95.36,long,short,long,long
197,2023-09-19 10:00:00,95.286,long,short,short,neutral
198,2023-09-19 08:00:00,95.05,long,short,short,neutral
199,2023-09-19 06:00:00,95.12,long,short,short,long
200,2023-09-19 04:00:00,95.034,long,short,short,long
201,2023-09-19 02:00:00,95.032,long,short,short,long
202,2023-09-19 00:00:00,95.024,long,short,short,neutral
203,2023-09-18 22:00:00,95.02,long,short,short,neutral
204,2023-09-18 20:00:00,95.064,long,short,short,long
205,2023-09-18 18:00:00,95.044,long,short,long,neutral
206,2023-09-18 16:00:00,94.943,long,short,long,short
207,2023-09-18 14:00:00,94.993,long,short,long,neutral
208,2023-09-18 12:00:00,95.077,long,short,long,neutral
209,2023-09-18 10:00:00,95.048,long,short,long,short
210,2023-09-18 08:00:00,95.146,long,short,long,neutral
211,2023-09-18 06:00:00,95.172,long,short,long,neutral
212,2023-09-18 04:00:00,95.103,long,short,long,neutral
213,2023-09-18 02:00:00,95.14,long,short,long,long
214,2023-09-18 00:00:00,95.096,long,short,long,neutral
215,2023-09-15 22:00:00,95.088,long,short,long,short
