,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 01:09:00,0.64141,long,long,short,long
1,2023-10-12 01:07:00,0.64141,long,long,short,short
2,2023-10-12 01:06:00,0.64142,long,long,short,neutral
3,2023-10-12 01:05:00,0.64144,long,long,short,long
4,2023-10-12 01:04:00,0.64128,long,long,short,neutral
5,2023-10-12 01:03:00,0.64128,long,long,short,short
6,2023-10-12 01:02:00,0.64132,long,long,short,short
7,2023-10-12 01:01:00,0.64137,long,long,short,short
8,2023-10-12 01:00:00,0.64144,long,short,long,neutral
9,2023-10-12 00:59:00,0.64146,long,short,long,neutral
10,2023-10-12 00:58:00,0.64125,long,short,long,short
11,2023-10-12 00:57:00,0.64142,long,short,long,short
12,2023-10-12 00:56:00,0.64144,long,short,long,short
13,2023-10-12 00:55:00,0.64146,long,short,long,neutral
14,2023-10-12 00:54:00,0.64152,long,short,long,long
15,2023-10-12 00:53:00,0.64152,long,short,long,long
16,2023-10-12 00:52:00,0.6415,long,short,long,neutral
17,2023-10-12 00:51:00,0.64148,long,short,long,neutral
18,2023-10-12 00:49:00,0.64152,long,short,long,long
19,2023-10-12 00:48:00,0.64152,long,short,long,long
20,2023-10-12 00:47:00,0.64144,long,short,long,neutral
21,2023-10-12 00:46:00,0.64142,long,short,long,neutral
22,2023-10-12 00:45:00,0.64144,long,short,long,long
23,2023-10-12 00:44:00,0.64144,long,short,long,neutral
24,2023-10-12 00:43:00,0.64142,long,short,long,short
25,2023-10-12 00:42:00,0.64143,long,short,long,neutral
26,2023-10-12 00:41:00,0.64144,long,short,short,neutral
27,2023-10-12 00:40:00,0.6414,long,short,short,neutral
28,2023-10-12 00:39:00,0.64148,long,short,short,long
29,2023-10-12 00:38:00,0.64136,long,short,short,long
30,2023-10-12 00:37:00,0.64128,long,short,short,long
31,2023-10-12 00:36:00,0.64128,long,short,short,long
32,2023-10-12 00:35:00,0.64126,long,short,short,neutral
33,2023-10-12 00:34:00,0.64125,long,short,short,neutral
34,2023-10-12 00:33:00,0.64128,long,short,short,neutral
35,2023-10-12 00:32:00,0.64128,long,long,short,neutral
36,2023-10-12 00:31:00,0.64134,long,long,short,long
37,2023-10-12 00:30:00,0.64134,long,long,short,long
