,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 00:00:00,1.4435,long,short,long,long
1,2023-10-11 22:00:00,1.44296,long,short,long,long
2,2023-10-11 21:00:00,1.44281,long,short,long,neutral
3,2023-10-11 20:00:00,1.44268,long,short,long,short
4,2023-10-11 19:00:00,1.44326,long,short,long,neutral
5,2023-10-11 18:00:00,1.44531,long,short,long,neutral
6,2023-10-11 17:00:00,1.44376,long,long,long,neutral
7,2023-10-11 16:00:00,1.44378,long,long,long,neutral
8,2023-10-11 15:00:00,1.4423,long,long,long,neutral
9,2023-10-11 14:00:00,1.44274,long,long,long,neutral
10,2023-10-11 13:00:00,1.44186,long,long,long,neutral
11,2023-10-11 12:00:00,1.44262,long,long,long,long
12,2023-10-11 11:00:00,1.44222,long,long,long,neutral
13,2023-10-11 10:00:00,1.44118,long,long,long,neutral
14,2023-10-11 09:00:00,1.44204,long,long,long,long
15,2023-10-11 08:00:00,1.44162,long,long,long,neutral
16,2023-10-11 07:00:00,1.44102,long,long,long,short
17,2023-10-11 06:00:00,1.44111,long,long,long,neutral
18,2023-10-11 05:00:00,1.44137,long,long,long,long
19,2023-10-11 04:00:00,1.44134,long,long,long,long
20,2023-10-11 03:00:00,1.44102,long,long,long,neutral
21,2023-10-11 02:00:00,1.44052,long,long,long,neutral
22,2023-10-11 01:00:00,1.44062,long,long,long,long
23,2023-10-11 00:00:00,1.44058,long,long,long,long
24,2023-10-10 23:00:00,1.440445,long,short,long,neutral
25,2023-10-10 22:00:00,1.44002,long,short,long,short
26,2023-10-10 21:00:00,1.44028,long,short,long,short
27,2023-10-10 20:00:00,1.4406,long,short,long,neutral
28,2023-10-10 19:00:00,1.44184,long,long,long,long
29,2023-10-10 18:00:00,1.44174,long,short,long,neutral
30,2023-10-10 17:00:00,1.44085,long,short,long,neutral
31,2023-10-10 16:00:00,1.44094,long,short,long,long
32,2023-10-10 15:00:00,1.44028,long,short,long,neutral
33,2023-10-10 14:00:00,1.4382,long,short,long,short
34,2023-10-10 13:00:00,1.44,long,short,long,neutral
35,2023-10-10 12:00:00,1.44089,long,short,long,long
36,2023-10-10 11:00:00,1.44064,long,short,long,long
37,2023-10-10 10:00:00,1.43866,long,short,short,long
38,2023-10-10 09:00:00,1.4369,long,short,short,neutral
39,2023-10-10 08:00:00,1.43476,long,short,short,short
40,2023-10-10 07:00:00,1.43478,long,short,short,neutral
41,2023-10-10 06:00:00,1.43529,long,short,short,neutral
42,2023-10-10 05:00:00,1.43526,long,short,short,short
43,2023-10-10 04:00:00,1.43544,long,short,short,short
44,2023-10-10 03:00:00,1.4356,long,short,short,neutral
45,2023-10-10 02:00:00,1.43665,long,short,short,long
46,2023-10-10 01:00:00,1.43664,long,short,short,long
47,2023-10-10 00:00:00,1.43609,long,long,short,long
48,2023-10-09 23:00:00,1.43584,long,long,short,long
49,2023-10-09 22:00:00,1.43552,long,long,short,neutral
50,2023-10-09 21:00:00,1.4354,long,long,short,neutral
51,2023-10-09 20:00:00,1.43667,long,long,short,neutral
52,2023-10-09 19:00:00,1.43508,long,long,short,short
53,2023-10-09 18:00:00,1.43532,long,long,short,short
54,2023-10-09 17:00:00,1.43738,long,short,short,neutral
55,2023-10-09 16:00:00,1.43873,long,short,short,neutral
56,2023-10-09 15:00:00,1.43748,long,long,short,short
57,2023-10-09 14:00:00,1.43812,long,long,short,neutral
