,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-11 22:00:00,158.397,long,short,long,long
1,2023-10-11 18:00:00,158.208,long,short,long,neutral
2,2023-10-11 16:00:00,158.445,long,short,long,long
3,2023-10-11 14:00:00,158.026,long,long,long,neutral
4,2023-10-11 12:00:00,157.659,long,long,long,short
5,2023-10-11 10:00:00,157.713,long,long,long,neutral
6,2023-10-11 08:00:00,157.984,long,long,long,long
7,2023-10-11 06:00:00,157.849,long,short,long,long
8,2023-10-11 04:00:00,157.76,long,short,long,long
9,2023-10-11 02:00:00,157.648,long,short,long,neutral
10,2023-10-11 00:00:00,157.626,long,short,long,neutral
11,2023-10-10 22:00:00,157.714,long,short,long,neutral
12,2023-10-10 20:00:00,157.632,long,short,long,short
13,2023-10-10 18:00:00,157.726,long,short,long,short
14,2023-10-10 16:00:00,157.738,long,short,long,neutral
15,2023-10-10 14:00:00,157.768,long,short,short,neutral
16,2023-10-10 12:00:00,157.764,long,short,short,neutral
17,2023-10-10 10:00:00,157.828,long,short,short,long
18,2023-10-10 08:00:00,157.252,long,long,long,long
19,2023-10-10 06:00:00,157.092,long,long,short,long
20,2023-10-10 04:00:00,157.046,long,long,short,long
21,2023-10-10 02:00:00,157.027,long,long,short,neutral
22,2023-10-10 00:00:00,156.864,long,long,long,neutral
23,2023-10-09 22:00:00,156.9465,long,long,long,long
24,2023-10-09 20:00:00,156.84,long,long,long,long
25,2023-10-09 18:00:00,156.688,long,long,long,neutral
26,2023-10-09 16:00:00,156.646,long,long,long,short
27,2023-10-09 14:00:00,157.012,long,short,long,short
28,2023-10-09 12:00:00,157.027,long,short,long,neutral
29,2023-10-09 10:00:00,157.22,long,short,long,neutral
30,2023-10-09 08:00:00,157.199,long,short,long,short
31,2023-10-09 06:00:00,157.406,long,short,long,short
32,2023-10-09 04:00:00,157.496,long,short,long,neutral
33,2023-10-09 02:00:00,157.656,long,short,long,neutral
34,2023-10-09 00:00:00,157.502,long,short,long,short
35,2023-10-06 22:00:00,158.001,long,short,long,neutral
36,2023-10-06 20:00:00,158.212,long,short,long,long
37,2023-10-06 18:00:00,157.947,long,short,long,long
38,2023-10-06 16:00:00,157.413,long,short,long,neutral
39,2023-10-06 14:00:00,156.842,long,short,long,neutral
40,2023-10-06 12:00:00,157.311,long,short,long,long
41,2023-10-06 10:00:00,157.08,long,long,long,long
42,2023-10-06 08:00:00,156.918,long,long,long,long
43,2023-10-06 06:00:00,156.802,long,long,long,long
44,2023-10-06 04:00:00,156.718,long,long,long,long
45,2023-10-06 02:00:00,156.698,long,long,long,neutral
46,2023-10-06 00:00:00,156.606,long,long,long,neutral
47,2023-10-05 22:00:00,156.6855,long,long,long,long
48,2023-10-05 20:00:00,156.568,long,long,long,neutral
49,2023-10-05 18:00:00,156.362,long,long,long,short
50,2023-10-05 16:00:00,156.493,long,long,long,neutral
51,2023-10-05 14:00:00,156.6,long,long,long,long
52,2023-10-05 12:00:00,156.568,long,long,long,long
