,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 01:06:00,158.292,long,long,long,short
1,2023-10-12 01:00:00,158.36,long,long,short,neutral
2,2023-10-12 00:57:00,158.319,long,long,short,short
3,2023-10-12 00:54:00,158.324,long,long,short,neutral
4,2023-10-12 00:51:00,158.34,long,long,short,long
5,2023-10-12 00:48:00,158.336,long,long,short,long
6,2023-10-12 00:45:00,158.334,long,long,short,long
7,2023-10-12 00:42:00,158.328,long,long,short,long
8,2023-10-12 00:39:00,158.325,long,long,short,long
9,2023-10-12 00:36:00,158.294,long,long,short,neutral
10,2023-10-12 00:33:00,158.29,long,long,short,neutral
11,2023-10-12 00:30:00,158.295,long,long,short,neutral
12,2023-10-12 00:27:00,158.294,long,long,short,short
13,2023-10-12 00:24:00,158.312,long,long,short,short
14,2023-10-12 00:21:00,158.316,long,long,short,short
15,2023-10-12 00:18:00,158.321,long,long,short,neutral
16,2023-10-12 00:15:00,158.324,long,long,short,long
17,2023-10-12 00:12:00,158.324,long,long,short,neutral
18,2023-10-12 00:09:00,158.31,long,long,short,neutral
19,2023-10-12 00:06:00,158.32,long,long,short,neutral
20,2023-10-12 00:03:00,158.3,long,long,short,short
21,2023-10-11 23:57:00,158.397,long,long,long,short
22,2023-10-11 23:54:00,158.405,long,long,long,neutral
23,2023-10-11 23:51:00,158.425,long,long,long,long
24,2023-10-11 23:48:00,158.424,long,long,long,neutral
25,2023-10-11 23:45:00,158.399,long,long,long,neutral
26,2023-10-11 23:42:00,158.421,long,long,long,neutral
27,2023-10-11 23:39:00,158.409,long,long,long,short
28,2023-10-11 23:36:00,158.414,long,long,long,neutral
29,2023-10-11 23:33:00,158.443,long,long,long,long
30,2023-10-11 23:30:00,158.442,long,short,long,long
31,2023-10-11 23:27:00,158.44,long,short,long,long
32,2023-10-11 23:24:00,158.436,long,short,long,long
33,2023-10-11 23:21:00,158.392,long,long,long,long
34,2023-10-11 23:18:00,158.378,long,long,long,neutral
35,2023-10-11 23:15:00,158.366,long,long,long,neutral
36,2023-10-11 23:12:00,158.372,long,long,long,long
37,2023-10-11 23:09:00,158.36,long,long,long,long
38,2023-10-11 23:06:00,158.352,long,long,long,neutral
39,2023-10-11 23:03:00,158.35,long,long,long,neutral
40,2023-10-11 23:00:00,158.364,long,long,long,long
41,2023-10-11 22:57:00,158.344,long,long,long,long
42,2023-10-11 22:54:00,158.343,long,long,long,long
43,2023-10-11 22:51:00,158.342,long,long,long,neutral
44,2023-10-11 22:48:00,158.338,long,long,long,neutral
45,2023-10-11 22:45:00,158.347,long,long,long,neutral
46,2023-10-11 22:42:00,158.328,long,long,long,neutral
47,2023-10-11 22:39:00,158.351,long,long,long,long
48,2023-10-11 22:36:00,158.338,long,long,long,neutral
49,2023-10-11 22:33:00,158.334,long,long,long,neutral
50,2023-10-11 22:30:00,158.347,long,long,long,long
51,2023-10-11 22:27:00,158.337,long,long,long,long
52,2023-10-11 22:24:00,158.326,long,long,long,neutral
53,2023-10-11 22:21:00,158.318,long,long,long,short
54,2023-10-11 22:18:00,158.321,long,long,long,short
55,2023-10-11 22:15:00,158.328,long,long,long,neutral
56,2023-10-11 22:12:00,158.356,long,long,long,neutral
57,2023-10-11 22:09:00,158.345,long,short,long,neutral
58,2023-10-11 22:06:00,158.347,long,short,long,long
59,2023-10-11 22:03:00,158.34,long,short,long,long
60,2023-10-11 22:00:00,158.338,long,short,long,long
61,2023-10-11 21:57:00,158.322,long,short,long,neutral
62,2023-10-11 21:54:00,158.31,long,short,long,neutral
63,2023-10-11 21:51:00,158.312,long,short,long,long
64,2023-10-11 21:48:00,158.299,long,short,long,neutral
65,2023-10-11 21:45:00,158.252,long,short,long,neutral
66,2023-10-11 21:42:00,158.254,long,short,long,long
67,2023-10-11 21:39:00,158.246,long,short,long,neutral
68,2023-10-11 21:36:00,158.237,long,short,long,neutral
69,2023-10-11 21:33:00,158.257,long,short,long,long
70,2023-10-11 21:30:00,158.23,long,short,long,long
71,2023-10-11 21:27:00,158.2,long,short,long,long
72,2023-10-11 21:24:00,158.2,long,short,long,long
73,2023-10-11 21:21:00,158.178,long,short,short,neutral
74,2023-10-11 21:18:00,158.13,long,short,short,short
75,2023-10-11 21:15:00,158.132,long,short,short,short
76,2023-10-11 21:12:00,158.155,long,short,short,neutral
77,2023-10-11 21:09:00,158.175,long,short,short,long
78,2023-10-11 21:06:00,158.146,long,long,short,neutral
79,2023-10-11 21:03:00,158.096,long,long,short,neutral
80,2023-10-11 21:00:00,158.107,long,long,short,neutral
81,2023-10-11 20:57:00,158.052,long,long,short,neutral
82,2023-10-11 20:54:00,158.076,long,long,short,long
83,2023-10-11 20:51:00,158.072,long,long,short,long
84,2023-10-11 20:48:00,158.062,long,long,short,neutral
85,2023-10-11 20:45:00,158.028,long,long,short,neutral
86,2023-10-11 20:42:00,158.086,long,long,short,neutral
87,2023-10-11 20:39:00,158.038,long,long,short,neutral
88,2023-10-11 20:36:00,158.072,long,long,short,neutral
89,2023-10-11 20:33:00,158.07,long,long,short,short
90,2023-10-11 20:30:00,158.116,long,long,long,short
91,2023-10-11 20:27:00,158.17,long,short,long,short
92,2023-10-11 20:24:00,158.173,long,short,long,neutral
93,2023-10-11 20:21:00,158.183,long,short,long,neutral
94,2023-10-11 20:18:00,158.183,long,short,long,short
95,2023-10-11 20:15:00,158.216,long,short,long,neutral
96,2023-10-11 20:12:00,158.263,long,short,long,long
97,2023-10-11 20:09:00,158.23,long,short,long,neutral
98,2023-10-11 20:06:00,158.216,long,short,long,neutral
99,2023-10-11 20:03:00,158.238,long,short,long,neutral
100,2023-10-11 20:00:00,158.2,long,short,long,neutral
101,2023-10-11 19:57:00,158.208,long,short,long,long
102,2023-10-11 19:54:00,158.16,long,long,short,neutral
103,2023-10-11 19:51:00,158.134,long,long,short,neutral
104,2023-10-11 19:48:00,158.159,long,long,short,neutral
105,2023-10-11 19:45:00,158.141,long,long,short,neutral
106,2023-10-11 19:42:00,158.146,long,long,short,neutral
107,2023-10-11 19:39:00,158.144,long,long,short,neutral
108,2023-10-11 19:36:00,158.152,long,long,short,long
109,2023-10-11 19:33:00,158.126,long,long,short,long
110,2023-10-11 19:30:00,158.122,long,long,short,long
111,2023-10-11 19:27:00,158.081,long,long,short,long
112,2023-10-11 19:24:00,158.032,long,long,short,neutral
113,2023-10-11 19:21:00,158.026,long,long,short,short
114,2023-10-11 19:18:00,158.092,long,long,short,short
115,2023-10-11 19:15:00,158.108,long,long,short,short
116,2023-10-11 19:12:00,158.121,long,long,short,neutral
117,2023-10-11 19:09:00,158.15,long,long,short,long
118,2023-10-11 19:06:00,158.108,long,long,short,neutral
119,2023-10-11 19:03:00,158.095,long,long,short,neutral
120,2023-10-11 19:00:00,158.137,long,long,short,neutral
121,2023-10-11 18:57:00,158.136,long,long,short,short
122,2023-10-11 18:54:00,158.152,long,long,short,neutral
123,2023-10-11 18:51:00,158.188,long,long,short,long
124,2023-10-11 18:48:00,158.18,long,long,short,long
125,2023-10-11 18:45:00,158.156,long,long,short,neutral
126,2023-10-11 18:42:00,158.136,long,long,short,short
127,2023-10-11 18:39:00,158.206,long,long,short,short
128,2023-10-11 18:36:00,158.274,long,long,short,neutral
129,2023-10-11 18:33:00,158.312,long,long,short,long
130,2023-10-11 18:30:00,158.306,long,long,short,neutral
131,2023-10-11 18:27:00,158.28,long,long,short,short
