,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 01:09:00,1.06192,long,long,short,long
1,2023-10-12 01:07:00,1.06192,long,long,short,neutral
2,2023-10-12 01:06:00,1.062,long,long,long,long
3,2023-10-12 01:05:00,1.062,long,long,long,neutral
4,2023-10-12 01:04:00,1.062,long,long,long,neutral
5,2023-10-12 01:03:00,1.06201,long,long,long,neutral
6,2023-10-12 01:02:00,1.06201,long,long,long,short
7,2023-10-12 01:01:00,1.06203,long,long,long,neutral
8,2023-10-12 01:00:00,1.06206,long,long,long,long
9,2023-10-12 00:58:00,1.06198,long,long,long,long
10,2023-10-12 00:57:00,1.06198,long,long,long,neutral
11,2023-10-12 00:56:00,1.06196,long,long,long,neutral
12,2023-10-12 00:55:00,1.06202,long,long,long,neutral
13,2023-10-12 00:54:00,1.06202,long,long,long,neutral
14,2023-10-12 00:52:00,1.06207,long,long,long,long
15,2023-10-12 00:51:00,1.06207,long,long,long,long
16,2023-10-12 00:50:00,1.06206,long,long,long,long
17,2023-10-12 00:48:00,1.06206,long,long,long,neutral
18,2023-10-12 00:47:00,1.06204,long,long,long,neutral
19,2023-10-12 00:46:00,1.06205,long,long,long,long
20,2023-10-12 00:45:00,1.06202,long,long,long,long
21,2023-10-12 00:44:00,1.06201,long,long,long,long
22,2023-10-12 00:41:00,1.062,long,long,long,long
23,2023-10-12 00:40:00,1.06199,long,long,long,long
24,2023-10-12 00:39:00,1.06198,long,long,short,long
25,2023-10-12 00:38:00,1.06194,long,long,short,neutral
26,2023-10-12 00:37:00,1.06191,long,long,short,neutral
27,2023-10-12 00:36:00,1.06194,long,long,short,long
28,2023-10-12 00:33:00,1.06187,long,long,short,neutral
29,2023-10-12 00:32:00,1.06186,long,long,short,neutral
30,2023-10-12 00:31:00,1.06189,long,long,short,long
31,2023-10-12 00:30:00,1.06189,long,long,short,neutral
32,2023-10-12 00:29:00,1.06185,long,long,short,neutral
33,2023-10-12 00:28:00,1.06187,long,long,long,neutral
34,2023-10-12 00:27:00,1.06181,long,long,long,short
35,2023-10-12 00:26:00,1.06192,long,long,long,neutral
36,2023-10-12 00:25:00,1.06194,long,long,long,neutral
37,2023-10-12 00:24:00,1.06193,long,long,long,neutral
38,2023-10-12 00:23:00,1.06194,long,long,long,neutral
39,2023-10-12 00:22:00,1.06194,long,long,long,short
40,2023-10-12 00:20:00,1.06197,long,long,long,neutral
41,2023-10-12 00:19:00,1.06198,long,long,long,neutral
42,2023-10-12 00:17:00,1.06196,long,long,long,neutral
43,2023-10-12 00:16:00,1.06198,long,long,long,long
44,2023-10-12 00:15:00,1.06198,long,long,long,long
45,2023-10-12 00:14:00,1.06197,long,long,long,neutral
46,2023-10-12 00:13:00,1.06194,long,long,long,short
47,2023-10-12 00:12:00,1.06195,long,long,long,neutral
48,2023-10-12 00:11:00,1.06196,long,long,long,neutral
49,2023-10-12 00:10:00,1.06196,long,short,long,short
50,2023-10-12 00:09:00,1.06197,long,short,long,neutral
51,2023-10-12 00:08:00,1.062,long,short,long,long
52,2023-10-12 00:06:00,1.06196,long,short,long,long
53,2023-10-12 00:05:00,1.06194,long,short,short,long
54,2023-10-12 00:04:00,1.06166,long,short,short,neutral
55,2023-10-12 00:03:00,1.06155,long,short,short,neutral
56,2023-10-11 23:58:00,1.06183,long,short,short,long
57,2023-10-11 23:57:00,1.06183,long,short,short,long
58,2023-10-11 23:56:00,1.06183,long,short,short,neutral
59,2023-10-11 23:55:00,1.06182,long,short,short,neutral
60,2023-10-11 23:54:00,1.06188,long,short,short,long
61,2023-10-11 23:53:00,1.06186,long,short,short,long
62,2023-10-11 23:52:00,1.06183,long,short,short,neutral
63,2023-10-11 23:51:00,1.06178,long,short,short,neutral
64,2023-10-11 23:50:00,1.0618,long,short,short,long
65,2023-10-11 23:49:00,1.0618,long,short,short,long
66,2023-10-11 23:48:00,1.06178,long,short,short,neutral
67,2023-10-11 23:47:00,1.06174,long,short,short,neutral
68,2023-10-11 23:46:00,1.06179,long,short,short,neutral
69,2023-10-11 23:45:00,1.06174,long,short,short,neutral
70,2023-10-11 23:44:00,1.06186,long,short,short,neutral
71,2023-10-11 23:43:00,1.0618,long,short,short,neutral
72,2023-10-11 23:42:00,1.06184,long,short,short,long
73,2023-10-11 23:41:00,1.06184,long,short,short,neutral
74,2023-10-11 23:40:00,1.06182,long,short,long,neutral
75,2023-10-11 23:39:00,1.06187,long,short,long,neutral
76,2023-10-11 23:38:00,1.06182,long,short,long,short
77,2023-10-11 23:37:00,1.06185,long,short,long,neutral
78,2023-10-11 23:36:00,1.06192,long,short,long,long
79,2023-10-11 23:35:00,1.06192,long,short,long,long
80,2023-10-11 23:34:00,1.0619,long,short,long,long
81,2023-10-11 23:33:00,1.06188,long,short,long,neutral
82,2023-10-11 23:32:00,1.06188,long,short,long,neutral
83,2023-10-11 23:31:00,1.06198,long,short,long,long
